Genome Number	Number of new gene families
2	374
3	18
4	448
5	301
6	302
7	303
8	360
9	172
10	208
11	124
12	178
13	229
14	332
15	23
16	58
17	121
18	137
19	45
20	15
21	2
22	2
23	25
24	26
25	41
26	504
27	95
28	59
29	116
30	3
31	4
32	18
33	90
34	85
35	167
36	3
37	0
38	5
39	7
40	97
41	129
42	67
43	56
44	79
45	0
46	17
47	39
48	107
49	98
50	46
51	0
52	40
53	22
54	128
55	77
56	27
57	5
58	5
59	2
60	8
61	6
62	8
63	32
64	1
65	1
66	7
67	92
68	121
69	38
70	0
71	1
72	64
73	54
74	61
75	72
76	39
77	144
78	28
79	9
80	2
81	1
82	15
83	8
84	22
85	81
86	66
87	59
88	56
