Number of genomes	Number of gene families
1	2239
2	653
3	349
4	224
5	157
6	156
7	169
8	165
9	145
10	91
11	67
12	67
13	51
14	44
15	45
16	46
17	47
18	38
19	48
20	33
21	30
22	31
23	43
24	18
25	22
26	19
27	25
28	29
29	18
30	29
31	13
32	16
33	19
34	17
35	13
36	10
37	21
38	9
39	14
40	11
41	11
42	10
43	7
44	12
45	8
46	23
47	8
48	16
49	12
50	8
51	6
52	8
53	5
54	2
55	8
56	16
57	14
58	13
59	10
60	7
61	5
62	14
63	13
64	7
65	8
66	8
67	10
68	4
69	6
70	13
71	12
72	8
73	8
74	11
75	8
76	6
77	9
78	12
79	13
80	16
81	22
82	21
83	18
84	32
85	40
86	53
87	204
88	1033
