Number of genomes	Core genome
1	2027	#
1	1947	#
1	1997	#
1	2023	#
1	2099	#
1	2062	#
1	1981	#
1	1942	#
1	2132	#
1	2010	#
1	1952	#
1	2116	#
1	2077	#
1	1979	#
1	2057	#
1	2221	#
1	2170	#
1	2133	#
1	2134	#
1	1950	#
1	2054	#
2	1682	#
2	1623	#
2	1666	#
2	1660	#
2	1670	#
2	1662	#
2	1686	#
2	1603	#
2	1693	#
2	1661	#
2	1650	#
2	1639	#
2	1660	#
2	1639	#
2	1619	#
2	1738	#
2	1701	#
2	1674	#
2	1616	#
2	1661	#
2	1658	#
3	1578	#
3	1602	#
3	1556	#
3	1490	#
3	1500	#
3	1529	#
3	1610	#
3	1589	#
3	1535	#
3	1547	#
3	1561	#
3	1546	#
3	1567	#
3	1581	#
3	1680	#
3	1512	#
3	1584	#
3	1569	#
3	1555	#
3	1567	#
3	1640	#
4	1534	#
4	1499	#
4	1503	#
4	1525	#
4	1572	#
4	1548	#
4	1508	#
4	1554	#
4	1505	#
4	1502	#
4	1515	#
4	1510	#
4	1503	#
4	1500	#
4	1566	#
4	1548	#
4	1389	#
4	1585	#
4	1557	#
4	1493	#
4	1511	#
5	1493	#
5	1540	#
5	1503	#
5	1513	#
5	1522	#
5	1571	#
5	1525	#
5	1482	#
5	1548	#
5	1502	#
5	1462	#
5	1508	#
5	1533	#
5	1493	#
5	1445	#
5	1521	#
5	1520	#
5	1533	#
5	1466	#
5	1579	#
5	1493	#
6	1463	#
6	1473	#
6	1485	#
6	1459	#
6	1468	#
6	1466	#
6	1470	#
6	1477	#
6	1481	#
6	1414	#
6	1448	#
6	1419	#
6	1474	#
6	1498	#
6	1494	#
6	1466	#
6	1458	#
6	1447	#
6	1473	#
6	1506	#
6	1446	#
7	1443	#
7	1475	#
7	1470	#
7	1399	#
7	1475	#
7	1429	#
7	1451	#
7	1421	#
7	1463	#
7	1420	#
7	1435	#
7	1465	#
7	1456	#
7	1440	#
7	1461	#
7	1419	#
7	1458	#
7	1428	#
7	1464	#
7	1462	#
7	1440	#
8	1443	#
8	1452	#
8	1434	#
8	1460	#
8	1453	#
8	1442	#
8	1428	#
8	1425	#
8	1426	#
8	1430	#
8	1434	#
8	1446	#
8	1398	#
8	1417	#
8	1407	#
8	1403	#
8	1426	#
8	1428	#
8	1422	#
8	1437	#
8	1409	#
9	1394	#
9	1399	#
9	1400	#
9	1398	#
9	1402	#
9	1362	#
9	1395	#
9	1434	#
9	1390	#
9	1404	#
9	1423	#
9	1413	#
9	1392	#
9	1403	#
9	1330	#
9	1377	#
9	1404	#
9	1398	#
9	1390	#
9	1410	#
9	1380	#
10	1383	#
10	1371	#
10	1375	#
10	1373	#
10	1383	#
10	1358	#
10	1374	#
10	1371	#
10	1382	#
10	1367	#
10	1362	#
10	1364	#
10	1366	#
10	1373	#
10	1378	#
10	1371	#
10	1376	#
10	1370	#
10	1367	#
10	1376	#
10	1368	#
11	1353	#
11	1369	#
11	1359	#
11	1359	#
11	1344	#
11	1344	#
11	1361	#
11	1352	#
11	1346	#
11	1355	#
11	1364	#
11	1354	#
11	1352	#
11	1355	#
11	1364	#
11	1351	#
11	1354	#
11	1358	#
11	1357	#
11	1368	#
11	1352	#
12	1344	#
12	1335	#
12	1338	#
12	1341	#
12	1346	#
12	1339	#
12	1346	#
12	1334	#
12	1338	#
12	1338	#
12	1319	#
12	1318	#
12	1344	#
12	1340	#
12	1312	#
12	1339	#
12	1311	#
12	1341	#
12	1315	#
12	1342	#
12	1346	#
13	1325	#
13	1342	#
13	1258	#
13	1234	#
13	1347	#
13	1306	#
13	1332	#
13	1347	#
13	1340	#
13	1336	#
13	1337	#
13	1313	#
13	1324	#
13	1330	#
13	1313	#
13	1257	#
13	1335	#
13	1340	#
13	1251	#
13	1296	#
13	1338	#
14	1336	#
14	1337	#
14	1324	#
14	1307	#
14	1334	#
14	1323	#
14	1329	#
14	1322	#
14	1335	#
14	1338	#
14	1306	#
14	1323	#
14	1315	#
14	1329	#
14	1331	#
14	1331	#
14	1329	#
14	1326	#
14	1337	#
14	1299	#
14	1322	#
15	1320	#
15	1319	#
15	1322	#
15	1321	#
15	1293	#
15	1291	#
15	1321	#
15	1292	#
15	1317	#
15	1303	#
15	1296	#
15	1291	#
15	1291	#
15	1325	#
15	1318	#
15	1322	#
15	1317	#
15	1291	#
15	1313	#
15	1293	#
15	1321	#
16	1293	#
16	1292	#
16	1289	#
16	1283	#
16	1287	#
16	1290	#
16	1293	#
16	1279	#
16	1289	#
16	1252	#
16	1293	#
16	1282	#
16	1287	#
16	1289	#
16	1292	#
16	1287	#
16	1285	#
16	1292	#
16	1293	#
16	1279	#
16	1288	#
17	1290	#
17	1287	#
17	1288	#
17	1285	#
17	1291	#
17	1287	#
17	1283	#
17	1283	#
17	1285	#
17	1288	#
17	1291	#
17	1285	#
17	1284	#
17	1291	#
17	1282	#
17	1238	#
17	1291	#
17	1287	#
17	1285	#
17	1291	#
17	1288	#
18	1283	#
18	1278	#
18	1243	#
18	1282	#
18	1284	#
18	1278	#
18	1280	#
18	1288	#
18	1276	#
18	1285	#
18	1284	#
18	1238	#
18	1281	#
18	1285	#
18	1285	#
18	1288	#
18	1279	#
18	1281	#
18	1284	#
18	1280	#
18	1282	#
19	1279	#
19	1282	#
19	1281	#
19	1285	#
19	1277	#
19	1279	#
19	1283	#
19	1281	#
19	1281	#
19	1281	#
19	1270	#
19	1285	#
19	1284	#
19	1284	#
19	1286	#
19	1270	#
19	1280	#
19	1274	#
19	1277	#
19	1281	#
19	1281	#
20	1279	#
20	1278	#
20	1279	#
20	1278	#
20	1278	#
20	1281	#
20	1270	#
20	1278	#
20	1276	#
20	1274	#
20	1270	#
20	1279	#
20	1275	#
20	1275	#
20	1272	#
20	1278	#
20	1276	#
20	1277	#
20	1252	#
20	1273	#
20	1278	#
21	1277	#
21	1277	#
21	1274	#
21	1227	#
21	1277	#
21	1270	#
21	1270	#
21	1278	#
21	1276	#
21	1278	#
21	1278	#
21	1272	#
21	1276	#
21	1237	#
21	1272	#
21	1275	#
21	1270	#
21	1278	#
21	1274	#
21	1229	#
21	1275	#
22	1272	#
22	1226	#
22	1273	#
22	1207	#
22	1276	#
22	1276	#
22	1225	#
22	1276	#
22	1276	#
22	1270	#
22	1206	#
