Number of genomes	Pan genome
1	4086	#
1	3879	#
1	4045	#
1	3830	#
1	3795	#
1	4064	#
1	3841	#
1	3931	#
1	4059	#
1	4065	#
1	3879	#
1	3798	#
1	4014	#
1	4056	#
1	4066	#
1	3764	#
1	3972	#
1	4050	#
1	4116	#
1	4024	#
1	3735	#
1	4013	#
1	3996	#
1	3842	#
1	4060	#
1	4053	#
1	4002	#
1	3907	#
1	3941	#
1	4121	#
1	3836	#
1	3850	#
1	4000	#
1	4062	#
1	4101	#
1	4102	#
1	4027	#
1	4030	#
1	4049	#
1	4013	#
1	4079	#
1	4010	#
1	4017	#
1	3870	#
1	3842	#
1	3853	#
1	4062	#
1	4054	#
1	4066	#
1	3906	#
1	4107	#
1	4078	#
1	4031	#
1	4056	#
1	4062	#
1	3790	#
2	4250	#
2	4246	#
2	4253	#
2	4171	#
2	4041	#
2	4264	#
2	3916	#
2	4303	#
2	4016	#
2	4296	#
2	4060	#
2	4170	#
2	4128	#
2	4191	#
2	4180	#
2	4216	#
2	4188	#
2	4223	#
2	4113	#
2	4228	#
2	4249	#
2	4132	#
2	4244	#
2	4059	#
2	4190	#
2	4133	#
2	4202	#
2	4105	#
2	4138	#
2	4177	#
2	4193	#
2	4178	#
2	4197	#
2	4076	#
2	4035	#
2	3842	#
2	4088	#
2	4265	#
2	4140	#
2	4252	#
2	4171	#
2	4212	#
2	4196	#
2	3989	#
2	4164	#
2	4230	#
2	4260	#
2	4217	#
2	4197	#
2	4063	#
2	4195	#
2	4206	#
2	4077	#
2	4142	#
2	4262	#
2	4071	#
2	4121	#
2	4244	#
2	4016	#
2	4212	#
2	4255	#
2	4133	#
2	4234	#
2	4226	#
2	4202	#
2	4118	#
2	4074	#
2	4178	#
2	4216	#
2	4215	#
2	4033	#
2	4260	#
2	4141	#
2	4240	#
2	4043	#
2	4126	#
2	3949	#
2	4188	#
2	4172	#
2	4055	#
2	4150	#
2	4197	#
2	4132	#
2	4078	#
2	4213	#
2	4140	#
2	4054	#
2	4208	#
2	4277	#
2	4162	#
2	4191	#
2	4086	#
2	3966	#
2	4092	#
2	4160	#
2	4181	#
2	4215	#
2	4205	#
2	4144	#
2	4236	#
2	4223	#
2	4214	#
2	4144	#
2	4178	#
2	4160	#
2	4072	#
2	4237	#
2	4157	#
2	4118	#
2	4268	#
2	4086	#
2	4015	#
2	4174	#
2	4194	#
2	4267	#
2	4165	#
2	4257	#
2	4207	#
2	4109	#
2	4258	#
2	4181	#
2	4209	#
2	4184	#
2	4130	#
2	4078	#
2	4190	#
2	4175	#
2	4137	#
2	4135	#
2	4291	#
2	4191	#
2	4173	#
2	4178	#
2	4078	#
2	4192	#
2	4184	#
2	4147	#
2	4186	#
2	4179	#
2	4181	#
2	4192	#
2	4296	#
2	4100	#
2	4152	#
2	4222	#
2	4200	#
2	4129	#
2	4294	#
2	4094	#
2	4170	#
2	4145	#
2	4179	#
2	4233	#
2	4041	#
2	4140	#
2	4181	#
2	4042	#
2	4036	#
2	4223	#
2	4261	#
2	4158	#
2	4151	#
2	4071	#
2	4264	#
2	4117	#
2	4052	#
2	4190	#
2	4147	#
2	4246	#
2	4154	#
2	4204	#
2	4251	#
2	4135	#
2	4167	#
2	4150	#
2	4180	#
2	4100	#
2	4169	#
2	4170	#
2	4247	#
2	4100	#
2	4243	#
2	4087	#
2	4091	#
2	4245	#
2	4078	#
2	4196	#
2	4245	#
2	4149	#
2	4085	#
2	4187	#
2	4184	#
2	4153	#
2	4171	#
2	4106	#
2	4160	#
2	4125	#
2	3987	#
2	4190	#
2	3957	#
2	4108	#
2	4204	#
2	4267	#
2	4129	#
2	4102	#
2	4183	#
2	4146	#
2	4205	#
2	4140	#
2	4197	#
2	4008	#
2	4256	#
2	4184	#
2	4168	#
2	4136	#
2	4246	#
2	4239	#
2	4055	#
2	4092	#
2	4103	#
2	4173	#
2	3867	#
2	4175	#
2	4110	#
2	4156	#
2	4111	#
2	4112	#
2	3956	#
2	4246	#
2	4170	#
2	4179	#
2	4167	#
2	4229	#
2	4146	#
2	4200	#
2	4156	#
2	4259	#
2	4156	#
2	4259	#
2	4189	#
2	4273	#
2	4040	#
2	4110	#
2	4185	#
2	4099	#
2	4257	#
2	4193	#
2	4311	#
2	4219	#
2	4085	#
2	4080	#
2	4210	#
2	4197	#
2	4096	#
2	4239	#
2	4202	#
2	4138	#
2	4225	#
2	4174	#
2	4182	#
2	4186	#
2	4126	#
2	4175	#
2	4056	#
2	4105	#
2	4167	#
2	4265	#
2	4259	#
2	4194	#
2	4176	#
2	4141	#
2	4223	#
2	4152	#
2	4003	#
2	4163	#
2	4181	#
2	4164	#
2	3974	#
2	4205	#
2	4219	#
2	4191	#
2	4200	#
2	4181	#
2	4178	#
2	4161	#
2	4160	#
2	4143	#
2	4191	#
2	4068	#
2	4223	#
2	4215	#
2	4118	#
2	4073	#
2	4060	#
2	4225	#
2	4196	#
2	4154	#
2	4087	#
2	4060	#
2	4217	#
2	4156	#
2	4245	#
2	4254	#
2	4196	#
2	4134	#
2	3960	#
2	4187	#
2	4109	#
2	4181	#
2	4102	#
2	4193	#
2	4088	#
2	4220	#
2	4172	#
2	4114	#
2	4095	#
2	4139	#
2	4266	#
2	4214	#
2	4138	#
2	4241	#
2	4201	#
2	4183	#
2	4134	#
2	4048	#
2	4117	#
2	4191	#
2	4240	#
2	4019	#
2	4199	#
2	4101	#
2	4239	#
2	4180	#
2	4194	#
2	4225	#
2	4248	#
2	4168	#
2	4232	#
2	4091	#
2	4193	#
2	4190	#
2	4160	#
2	4157	#
2	4186	#
2	4226	#
2	4130	#
2	4185	#
2	4204	#
2	4083	#
2	4194	#
2	4209	#
2	4281	#
2	4104	#
2	4187	#
2	4171	#
2	4316	#
2	4134	#
2	4057	#
2	4238	#
2	4085	#
2	4198	#
2	4215	#
2	4201	#
2	4215	#
2	4181	#
2	4164	#
2	4162	#
2	4168	#
2	4144	#
2	4152	#
2	4292	#
2	4102	#
2	4198	#
2	4206	#
2	4179	#
2	4055	#
2	4302	#
2	4097	#
2	3956	#
2	4238	#
2	4158	#
2	4205	#
2	4166	#
2	4146	#
2	4285	#
2	4224	#
2	4249	#
2	4258	#
2	4081	#
2	4178	#
2	4064	#
2	4212	#
2	4176	#
2	4194	#
2	4180	#
2	4193	#
2	4127	#
2	4176	#
2	4222	#
2	4121	#
2	4125	#
2	4193	#
2	4184	#
2	4151	#
2	4199	#
2	4175	#
2	4291	#
2	4162	#
2	4216	#
2	4133	#
2	4066	#
2	4195	#
2	4249	#
2	4029	#
2	4182	#
2	4194	#
2	4100	#
2	4151	#
2	3914	#
2	4102	#
2	4100	#
2	4042	#
2	4143	#
2	4197	#
2	4172	#
2	4100	#
2	3945	#
2	4086	#
2	4218	#
2	4179	#
2	4136	#
2	4166	#
2	4156	#
2	4152	#
2	4239	#
2	4160	#
2	4162	#
2	4229	#
2	4234	#
2	4153	#
2	4151	#
2	4129	#
2	3963	#
2	4215	#
2	4106	#
2	4160	#
2	4143	#
2	3925	#
2	4090	#
2	4255	#
2	4223	#
2	4186	#
2	4060	#
2	4141	#
2	4172	#
2	4229	#
2	4076	#
2	4262	#
2	4163	#
2	4187	#
2	4087	#
2	4148	#
2	4113	#
2	4243	#
2	4179	#
2	4123	#
2	4208	#
2	4163	#
2	4264	#
2	4177	#
2	4245	#
2	4161	#
2	4219	#
2	4187	#
2	4082	#
2	4224	#
2	4232	#
2	4218	#
2	4193	#
2	4189	#
2	4091	#
2	4214	#
2	4273	#
2	3930	#
2	4152	#
2	4159	#
2	4206	#
2	4106	#
2	4204	#
2	4141	#
2	4118	#
2	4150	#
2	4124	#
2	4266	#
2	4114	#
2	4173	#
2	4114	#
2	4186	#
2	4052	#
2	4254	#
2	4196	#
3	4289	#
3	4241	#
3	4175	#
3	4189	#
3	4246	#
3	4194	#
3	4018	#
3	4188	#
3	4188	#
3	4279	#
3	4238	#
3	4224	#
3	4204	#
3	4196	#
3	4339	#
3	4179	#
3	4183	#
3	4201	#
