Number of genomes	Number of gene families
1	3404
2	1174
3	709
4	432
5	241
6	233
7	175
8	125
9	115
10	115
11	69
12	95
13	90
14	52
15	43
16	44
17	38
18	45
19	45
20	34
21	76
22	39
23	43
24	49
25	48
26	32
27	24
28	35
29	36
30	24
31	28
32	22
33	15
34	48
35	21
36	22
37	39
38	30
39	54
40	12
41	25
42	14
43	21
44	16
45	18
46	16
47	16
48	11
49	18
50	13
51	11
52	15
53	10
54	18
55	11
56	12
57	9
58	17
59	14
60	8
61	14
62	8
63	8
64	6
65	14
66	13
67	2
68	8
69	4
70	15
71	2
72	11
73	15
74	5
75	12
76	3
77	6
78	8
79	5
80	5
81	2
82	8
83	11
84	9
85	4
86	2
87	5
88	3
89	2
90	6
91	2
92	2
93	4
94	3
95	9
96	7
97	3
98	7
99	5
100	1
101	5
102	3
103	4
104	3
105	6
106	6
107	2
108	8
109	4
110	2
111	1
112	5
113	1
114	2
115	2
116	1
117	2
118	5
119	0
120	3
121	1
122	0
123	2
124	5
125	1
126	4
127	2
128	2
129	2
130	4
131	4
132	3
133	3
134	5
135	1
136	3
137	5
138	2
139	0
140	4
141	3
142	3
143	0
144	1
145	1
146	4
147	1
148	0
149	1
150	3
151	2
152	1
153	2
154	2
155	2
156	3
157	5
158	4
159	0
160	0
161	2
162	2
163	2
164	2
165	1
166	2
167	1
168	1
169	3
170	2
171	3
172	5
173	6
174	1
175	1
176	2
177	1
178	1
179	3
180	2
181	0
182	2
183	0
184	0
185	4
186	1
187	1
188	0
189	5
190	2
191	5
192	1
193	0
194	3
195	2
196	3
197	1
198	2
199	1
200	3
201	1
202	5
203	0
204	5
205	1
206	2
207	3
208	1
209	4
210	2
211	6
212	3
213	5
214	3
215	2
216	2
217	2
218	3
219	6
220	2
221	6
222	5
223	2
224	5
225	4
226	3
227	2
228	4
229	1
230	1
231	10
232	4
233	9
234	8
235	6
236	5
237	12
238	5
239	8
240	8
241	21
242	9
243	28
244	28
245	63
246	129
247	855
