Genome Number	Number of new gene families
2	457
3	327
4	161
5	12
6	204
7	71
8	200
9	122
10	139
11	177
12	182
13	38
14	69
15	72
16	29
17	3
18	7
19	72
20	9
21	47
22	104
23	36
24	57
25	67
26	65
27	24
28	1
29	93
30	64
31	7
32	10
33	3
34	52
35	50
36	7
37	127
38	34
39	83
40	7
41	17
42	3
43	15
44	25
45	8
46	6
47	53
48	5
49	1
50	69
51	50
52	1
53	30
54	5
55	7
56	3
57	4
58	69
59	6
60	50
61	91
62	6
63	19
64	19
65	6
66	13
67	2
68	0
69	14
70	4
71	0
72	76
73	100
74	100
75	38
76	86
77	5
78	6
79	16
80	49
81	34
82	8
83	17
84	22
85	9
86	6
87	3
88	4
89	1
90	9
91	8
92	4
93	2
94	1
95	6
96	1
97	4
98	6
99	4
100	0
101	4
102	19
103	47
104	66
105	64
106	148
107	78
108	40
109	68
110	160
111	42
112	84
113	78
114	39
115	63
116	21
117	86
118	26
119	25
120	45
121	30
122	35
123	138
124	48
125	64
126	1
127	44
128	29
129	27
130	29
131	27
132	37
133	0
134	9
135	3
136	5
137	1
138	1
139	69
140	27
141	2
142	12
143	2
144	4
145	34
146	2
147	2
148	7
149	5
150	1
151	3
152	87
153	45
154	0
155	3
156	1
157	61
158	7
159	3
160	3
161	2
162	2
163	4
164	0
165	2
166	3
167	4
168	3
169	3
170	1
171	3
172	5
173	50
174	76
175	21
176	20
177	38
178	33
179	34
180	46
181	46
182	31
183	4
184	65
185	125
186	41
187	29
188	22
189	13
190	1
191	7
192	34
193	36
194	4
195	42
196	17
197	12
198	3
199	42
200	35
201	14
202	5
203	1
204	16
205	30
206	8
207	3
208	5
209	31
210	35
211	10
212	5
213	3
214	5
215	31
216	13
217	11
218	8
219	27
220	12
221	38
222	2
223	3
224	70
225	34
226	46
227	2
228	30
229	9
230	3
231	37
232	38
233	32
234	14
235	28
236	2
237	2
238	1
239	0
240	3
241	1
242	5
243	3
244	26
245	4
246	7
247	17
