Genome Number	Number of new gene families
2	802
3	707
4	512
5	466
6	470
7	477
8	335
9	382
10	300
11	389
12	327
13	217
14	139
15	254
16	430
17	393
18	357
19	899
20	321
21	237
22	242
23	185
24	309
25	310
26	293
27	218
28	171
29	191
30	174
31	135
32	88
33	91
34	268
35	13
36	5
37	4
38	234
39	398
40	299
41	210
42	169
43	202
44	5
45	313
46	185
47	2
48	289
49	16
50	216
51	75
52	184
53	152
54	53
55	49
56	35
57	38
58	151
59	244
60	32
61	6
62	172
63	8
64	6
65	279
66	2
67	1
68	3
69	28
70	257
71	257
72	166
73	267
74	379
75	342
76	371
77	209
78	12
79	178
80	16
81	6
82	4
83	5
84	1
85	0
86	0
87	0
88	0
89	0
90	2
91	3
92	0
93	0
94	0
95	0
96	2
97	5
98	234
99	283
100	147
101	214
102	154
103	125
104	114
105	11
106	10
107	197
108	228
109	196
110	14
111	223
112	163
113	187
114	207
115	47
116	7
117	181
118	194
119	18
120	164
121	179
122	177
123	11
124	186
125	12
126	179
127	20
128	14
129	16
130	185
131	9
132	174
133	11
134	156
135	2
136	166
137	148
138	246
139	177
140	207
141	5
142	116
143	208
144	225
145	191
146	158
147	4
148	2
149	6
150	9
151	5
152	1
153	6
154	2
155	1
156	1
157	4
158	4
159	1
160	4
161	1
162	2
163	2
164	2
165	2
166	1
167	3
168	1
169	2
170	122
171	80
172	214
173	86
174	25
175	192
176	169
177	176
178	145
179	220
180	143
181	160
182	132
183	193
184	163
185	134
186	112
187	140
188	33
189	114
190	109
191	30
192	62
193	13
194	21
195	72
196	6
197	60
198	149
199	130
200	23
201	2
202	171
203	146
204	169
205	98
206	118
207	44
208	132
209	152
210	110
211	123
212	117
213	102
214	99
215	199
216	149
217	2
218	162
219	143
220	15
221	3
222	5
223	2
224	4
225	7
226	9
227	3
228	2
229	5
230	7
231	9
232	8
233	166
234	0
