Number of genomes	Pan genome
1	1518	#
1	1491	#
1	1529	#
1	1490	#
1	1542	#
1	1495	#
1	1575	#
1	1545	#
1	1543	#
1	1505	#
1	1558	#
1	1480	#
1	1531	#
1	1485	#
1	1548	#
1	1479	#
1	1522	#
1	1543	#
1	1544	#
1	1492	#
1	1547	#
1	1517	#
1	1509	#
1	1516	#
1	1473	#
1	1577	#
1	1485	#
1	1545	#
1	1522	#
1	1473	#
1	1496	#
1	1519	#
1	1532	#
1	1497	#
1	1511	#
1	1505	#
1	1483	#
1	1553	#
1	1512	#
1	1524	#
1	1547	#
1	1559	#
1	1484	#
1	1437	#
1	1544	#
1	1537	#
1	1547	#
1	1574	#
1	1511	#
1	1532	#
1	1549	#
2	2268	#
2	2304	#
2	2278	#
2	2246	#
2	2001	#
2	2224	#
2	2169	#
2	2224	#
2	2037	#
2	2322	#
2	2267	#
2	2269	#
2	2162	#
2	2218	#
2	2305	#
2	2381	#
2	2259	#
2	2257	#
2	2262	#
2	2261	#
2	2315	#
2	2346	#
2	2383	#
2	2086	#
2	2115	#
2	2069	#
2	2334	#
2	2314	#
2	2023	#
2	2027	#
2	2320	#
2	2445	#
2	2341	#
2	1563	#
2	2348	#
2	2219	#
2	2277	#
2	2032	#
2	2307	#
2	2223	#
2	2185	#
2	2262	#
2	2302	#
2	2236	#
2	2343	#
2	2236	#
2	2298	#
2	2335	#
2	2429	#
2	2263	#
2	2301	#
3	2930	#
3	2985	#
3	3041	#
3	2784	#
3	2885	#
3	2923	#
3	3036	#
3	2896	#
3	2354	#
3	2986	#
3	3070	#
3	2862	#
3	2866	#
3	2908	#
3	2942	#
3	2769	#
3	2872	#
3	2985	#
3	3046	#
3	2951	#
3	3092	#
3	2831	#
3	3079	#
3	2306	#
3	3072	#
3	2660	#
3	2307	#
3	2856	#
3	2822	#
3	2942	#
3	2755	#
3	2899	#
3	2869	#
3	2797	#
3	2789	#
3	2952	#
3	2948	#
3	2912	#
3	2907	#
3	2948	#
3	2881	#
3	2759	#
3	2894	#
3	3125	#
3	2981	#
3	2837	#
3	2811	#
3	3119	#
3	2761	#
3	2405	#
3	2885	#
4	3588	#
4	3537	#
4	3443	#
4	3386	#
4	3409	#
4	3544	#
4	3531	#
4	3399	#
4	3551	#
4	3594	#
4	3616	#
4	3488	#
4	3456	#
4	3395	#
4	3580	#
4	3631	#
4	3575	#
4	3631	#
4	3473	#
4	3584	#
4	3572	#
4	3580	#
4	3102	#
4	3585	#
4	3552	#
4	3625	#
4	3009	#
4	3610	#
4	3558	#
4	3017	#
4	3451	#
4	3588	#
4	3015	#
4	3571	#
4	3581	#
4	3427	#
4	3657	#
4	3553	#
4	3569	#
4	3009	#
4	3567	#
4	3576	#
4	3485	#
4	3582	#
4	3443	#
4	3551	#
4	3469	#
4	3583	#
4	3516	#
4	3568	#
4	3486	#
5	3869	#
5	4047	#
5	4063	#
5	4029	#
5	4005	#
5	3895	#
5	4032	#
5	3604	#
5	4080	#
5	4036	#
5	4025	#
5	4073	#
5	3606	#
5	4108	#
5	4084	#
5	4033	#
5	3996	#
5	4059	#
5	4112	#
5	4061	#
5	4060	#
5	3919	#
5	4111	#
5	4018	#
5	4033	#
5	4085	#
5	4103	#
5	4074	#
5	4013	#
5	3923	#
5	4035	#
5	4011	#
5	4093	#
5	4108	#
5	4085	#
5	4014	#
5	4102	#
5	3678	#
5	4034	#
5	4044	#
5	4587	#
5	4029	#
5	4158	#
5	4057	#
5	4063	#
5	4025	#
5	4050	#
5	4041	#
5	4071	#
5	4041	#
5	4037	#
6	4514	#
6	4537	#
6	4488	#
6	4391	#
6	4460	#
6	4513	#
6	4459	#
6	4478	#
6	4506	#
6	4526	#
6	4509	#
6	4425	#
6	4592	#
6	4512	#
6	4149	#
6	4483	#
6	4541	#
6	4471	#
6	4504	#
6	4370	#
6	4529	#
6	4497	#
6	4572	#
6	4468	#
6	4543	#
6	4537	#
6	4566	#
6	4531	#
6	4558	#
6	4505	#
6	4442	#
6	4523	#
6	4363	#
6	4433	#
6	4467	#
6	4509	#
6	4577	#
6	4507	#
6	4553	#
6	4374	#
6	4416	#
6	4450	#
6	4499	#
6	4555	#
6	4529	#
6	4537	#
6	4508	#
6	4474	#
6	4144	#
6	4351	#
6	4475	#
7	4835	#
7	4900	#
7	4913	#
7	4920	#
7	4827	#
7	4981	#
7	4914	#
7	4946	#
7	4975	#
7	4969	#
7	4971	#
7	4905	#
7	4874	#
7	4415	#
7	4890	#
7	4996	#
7	4938	#
7	5007	#
7	4974	#
7	4701	#
7	4916	#
7	4874	#
7	4797	#
7	4910	#
7	4836	#
7	5016	#
7	5010	#
7	4759	#
7	4817	#
7	5014	#
7	4912	#
7	4539	#
7	4909	#
7	4947	#
7	4984	#
7	4916	#
7	4929	#
7	5007	#
7	4932	#
7	4724	#
7	4688	#
7	4847	#
7	4985	#
7	4944	#
7	4682	#
7	4414	#
7	4738	#
7	4871	#
7	4880	#
7	5461	#
7	4896	#
8	5007	#
8	5294	#
8	5358	#
8	5349	#
8	5327	#
8	5187	#
8	5257	#
8	5309	#
8	5192	#
8	5291	#
8	5158	#
8	5322	#
8	5175	#
8	5254	#
8	5305	#
8	5343	#
8	5374	#
8	5454	#
8	5182	#
8	5413	#
8	5063	#
8	5312	#
8	5421	#
8	5289	#
8	5345	#
8	5284	#
8	5797	#
8	5326	#
8	5147	#
8	5383	#
8	5224	#
8	4870	#
8	5328	#
8	5406	#
8	5419	#
8	5284	#
8	5292	#
8	5166	#
8	5303	#
8	5165	#
8	5309	#
8	5218	#
8	5431	#
8	5280	#
