Number of genomes	Number of gene families
1	33100
2	7703
3	4832
4	2366
5	1196
6	763
7	510
8	405
9	303
10	247
11	213
12	182
13	731
14	266
15	197
16	188
17	381
18	306
19	160
20	138
21	402
22	191
23	121
24	123
25	105
26	110
27	85
28	74
29	87
30	84
31	65
32	61
33	60
34	55
35	43
36	40
37	44
38	37
39	43
40	33
41	25
42	34
43	29
44	36
45	33
46	24
47	20
48	31
49	37
50	34
51	23
52	16
53	19
54	24
55	25
56	14
57	22
58	20
59	15
60	23
61	22
62	17
63	16
64	19
65	15
66	15
67	16
68	14
69	8
70	14
71	12
72	13
73	14
74	14
75	6
76	15
77	10
78	11
79	13
80	12
81	12
82	24
83	14
84	13
85	12
86	9
87	13
88	14
89	12
90	9
91	16
92	8
93	8
94	6
95	11
96	9
97	10
98	4
99	6
100	6
101	3
102	6
103	7
104	3
105	9
106	4
107	10
108	7
109	4
110	4
111	3
112	4
113	4
114	2
115	5
116	6
117	4
118	6
119	4
120	4
121	8
122	9
123	5
124	6
125	4
126	3
127	3
128	4
129	4
130	3
131	8
132	3
133	1
134	4
135	5
136	3
137	0
138	2
139	4
140	3
141	6
142	5
143	2
144	4
145	3
146	1
147	1
148	6
149	2
150	3
151	4
152	6
153	1
154	3
155	4
156	5
157	3
158	5
159	2
160	5
161	7
162	3
163	6
164	1
165	1
166	1
167	6
168	1
169	5
170	1
171	3
172	1
173	0
174	1
175	1
176	4
177	1
178	3
179	0
180	1
181	2
182	2
183	0
184	1
185	2
186	2
187	2
188	1
189	6
190	0
191	1
192	2
193	1
194	0
195	2
196	1
197	3
198	4
199	3
200	2
201	4
202	2
203	3
204	1
205	0
206	4
207	3
208	2
209	1
210	3
211	1
212	2
213	2
214	1
215	3
216	2
217	4
218	3
219	0
220	4
221	2
222	3
223	2
224	2
225	2
226	6
227	2
228	6
229	5
230	7
231	14
232	23
233	29
234	114
