#This file cannot be read by other PanTools functions. Split the file on the semicolon and use the homology group node identifiers in the right column
#34 genomes 97.14%
#33 genomes 94.29%
#32 genomes 91.43%
8,15,16,17;2813558,2814792,2814793,2814794,2814795,2814796,2814797,2814799,2814800,2814801,2814802,2814803,2814804,2814805,2814806,2814807,2814808,2814809,2814810,2814811,2814812,2814813,2814814,2814815,2814817,2814818,2814820,2814821,2814822,2814823,2814824,2814825,2814826,2814827,2814828,2814829,2814830,2814832,2814833,2814834,2814835,2814836,2814837,2814838,2814839,2814841,2814842,2814843,2814844,2814845,2814846,2814847,2814848,2814849,2814850,2814852,2814853,2814854,2814855,2814856,2814857,2814858,2814859,2814860,2814861,2814862,2814863,2814864,2814865,2814866,2814867,2814868,2814869,2814870,2814871,2814872,2814873,2814874,2814875,2814876,2814877,2814878,2814879,2814880,2814881,2814882,2814883,2814884,2814885,2814886,2814887,2814888,2814889,2814890,2814891,2814892,2814893,2814894,2814895,2814896,2814897,2814898,2814899,2814901,2814902,2814903,2814904,2814905,2814906,2814907,2814908,2814909,2814910,2814911,2814912,2814913,2814914,2814915,2814916,2814917,2814918,2814919,2814920,2814923,2814924,2814925,2814926,2814927,2814928,2814929,2814930,2814931,2814933,2814934,2814935,2814936,2814937,2814938,2814939,2814940,2814941,2814942,2814943,2814944,2814945,2814946,2814947,2814948,2814949,2814950,2814951,2814952,2814954,2814955,2814957,2814958,2814959,2814960,2814961,2814962,2814965,2814966,2814967,2814969,2814970,2814971,2814972,2814973,2814975,2814976,2814977,2814978,2814979,2814980,2814981,2814984,2814985,2814986,2814987,2814988,2814989,2814990,2814991,2814992,2814993,2814994,2814996,2814998,2814999,2815000,2815001,2815002,2815003,2815004,2815005,2815006,2815007,2815008,2815011,2815012,2815013,2815014,2815015,2815016,2815017,2815019,2815020,2815021,2815022,2815023,2815024,2815025,2815026,2815027,2815028,2815029,2815030,2815031,2815032,2815033,2815034,2815035,2815036,2815037,2815038,2815039,2815041,2815042,2815043,2815044,2815045,2815046,2815047,2815048,2815049,2815050,2815051,2815052,2815053,2815054,2815055,2815056,2815057,2815058,2815059,2815060,2815061,2815062,2815063,2815064,2815065,2815066,2815067,2815068,2815069,2815070,2815071,2815072,2815073,2815074,2815076,2815077,2815078,2815079,2815080,2815081,2815082,2815083,2815084,2815085,2815086,2815087,2815088,2815089,2815090,2815091,2815094,2815097,2815098,2815099,2815100,2815101,2815102,2815103,2815104,2815105,2815106,2815107,2815108,2815109,2815110,2815111,2815112,2815113,2815114,2815115,2815116,2815118,2815119,2815120,2815121,2815122,2815123,2815124,2815125,2815126,2815128,2815129,2815130,2815131,2815132,2815133,2815134,2815135,2815136,2815137,2815138,2815139,2815141,2815142,2815143,2815145,2815146,2815147,2815148,2815149,2815150,2815151,2815152,2815153,2815154,2815155,2815156,2815157,2815159,2815160,2815161,2815162,2815163,2815164,2815165,2815166,2815167,2815168,2815169,2815170,2815171,2815172,2815173,2815174,2815175,2815176,2815177,2815178,2815179,2815180,2815181,2815182,2815183,2815184,2815185,2815186,2815187,2815188,2815189,2815190,2815191,2815192,2815193,2815194,2815195,2815196,2815197,2815198,2815199,2815200,2815201,2815202,2815203,2815204,2815205,2815206,2815207,2815208,2815209,2815210,2815211,2815212,2815213,2815216,2815217,2815218,2815219,2815220,2815221,2815222,2815223,2815224,2815225,2815226,2815227,2815228,2815229,2815230,2815231,2815232,2815233,2815234,2815235,2815236,2815237,2815238,2815239,2815240,2815241,2815242,2815243,2815244,2815245,2815246,2815247,2815248,2815249,2815250,2815251,2815252,2815255,2815256,2815258,2815259,2815260,2815261,2815262,2815264,2815266,2815267,2815269,2815271,2815272,2815273,2815274,2815275,2815276,2815277,2815278,2815280,2815282,2815283,2815284,2815285,2815286,2815287,2815288,2815289,2815290,2815291,2815292,2815293,2815296,2815297,2815298,2815299,2815300,2815301,2815302,2815303,2815304,2815305,2815306,2815307,2815308,2815309,2815310,2815311,2815312,2815313,2815314,2815315,2815316,2815319,2815320,2815321,2815322,2815323,2815324,2815325,2815327,2815328,2815329,2815330,2815331,2815332,2815333,2815334,2815335,2815336,2815337,2815338,2815339
3,5,6,22;2812457,2813058,2813059,2813060,2813061,2813062,2813063,2813064,2813065,2813066,2813067,2813068,2813069,2813070,2813071,2813072,2813073,2813075,2813076,2813077,2813078,2813079,2813080,2813081,2813082,2813083,2813084,2813091,2813093,2813094,2813095,2813101,2813102,2813103,2813104,2813105,2813106,2813107,2813108,2813109,2813110,2813111,2813112,2813113,2813114,2813115,2813116,2813117,2813118,2813119,2813120,2813121,2813122,2813123,2813124,2813125,2813126,2813127,2813128,2813129,2813130,2813131,2813132,2813133,2813134,2813135,2813136,2813137,2813138,2813139,2813140,2813141,2813142,2813143,2813144,2813145,2813146,2813147,2813148,2813149,2813150,2813151,2813152,2813153,2813154,2813155,2813156,2813157,2813158,2813159,2813160,2813161,2813162,2813163,2813164,2813165,2813166,2813167,2813168,2813169,2813170,2813171,2813172,2813173,2813175,2813176,2813180,2813181,2813182,2813183,2813184,2813185,2813186,2813187,2813188,2813189,2813190,2813191,2813192,2813193,2813194,2813195,2813196,2813197,2813198,2813199,2813200,2813201,2813202,2813203,2813204,2813205,2813206,2813207,2813208,2813209,2813210,2813211,2813212,2813213,2813214,2813215,2813216,2813217,2813218,2813219,2813220,2813221,2813222,2813223,2813224,2813225,2813226,2813227,2813228,2813229,2813230,2813231,2813232,2813233,2813234,2813235,2813236,2813237,2813238,2813239,2813240,2813241,2813242,2813243,2813244,2813245,2813246,2813247,2813248,2813249,2813250,2813251,2813253,2813254,2813255,2813256,2813257,2813258,2813259,2813260,2813261,2813262,2813263,2813264,2813265,2813266,2813267,2813268,2813269,2813270,2813271,2813272,2813273,2813274,2813275,2813276,2813277,2813278,2813279,2813280,2813281,2813282,2813283,2813284,2813285,2813286,2813287,2813288,2813289,2813290,2813291,2813292,2813293,2813294,2813295,2813296,2813297,2813298,2813299,2813300,2813301,2813302,2813303,2813304,2813305,2813306,2813307,2813308,2813309,2813310,2813311,2813312,2813313,2813314,2813315,2813316,2813317,2813318,2813319,2813320,2813321,2813322,2813323,2813324,2813325,2813326,2813327,2813328,2813329,2813330,2813331,2813332,2813333,2813334,2813335,2813336,2813337,2813338,2813339,2813340,2813341,2813342,2813343,2813344,2813345,2813346,2813347,2813348,2813349,2813350,2813351,2813352,2813353,2813354,2813355,2813356,2813357,2813358,2813359,2813360,2813361,2813362,2813363,2813364,2813365,2813366,2813367,2813368,2813369,2813370,2813371,2813372,2813373,2813374,2813375,2813376,2813379,2813380,2813381,2813382,2813383,2813384,2813385,2813386,2813387,2813388,2813389,2813390,2813391,2813392,2813393,2813394,2813395,2813396,2813397,2813398,2813399,2813400,2813401,2813402,2813403,2813404,2813405,2813406,2813407,2813408,2813409,2813410,2813411,2813412,2813413,2813414,2813415,2813416,2813417,2813418,2813419,2813420,2813421,2813422,2813423,2813424,2813425,2813426,2813427,2813428,2813429,2813435,2813436,2813437,2813438,2813439,2813440,2813441,2813442,2813443,2813444,2813445,2813446,2813447,2813448,2813449,2813450,2813451,2813452,2813453,2813454,2813455,2813456,2813457,2813458,2813459,2813460,2813461,2813462,2813463,2813464,2813465,2813466,2813467,2813468,2813469,2813470,2813471,2813472,2813473,2813474,2813475,2813476,2813477,2813478,2813479,2813480,2813481,2813482,2813483,2813484,2813485,2813486,2813487,2813488,2813489,2813490,2813491,2813492,2813493,2813494,2813495,2813496,2813497,2813499,2813500,2813501,2813502,2813503,2813504,2813505,2813506,2813507,2813508,2813509,2813510,2813511,2813512,2813513,2813514,2813515,2813516,2813517,2813518,2813519,2813520,2813521,2813522,2813523,2813524,2813525,2813526,2813527,2813528,2813529,2813530,2813531,2813533,2813534,2813535,2813536,2813537,2813538,2813539,2813540,2813541,2813542,2813544,2813545,2813546,2813547,2813548,2813549,2813554,2813555,2813556,2813557,2813561,2813562,2813563,2813564,2813565,2813567,2813568,2813569,2813570,2813571,2813572,2813573,2813574,2813575,2813576,2813577,2813578,2813579,2813580,2813581,2813582,2813583,2813584,2813585,2813586,2813587,2813588,2813589,2813590,2813591,2813592,2813593,2813594,2813595,2813596,2813597,2813598,2813599,2813600,2813601,2813602,2813603,2813604,2813605,2813606,2813607,2813608,2813609,2813610,2813611,2813612,2813613,2813617,2813618,2813619,2813620,2813621,2813622,2813623,2813624,2813625,2813626,2813627,2813628,2813629,2813630,2813631,2813632,2813633,2813634,2813635,2813636,2813637,2813640,2813641,2813642,2813643,2813644,2813645,2813646,2813647,2813648,2813649,2813650
12,18,24,31;2817022
12,24,29,31;2812458
15,25,26,33;2817955
12,24,30,31;2816521
12,30,31,35;2816538,2816720,2816757,2816814,2816885,2817013
25,26,28,33;2820779,2820841
12,24,31,35;2814092
19,26,28,33;2815214
