Number of genomes	Number of gene families
1	976
2	243
3	130
4	56
5	74
6	26
7	41
8	31
9	62
10	19
11	4
12	2
13	6
14	7
15	5
16	61
17	14
18	5
19	4
20	12
21	31
22	13
23	21
24	63
25	26
26	32
27	41
28	9
29	8
30	19
31	21
32	15
33	12
34	8
35	2
36	3
37	7
38	2
39	5
40	6
41	8
42	2
43	7
44	3
45	3
46	4
47	18
48	84
49	28
50	20
51	17
52	24
53	26
54	48
55	36
56	113
57	1163
