1	5452
2	2237
3	2054
4	2023
5	1992
6	1976
7	1919
8	1893
9	1875
10	1865
11	1854
12	1852
13	1836
14	1815
15	1806
16	1803
17	1803
18	1800
19	1798
20	1798
21	1793
22	1793
23	1791
24	1791
25	1791
26	1787
27	1786
28	1782
29	1781
30	1769
31	1768
32	1763
33	1760
34	1760
35	1760
36	1757
37	1757
38	1746
39	1745
40	1743
41	1743
42	1736
43	1730
44	1726
45	1725
46	1723
47	1718
48	1717
49	1716
50	1716
51	1713
52	1713
53	1713
54	1712
55	1712
56	1711
57	1711
58	1711
59	1707
60	1707
61	1706
62	1704
63	1703
64	1703
65	1702
66	1702
67	1701
68	1701
69	1701
70	1701
71	1701
72	1693
73	1693
74	1683
75	1683
76	1679
77	1679
78	1679
79	1678
80	1674
81	1674
82	1674
83	1674
