Genome Number	Number of new gene families
2	3206
3	2588
4	1408
5	945
6	734
7	1706
8	1066
9	962
10	712
11	366
12	98
13	743
14	1025
15	1383
16	579
17	10
18	478
19	511
20	10
21	563
22	788
23	27
24	8
25	376
26	694
27	599
28	905
29	14
30	1030
31	223
32	598
33	304
34	18
35	22
36	268
37	146
38	566
39	167
40	356
41	342
42	558
43	640
44	525
45	783
46	244
47	227
48	385
49	335
50	42
51	315
52	24
53	7
54	597
55	283
56	382
57	237
58	507
59	140
60	37
61	192
62	98
63	411
64	3
65	550
66	2
67	2
68	1
69	17
70	228
71	6
72	228
73	1
74	89
75	3
76	912
77	79
78	352
79	262
80	533
81	295
82	438
83	49
