Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,
1,0.0,0.004018081366147674,0.16418604651162794,0.12108262108262113,0.14238410596026485,0.2736339982653946,0.008016032064128265,0.1428571428571429,0.2692140686061659,0.20566037735849052,0.017866004962779125,0.007511266900350533,0.20167675826734976,
2,0.004018081366147674,0.0,0.16262814538676607,0.1194100856327307,0.13899430740037955,0.27237185056472635,0.0050226017076845375,0.14212488350419383,0.26794258373205737,0.20415879017013228,0.014925373134328401,0.005519317611640706,0.20018665422305182,
3,0.16418604651162794,0.16262814538676607,0.0,0.10703953712632597,0.053946053946053896,0.2855902777777778,0.1625523986958547,0.0444444444444444,0.28342013888888884,0.20504281636536636,0.15330848089468774,0.1628664495114006,0.22685185185185186,
4,0.12108262108262113,0.1194100856327307,0.10703953712632597,0.0,0.1139546112988894,0.2601054481546573,0.11845861084681253,0.08858931150698124,0.257908611599297,0.1968541468064824,0.10629170638703522,0.1179267712791251,0.2005623242736645,
5,0.14238410596026485,0.13899430740037955,0.053946053946053896,0.1139546112988894,0.0,0.27782646801051714,0.13892840208629686,0.07523204689789942,0.2748794388426129,0.19827172347575617,0.12861888941623156,0.13927048792041685,0.2162921348314607,
6,0.2736339982653946,0.27237185056472635,0.2855902777777778,0.2601054481546573,0.27782646801051714,0.0,0.27225358228397745,0.2754749568221071,0.029150197628458496,0.21936389148737134,0.26217391304347826,0.27245119305856835,0.17132039753904404,
7,0.008016032064128265,0.0050226017076845375,0.1625523986958547,0.11845861084681253,0.13892840208629686,0.27225358228397745,0.0,0.14119291705498604,0.26707264027838196,0.20406235238545112,0.015904572564612307,0.005516549648946878,0.20177073625349484,
8,0.1428571428571429,0.14212488350419383,0.0444444444444444,0.08858931150698124,0.07523204689789942,0.2754749568221071,0.14119291705498604,0.0,0.2740612861458783,0.20545369064409968,0.13280521901211562,0.14152700186219735,0.2180312787488501,
9,0.2692140686061659,0.26794258373205737,0.28342013888888884,0.257908611599297,0.2748794388426129,0.029150197628458496,0.26707264027838196,0.2740612861458783,0.0,0.21785881252921924,0.25772747061384416,0.2672750977835724,0.16808712121212122,
10,0.20566037735849052,0.20415879017013228,0.20504281636536636,0.1968541468064824,0.19827172347575617,0.21936389148737134,0.20406235238545112,0.20545369064409968,0.21785881252921924,0.0,0.19470699432892247,0.20434167059933928,0.15926110833749374,
11,0.017866004962779125,0.014925373134328401,0.15330848089468774,0.10629170638703522,0.12861888941623156,0.26217391304347826,0.015904572564612307,0.13280521901211562,0.25772747061384416,0.19470699432892247,0.0,0.014413518886679966,0.1925407925407926,
12,0.007511266900350533,0.005519317611640706,0.1628664495114006,0.1179267712791251,0.13927048792041685,0.27245119305856835,0.005516549648946878,0.14152700186219735,0.2672750977835724,0.20434167059933928,0.014413518886679966,0.0,0.20037278657968316,
13,0.20167675826734976,0.20018665422305182,0.22685185185185186,0.2005623242736645,0.2162921348314607,0.17132039753904404,0.20177073625349484,0.2180312787488501,0.16808712121212122,0.15926110833749374,0.1925407925407926,0.20037278657968316,0.0,
