#This file cannot be read by other PanTools functions. Split the file on the semicolon and use the homology group node identifiers in the right column
#12 genomes 92.31%
1,2,5,7,8,11,12;207679,208582
3,4,5,6,8,10,13;208502
1,2,7,8,10,11,12;207870
1,2,5,7,11,12,13;209020
3,4,6,8,9,10,13;209615
1,2,4,7,8,11,12;209219,209574,209591,209592,209593,209597,209602
3,5,6,8,9,10,13;208130
1,2,3,4,7,11,12;208805,209184
1,2,3,5,7,11,12;207725,208125,208555
1,2,4,6,7,11,12;209087
1,2,7,10,11,12,13;207675,207894,208835,209009,209479
1,2,4,7,11,12,13;207783,208334,208660,208911
3,4,5,6,8,9,13;208749
1,2,4,7,10,11,12;208131,208881
#6 genomes 46.15%
1,4,7,8,11,12;209598
3,4,5,6,8,9;209089
1,2,7,9,11,12;208504,208711,209540,209565
3,4,5,8,10,13;207451,209294,209438
3,5,6,8,9,13;207386,208190
4,6,9,10,11,13;209729
3,4,5,8,9,13;208048
1,2,7,11,12,13;208679,209088
3,4,6,8,9,10;209329
4,5,6,9,10,13;209707
1,2,7,10,11,12;207897,208313,208873,209557
1,2,5,7,11,12;207453,207501,207627,207651,207676,208310,208620,208846,209116
1,2,4,7,11,12;207540,207784,208565,208571,208673,208837,208838,208840,208841,209369,209580,209596
1,2,7,8,11,12;209594,209595
4,6,8,9,10,13;207722
#5 genomes 38.46%
3,5,6,8,9;209480
3,5,8,10,13;208091
4,5,6,9,11;209657
1,3,6,8,9;207500
3,6,9,10,13;209531
6,9,10,12,13;209955
3,4,5,7,8;208218
3,4,5,6,9;209221
3,6,8,9,10;209622,209625
3,4,5,8,10;207677,209679
3,4,6,9,13;207678
3,4,6,8,9;207452
3,4,5,8,9;208049,209428
1,2,7,11,12;207615,207682,207715,207723,207739,207760,207790,207864,207865,207875,207922,207926,208037,208071,208398,208411,208547,208617,208619,208740,208794,208842,208890,208892,208944,208945,208949,208997,209010,209046,209070,209074,209151,209168,209169,209295,209297,209407,209446,209563
4,6,9,10,13;208217
#4 genomes 30.77%
3,4,8,9;207626
3,5,8,9;209090
3,4,8,13;207625,208847
4,6,8,13;209564
3,5,8,10;209519
5,6,9,10;209121
3,5,6,9;207873,209094
1,2,7,12;208618
3,4,8,10;209614,209616,209617
6,8,9,10;208750
3,4,5,8;207895,208055,208346,208509,208678,208712,208745,208891,209093,209147,209298,209299,209481,209497,209558,209612,209621,209626,209628,209630,209637,209638,209641,209642,209643,209681,209694,209696
5,6,8,9;209774
6,9,10,13;207792,207980,208001,208006,208267,208632,209071,209553,209579,209658,209790,209796,209802,209808,209821,209848,209859,209861,209862,209869,209887,209897,209898,209915,209916,209917,209918,209919,209920,209922,209930,209943,209945,209954,209962,209963
1,2,12,13;208699
3,5,8,13;208213
#3 genomes 23.08%
3,4,5;208639,209636
1,3,8;207498
4,10,13;209291,209483
4,5,8;208951
9,10,13;208779
6,9,13;207741,207901,208126,208503,208796,208903,208978,209576,209618,209798,209799,209807,209812,209818,209819,209820,209822,209823,209824,209826,209828,209829,209833,209835,209836,209839,209840,209841,209842,209843,209844,209845,209846,209847,209853,209860,209863,209866,209867,209873,209914,209926,209935,209938,209939,209958,209959,209961,209967,209974,209975,209976,209977
5,8,10;209773
7,9,12;209302
1,2,11;209300
3,5,8;207490,207645,207724,208638,208950,209117,209122,209220,209355,209611,209613,209619,209620,209624,209639,209645,209646,209647,209648,209659,209682,209683,209684,209685,209695,209698
6,9,10;207642,207773,207868,208056,208085,208408,208683,209025,209788,209813,209814,209858,209896,209913,209932,209934,209953
5,6,9;208050,209742
1,2,7;208848
3,8,13;207491
3,5,6;208714
4,6,8;208127
3,6,8;209521
3,8,10;208062
6,10,13;208778
4,6,9;208653,209713
3,4,8;207653,208982,209532,209631,209634,209651,209677,209680,209689,209691,209697
6,7,9;209072
#2 genomes 15.38%
1,2;209559
1,12;208260
6,9;207495,207503,207505,207506,207507,207639,207771,207921,208136,208314,208436,208475,208482,208629,208674,208675,208860,208875,208939,208952,209211,209367,209419,209439,209442,209457,209554,209784,209785,209786,209787,209789,209791,209794,209795,209797,209800,209801,209803,209804,209805,209806,209809,209810,209815,209816,209817,209825,209827,209830,209831,209832,209834,209837,209849,209850,209851,209852,209854,209855,209856,209857,209864,209865,209868,209870,209871,209872,209874,209875,209876,209877,209878,209879,209880,209881,209882,209883,209884,209885,209886,209888,209889,209890,209891,209892,209893,209894,209895,209899,209900,209901,209902,209903,209904,209905,209906,209907,209908,209909,209910,209911,209912,209921,209923,209924,209925,209927,209928,209929,209931,209933,209936,209937,209940,209941,209942,209944,209946,209947,209948,209949,209950,209951,209952,209956,209957,209960,209964,209965,209966,209968,209969,209970,209971,209972,209973,209978,209979,209980
9,10;209434
7,10;208051
5,13;209520
6,13;209130,209541,209838
3,5;208953,209148
1,4;207670
4,8;207496,208713,209292
3,4;208584,208874
10,13;207872,208052,208583,208904,209118,209131,209998,210012,210019,210097,210101
5,8;208806,209664,209763
9,13;207648,207657,209440
4,10;207871,208481,209460,209706,209725
3,10;208888
6,10;208137,208452,208789,209301
11,12;208219
4,12;207492
4,5;208746
5,6;209368
3,8;207497,207504,207508,207654,208601,208721,208747,209627,209650,209660,209669,209686,209687,209688,209690,209692,209693,209699,209700,209701
1,13;208057
