Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,
1,0.0,0.028721876495931054,0.2544642857142857,0.17874186550976134,0.18469656992084438,0.31845356715823037,0.03296703296703296,0.23152307064107802,0.3123748498197837,0.28919141914191415,0.04166666666666663,0.040246212121212155,0.2862985685071575,
2,0.028721876495931054,0.0,0.23716887417218546,0.1594331266607617,0.16689098250336476,0.30272247054043067,0.006360078277886538,0.21440466278101578,0.29644752960391996,0.2723063973063973,0.015511391177896239,0.015019379844961267,0.27454242928452577,
3,0.2544642857142857,0.23716887417218546,0.0,0.18071278825995807,0.1630808950086059,0.3346065699006876,0.23612261806130908,0.05986984815618224,0.3301380368098159,0.32172211350293545,0.228251864125932,0.23940765117235707,0.35260555344237354,
4,0.17874186550976134,0.1594331266607617,0.18071278825995807,0.0,0.17760279965004377,0.2841596130592503,0.15742793791574283,0.1604210526315789,0.27923917442331037,0.2827246614690193,0.1465364120781527,0.1607221488331132,0.3013258336681398,
5,0.18469656992084438,0.16689098250336476,0.1630808950086059,0.17760279965004377,0.0,0.32653876898481216,0.16569375841939826,0.1752971137521222,0.3211561621838619,0.28898128898128894,0.15633423180592987,0.1722296395193591,0.3056234718826406,
6,0.31845356715823037,0.30272247054043067,0.3346065699006876,0.2841596130592503,0.32653876898481216,0.0,0.30243902439024395,0.3218654434250765,0.05418943533697629,0.30266343825665865,0.29263329263329263,0.3045234248788369,0.2797570850202429,
7,0.03296703296703296,0.006360078277886538,0.23612261806130908,0.15742793791574283,0.16569375841939826,0.30243902439024395,0.0,0.21258857857440605,0.29476696647587897,0.2712721145745577,0.015996122152205472,0.014541929229277772,0.2749584026622296,
8,0.23152307064107802,0.21440466278101578,0.05986984815618224,0.1604210526315789,0.1752971137521222,0.3218654434250765,0.21258857857440605,0.0,0.31799002685078637,0.3178807947019867,0.2054166666666667,0.2160596026490066,0.34119437048307344,
9,0.3123748498197837,0.29644752960391996,0.3301380368098159,0.27923917442331037,0.3211561621838619,0.05418943533697629,0.29476696647587897,0.31799002685078637,0.0,0.2985014175779668,0.2862985685071575,0.2976045473000406,0.2740951606344042,
10,0.28919141914191415,0.2723063973063973,0.32172211350293545,0.2827246614690193,0.28898128898128894,0.30266343825665865,0.2712721145745577,0.3178807947019867,0.2985014175779668,0.0,0.26326874473462514,0.274362191551652,0.3020325203252032,
11,0.04166666666666663,0.015511391177896239,0.228251864125932,0.1465364120781527,0.15633423180592987,0.29263329263329263,0.015996122152205472,0.2054166666666667,0.2862985685071575,0.26326874473462514,0.0,0.022585295530994753,0.2670549084858569,
12,0.040246212121212155,0.015019379844961267,0.23940765117235707,0.1607221488331132,0.1722296395193591,0.3045234248788369,0.014541929229277772,0.2160596026490066,0.2976045473000406,0.274362191551652,0.022585295530994753,0.0,0.27940569541890214,
13,0.2862985685071575,0.27454242928452577,0.35260555344237354,0.3013258336681398,0.3056234718826406,0.2797570850202429,0.2749584026622296,0.34119437048307344,0.2740951606344042,0.3020325203252032,0.2670549084858569,0.27940569541890214,0.0,
