Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,
1,0.0,0.012941762070681984,0.17530977512620471,0.13866914844113543,0.16911090742438128,0.28510456679470764,0.016393442622950838,0.15271389144434222,0.2776824034334764,0.26334208223972,0.026082677165354284,0.01588877855014892,0.2687713310580204,
2,0.012941762070681984,0.0,0.16767021769337653,0.1305777360263034,0.1597222222222222,0.2789496340938442,0.005522088353413612,0.14570765661252905,0.27142857142857146,0.2568402471315092,0.015415216310293411,0.006018054162487463,0.2624784853700516,
3,0.17530977512620471,0.16767021769337653,0.0,0.12310606060606055,0.08280871670702183,0.29537671232876717,0.16720704029643352,0.05378973105134477,0.2901977644024075,0.2615996464869642,0.15801668211306763,0.16751503933364187,0.28996598639455784,
4,0.13866914844113543,0.1305777360263034,0.12310606060606055,0.0,0.1457169459962756,0.27476313522825146,0.12922932330827064,0.1032685930838465,0.26946366782006925,0.258688957325121,0.11723163841807904,0.1286989196806012,0.270940170940171,
5,0.16911090742438128,0.1597222222222222,0.08280871670702183,0.1457169459962756,0.0,0.29961750956226096,0.1592592592592592,0.10113960113960119,0.2937660119555935,0.2685063512921594,0.1492122335495829,0.15957446808510634,0.2927756653992395,
6,0.28510456679470764,0.2789496340938442,0.29537671232876717,0.27476313522825146,0.29961750956226096,0.0,0.27851915626345247,0.28412969283276446,0.04333008763388513,0.27654963155613355,0.2685344827586207,0.2787096774193548,0.24297449200172938,
7,0.016393442622950838,0.005522088353413612,0.16720704029643352,0.12922932330827064,0.1592592592592592,0.27851915626345247,0.0,0.14438254410399254,0.2702468601126029,0.2563989408649603,0.015904572564612307,0.005516549648946878,0.26354256233877904,
8,0.15271389144434222,0.14570765661252905,0.05378973105134477,0.1032685930838465,0.10113960113960119,0.28412969283276446,0.14438254410399254,0.0,0.2796573875802998,0.2600700525394045,0.13602599814298977,0.1447124304267161,0.28027095681625736,
9,0.2776824034334764,0.27142857142857146,0.2901977644024075,0.26946366782006925,0.2937660119555935,0.04333008763388513,0.2702468601126029,0.2796573875802998,0.0,0.2719756309834639,0.26094495015171215,0.2704456945045435,0.23675065160729802,
10,0.26334208223972,0.2568402471315092,0.2615996464869642,0.258688957325121,0.2685063512921594,0.27654963155613355,0.2563989408649603,0.2600700525394045,0.2719756309834639,0.0,0.24768211920529803,0.2566137566137566,0.2778730703259005,
11,0.026082677165354284,0.015415216310293411,0.15801668211306763,0.11723163841807904,0.1492122335495829,0.2685344827586207,0.015904572564612307,0.13602599814298977,0.26094495015171215,0.24768211920529803,0.0,0.014413518886679966,0.25505376344086017,
12,0.01588877855014892,0.006018054162487463,0.16751503933364187,0.1286989196806012,0.15957446808510634,0.2787096774193548,0.005516549648946878,0.1447124304267161,0.2704456945045435,0.2566137566137566,0.014413518886679966,0.0,0.26225279449699057,
13,0.2687713310580204,0.2624784853700516,0.28996598639455784,0.270940170940171,0.2927756653992395,0.24297449200172938,0.26354256233877904,0.28027095681625736,0.23675065160729802,0.2778730703259005,0.25505376344086017,0.26225279449699057,0.0,
