Genome Number	Number of new gene families
2	232
3	45
4	24
5	63
6	98
7	125
8	82
9	75
10	51
11	8
12	12
13	48
14	21
15	9
16	16
17	19
18	16
19	16
20	32
21	14
22	10
23	26
24	8
25	6
26	1
27	9
28	5
29	1
30	34
31	5
32	9
33	37
34	25
35	15
36	3
37	7
38	50
39	3
40	25
41	3
42	10
43	6
44	16
45	2
46	9
47	6
48	12
49	6
50	15
51	0
52	2
53	7
54	12
55	18
56	12
