Number of genomes	Number of gene families
1	673
2	211
3	156
4	44
5	9
6	16
7	12
8	11
9	51
10	50
11	4
12	18
13	3
14	10
15	6
16	9
17	3
18	2
19	2
20	9
21	2
22	0
23	4
24	16
25	2
26	11
27	2
28	7
29	4
30	3
31	2
32	5
33	4
34	13
35	3
36	14
37	71
38	7
39	47
40	31
41	63
42	40
43	8
44	29
45	2
46	18
47	10
48	2
49	10
50	9
51	17
52	44
53	61
54	121
55	278
56	3103
