Number of genomes	Pan genome
1	3379	#
1	3688	#
1	3601	#
1	3541	#
1	2542	#
1	3649	#
1	4010	#
1	3590	#
1	4157	#
1	3802	#
1	3652	#
1	3631	#
1	2827	#
1	3218	#
1	3778	#
1	3622	#
1	3479	#
1	3441	#
1	3504	#
1	4186	#
1	3696	#
1	2904	#
1	3907	#
1	3846	#
1	3165	#
1	3844	#
1	3502	#
1	3582	#
1	3848	#
1	3807	#
1	3792	#
1	3904	#
1	3842	#
1	4072	#
1	3461	#
1	3440	#
1	3990	#
1	3534	#
1	3477	#
1	3888	#
1	3165	#
1	3575	#
1	3551	#
1	3614	#
1	3640	#
1	3500	#
1	3684	#
1	3721	#
1	3548	#
1	3588	#
2	7070	#
2	5883	#
2	4581	#
2	6267	#
2	5920	#
2	6738	#
2	5115	#
2	6163	#
2	4623	#
2	5339	#
2	4475	#
2	6071	#
2	6122	#
2	7321	#
2	7465	#
2	5214	#
2	4975	#
2	5280	#
2	6067	#
2	4841	#
2	6045	#
2	5308	#
2	6806	#
2	5129	#
2	4717	#
2	5251	#
2	6695	#
2	6262	#
2	7051	#
2	4540	#
2	6348	#
2	6665	#
2	5505	#
2	3599	#
2	5100	#
2	7197	#
2	5117	#
2	6408	#
2	4699	#
2	4685	#
2	6595	#
2	7321	#
2	4371	#
2	5198	#
2	4126	#
2	4298	#
2	5299	#
2	5707	#
2	7183	#
2	6884	#
2	6587	#
2	4691	#
2	6285	#
2	6556	#
2	4634	#
2	7153	#
2	4864	#
2	4731	#
2	6812	#
2	6041	#
2	6237	#
2	4084	#
2	7402	#
2	7115	#
2	6810	#
2	5218	#
2	5981	#
2	4615	#
2	4671	#
2	7028	#
2	7554	#
2	4626	#
2	4442	#
2	4077	#
2	5226	#
2	4025	#
2	7320	#
2	6344	#
2	4324	#
2	6803	#
2	5908	#
2	5982	#
2	6547	#
2	5604	#
2	4594	#
2	4322	#
2	5126	#
2	5713	#
2	7317	#
2	3860	#
2	5169	#
2	5233	#
2	4457	#
2	5236	#
2	5041	#
2	4278	#
2	4507	#
2	4797	#
2	4474	#
2	6904	#
2	7319	#
2	4383	#
2	7159	#
2	6666	#
2	4613	#
2	4781	#
2	4727	#
2	6056	#
2	6479	#
2	4683	#
2	7149	#
2	5839	#
2	5144	#
2	4420	#
2	4536	#
2	4372	#
2	5054	#
2	4711	#
2	4917	#
2	5147	#
2	4612	#
2	6057	#
2	5309	#
2	4526	#
2	4478	#
2	7123	#
2	3823	#
2	3745	#
2	6816	#
2	4976	#
2	6304	#
2	7066	#
2	6666	#
2	7235	#
2	4945	#
2	6034	#
2	4835	#
2	5912	#
2	7064	#
2	4601	#
2	7321	#
2	4662	#
2	4418	#
2	5086	#
2	5167	#
2	4141	#
2	4906	#
2	7835	#
2	5149	#
2	7320	#
2	4424	#
2	4507	#
2	6172	#
2	3946	#
2	7126	#
2	4534	#
2	4865	#
2	4286	#
2	4505	#
2	5823	#
2	4620	#
2	5152	#
2	5034	#
2	4935	#
2	4509	#
2	4512	#
2	4673	#
2	3723	#
2	4434	#
2	6970	#
2	5924	#
2	4927	#
2	3683	#
2	5706	#
2	7373	#
2	4165	#
2	5048	#
2	4344	#
2	4520	#
2	7298	#
2	4563	#
2	6383	#
2	5018	#
2	6416	#
2	5251	#
2	4150	#
2	6884	#
2	4577	#
2	6467	#
2	3976	#
2	5329	#
2	4707	#
2	5761	#
2	4965	#
2	5166	#
2	5816	#
2	3609	#
2	4677	#
2	6099	#
2	7008	#
2	5028	#
2	6114	#
2	4339	#
2	5077	#
2	3673	#
2	6429	#
2	7196	#
2	5742	#
2	4390	#
2	6116	#
2	4609	#
2	4647	#
2	4418	#
2	4532	#
2	5204	#
2	3169	#
2	7060	#
2	4678	#
2	4456	#
2	6847	#
2	7009	#
2	6225	#
2	6116	#
