Genome Number	Number of new gene families
2	35
3	992
4	756
5	1161
6	3473
7	1577
8	1150
9	584
10	114
11	2903
12	467
13	10
14	908
15	334
16	7
17	4
18	264
19	334
20	245
21	233
22	577
23	173
24	36
25	386
26	227
27	346
28	123
29	93
30	91
31	145
32	74
33	219
34	131
35	140
36	141
37	1930
38	38
39	746
40	497
41	24
42	96
43	11
44	3
45	3
46	3
47	1885
48	1
49	565
50	1224
