Number of genomes	Number of gene families
1	11017
2	4470
3	4400
4	1858
5	654
6	1944
7	317
8	197
9	183
10	120
11	128
12	95
13	117
14	107
15	108
16	73
17	82
18	77
19	69
20	50
21	50
22	63
23	52
24	52
25	40
26	40
27	56
28	51
29	50
30	103
31	77
32	53
33	43
34	64
35	67
36	158
37	646
38	85
39	58
40	134
41	970
42	0
43	0
44	1
45	0
46	0
47	2
48	0
49	0
50	0
