Genome Number	Number of new gene families
2	238
3	4
4	38
5	2
6	269
7	59
8	18
9	2
10	3
11	1
12	0
13	32
14	89
15	158
16	1
17	1
18	124
19	4
20	11
21	3
22	11
23	2
24	75
25	20
26	9
27	6
28	1
29	3
30	209
31	2
32	110
33	1
34	39
35	161
36	2
37	12
38	2
39	0
40	0
41	0
42	0
43	34
44	1
45	7
46	0
47	3
48	27
49	70
50	6
51	0
52	2
53	9
54	0
55	1
56	24
57	0
