Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
1,0.0,0.9992914836332719,0.3530864197530864,0.3133580300719111,0.381578947368421,0.37040775131207104,0.4432301153612629,0.3604981428883548,0.43365695792880254,0.3240618101545254,0.999558693733451,0.9993780127507386,0.36327433628318584,0.6577396893411891,0.25410220346929213,0.374072457442165,0.413233204789933,0.6561660998747092,0.3858005413283364,0.44238066706610746,0.6544446431765337,0.36167371466726017,0.3720122574055158,0.3732425307557118,0.38684597604538773,0.9992914836332719,0.38645418326693226,0.32577092511013217,0.41371016235718583,0.38207343412526995,0.37016908212560384,0.999051104785143,0.9995534385233701,0.32973568281938326,0.37941495124593716,0.9990713717166357,0.2997941916304596,0.3845001070434596,0.3867379679144385,0.31100897351718104,0.9991863303498779,0.3743409490333919,0.3730072068137148,0.6725208444207912,0.34826749062017215,0.41825095057034223,0.369341102644554,0.9992967651195499,0.257085020242915,0.36657022034275544,
2,0.9992914836332719,0.0,0.9992433414043583,0.9991440798858773,0.9991299303944315,0.999182895274411,0.9991381786842861,0.9991142604074402,0.9991445680068435,0.9991256193529583,0.9996707818930041,0.999649675950254,0.9992502624081572,0.9992635145087642,0.9992558416431017,0.9991071428571429,0.9991534988713319,0.9992624280867385,0.9991456642460487,0.9992927864214993,0.9992640565204592,0.9990951591011914,0.9991711562370493,0.9991011235955056,0.9992803684513529,0.0012614317250079221,0.9991385498923188,0.9991267646630767,0.9991648106904232,0.9991125573140068,0.9991855572146057,0.6020151133501259,0.9996663886572144,0.9991244710345834,0.9991109794043562,0.6130540870272468,0.9991051454138703,0.9992665395335192,0.9991192014092778,0.9992844876931883,0.6016806722689076,0.9991004497751125,0.9991071428571429,0.9992596979567664,0.9991116375481196,0.9991636465012546,0.999083409715857,0.02136222910216723,0.9992877492877493,0.9990921470721743,
3,0.3530864197530864,0.9992433414043583,0.0,0.3342472012794151,0.3405780346820809,0.3864550264550265,0.43394594594594593,0.3190374076721467,0.4237251512532412,0.3388372093023255,0.9995274846432509,0.9991640193947501,0.059480592013404054,0.6350646843019888,0.30038853812530353,0.30852863010388987,0.4307921635434412,0.6322418136020151,0.35754441196312126,0.41833440929632015,0.6285381930981,0.28910891089108914,0.44884488448844884,0.290489063652003,0.3210220673635308,0.9992433414043583,0.3498064222272831,0.3398328690807799,0.43893768297783353,0.29243452958292915,0.38819810326659643,0.9989896073903002,0.9993618379068283,0.3316183348924229,0.3084696823869105,0.9990125546621527,0.31337518107194595,0.30458671763019585,0.3103858980466889,0.33149678604224064,0.9991335740072202,0.3038067349926794,0.30730174081237915,0.6545524100994644,0.31375838926174493,0.4371069182389937,0.294955044955045,0.999249361957664,0.34841628959276016,0.2945544554455446,
4,0.3133580300719111,0.9991440798858773,0.3342472012794151,0.0,0.3496625299368604,0.2722772277227723,0.43255432554325546,0.3296752519596865,0.4167009461127108,0.295459679241021,0.9995556872037915,0.9993735317149569,0.34526221021832093,0.6517502706604115,0.29447004608294935,0.34732142857142856,0.43558776167471824,0.6501447178002895,0.3616071428571429,0.4626214554828475,0.6459616081130025,0.34239746204396104,0.44433536226192816,0.3613894455577822,0.40221943048576214,0.9991440798858773,0.34221933246640657,0.2976566020730058,0.4367176634214186,0.36839798378259914,0.2767551369863014,0.9989085948158254,0.9995503597122302,0.2909297052154195,0.3504216600088771,0.9989320517954879,0.27400140154169583,0.3801295896328294,0.3557797762667252,0.054033485540334825,0.9990446294527091,0.3555456171735242,0.34695244474212994,0.6650511577813678,0.3179556761646314,0.4377733598409542,0.34591626630061767,0.9991505026192836,0.34272805507745263,0.34738273283480625,
5,0.381578947368421,0.9991299303944315,0.3405780346820809,0.3496625299368604,0.0,0.3827917433067648,0.4314868804664723,0.18845584607794774,0.42000000000000004,0.3403305046895936,0.9995480566435674,0.9992025518341308,0.35162833067638355,0.6456837842812442,0.33340955865538535,0.2576481835564054,0.43330605564648117,0.6432791728212703,0.13118385429485602,0.4536437246963563,0.6390018484288356,0.23158153241650292,0.45427553444180524,0.2843949798721288,0.39311671654553226,0.9991299303944315,0.13950617283950617,0.34017399063127374,0.43795326349717967,0.35664649181797803,0.38514750762970495,0.9984749757382504,0.9995425434583715,0.34418915904528213,0.25197038452352516,0.9989155483258777,0.32720165555300074,0.36989627013904214,0.26672927917351485,0.3431265073448805,0.9986130374479889,0.24697336561743344,0.2572316519244562,0.6634422339843037,0.18533201189296333,0.4390243902439024,0.2364312267657993,0.9991365664124334,0.3842878433042367,0.2382822085889571,
6,0.37040775131207104,0.999182895274411,0.3864550264550265,0.2722772277227723,0.3827917433067648,0.0,0.4599498166377147,0.35006353240152477,0.4237487733071639,0.35132872985980335,0.999576570218772,0.9994045846978268,0.3949456975772765,0.6714893617021276,0.3528534923339012,0.38273411371237454,0.46757421062582716,0.669568185697218,0.39296422146711973,0.4956279069767442,0.6672354948805461,0.3672075149444919,0.42892483349191246,0.39749999999999996,0.4329004329004329,0.999182895274411,0.38158961881589615,0.35254803675856305,0.4716734998136415,0.404185473943373,0.03928905519176795,0.9989560224455174,0.9995717344753747,0.3396624472573839,0.37633284549445956,0.9989775051124744,0.33001730103806226,0.4210844587784721,0.39438063986874483,0.275,0.9990861618798955,0.381343440724363,0.38205771643663744,0.6861684139330402,0.34800170068027214,0.4718283582089552,0.37877813504823155,0.9991887506760411,0.3889334402566159,0.3746803069053708,
7,0.4432301153612629,0.9991381786842861,0.43394594594594593,0.43255432554325546,0.4314868804664723,0.4599498166377147,0.0,0.41463414634146345,0.41844118255116813,0.4158039298542151,0.9995525059665871,0.9992108585858586,0.44197952218430037,0.6548287733285015,0.41097666378565256,0.4190844616376531,0.4106995884773662,0.652734871888061,0.44043982895540623,0.49187707966333916,0.6490270958356065,0.4108900065602449,0.43064966121960946,0.42638829100301334,0.4702440992535808,0.9991381786842861,0.4298698615988432,0.4175801011804384,0.4163628999594978,0.43250688705234164,0.4627353054168267,0.9984888034070614,0.9995471014492754,0.41065365025466893,0.41896810104902593,0.998925164584173,0.3996075866579464,0.4523364485981308,0.4382470119521913,0.42954264524103836,0.9986256184716877,0.42305201813080073,0.41840464416254564,0.6741431903821999,0.410752688172043,0.41485691089912724,0.41561879549966907,0.999144689950107,0.4456852791878173,0.4170854271356784,
8,0.3604981428883548,0.9991142604074402,0.3190374076721467,0.3296752519596865,0.18845584607794774,0.35006353240152477,0.41463414634146345,0.0,0.4109880749574105,0.33674630261660976,0.9995395948434622,0.9991867273910214,0.3272214386459803,0.6395939086294415,0.3118963486454652,0.22924901185770752,0.4224408624659828,0.6376319758672699,0.18135345666991232,0.44013280763643914,0.6298959318826869,0.2092081963066026,0.43186454508363936,0.25758317025440314,0.3790004384042087,0.9991142604074402,0.2007281553398058,0.3381017257039055,0.4247678018575851,0.3347193347193347,0.35196119780683255,0.9988722864392444,0.9993783993783993,0.32814288985573625,0.2234016292273513,0.9988973121984838,0.31177720084965777,0.3595302619692864,0.23271665043816947,0.327334083239595,0.9990128331688055,0.22626463992025914,0.23056035546778575,0.6540186915887851,0.16087844739530133,0.4278052805280528,0.21399387129724212,0.9991211366632489,0.3671550404548436,0.2156763590391909,
9,0.43365695792880254,0.9991445680068435,0.4237251512532412,0.4167009461127108,0.42000000000000004,0.4237487733071639,0.41844118255116813,0.4109880749574105,0.0,0.41386554621848737,0.9995559502664298,0.9992172824045085,0.43055259227650955,0.658050619278406,0.3941890719861232,0.42450021267545723,0.2883557120845256,0.6567110471392588,0.43621983370513084,0.4787213179054717,0.6486632947976878,0.409950032587443,0.21985178531327199,0.42670940170940175,0.46068548387096775,0.9991445680068435,0.4259563965446318,0.41397398237515737,0.2909248805905341,0.45360182686319284,0.42645047860910335,0.9989091900736297,0.9994007490636704,0.4060452335658423,0.4233623065507738,0.9989326217478319,0.39282608695652177,0.4466984061270959,0.42899036447423544,0.39870644690173174,0.9990451507297776,0.4223842195540308,0.4238297872340425,0.6726721369960756,0.4115261472785485,0.29568610448731847,0.41429197720298117,0.9991509834441772,0.434173100365705,0.41472952422333265,
10,0.3240618101545254,0.9991256193529583,0.3388372093023255,0.295459679241021,0.3403305046895936,0.35132872985980335,0.4158039298542151,0.33674630261660976,0.41386554621848737,0.0,0.9995457298606905,0.9991982039769083,0.34732736866253733,0.6454595894211208,0.27981977709272,0.35053421232098203,0.4273927392739274,0.6437975152976081,0.35745328118209474,0.45709068776628115,0.6392499071667286,0.3382796197542314,0.4431317581097317,0.34306066176470584,0.38658904700301855,0.9991256193529583,0.3579246935201401,0.017928819909017957,0.43057532018702993,0.3546786922209696,0.35525494276795,0.9986072423398329,0.9993867852215238,0.18273487456960158,0.3435652569349704,0.998910527032548,0.04719525350593312,0.35746201966041113,0.3487640449438202,0.2925556059918293,0.9987459941479727,0.35253772290809327,0.34978394359790765,0.6620778267254038,0.3291313316525326,0.43101343101343104,0.3449404066370647,0.9991323210412147,0.33480273308353536,0.3445319740500463,
