Genome Number	Number of new gene families
2	431
3	285
4	156
5	68
6	71
7	108
8	90
9	31
10	0
11	121
12	30
13	15
14	1
15	94
16	1
17	59
18	153
19	17
20	30
21	93
22	3
23	1
24	0
25	0
26	0
27	110
28	25
29	42
30	4
31	89
32	83
33	3
34	14
35	0
36	194
37	144
38	40
39	26
40	16
41	32
42	22
43	47
44	7
45	39
46	9
47	5
48	7
49	9
50	4
51	7
52	1
53	24
54	3
55	6
56	12
57	5
58	3
59	4
60	10
61	16
62	69
63	2
64	5
65	6
66	3
67	5
68	0
69	2
70	13
71	1
72	5
73	12
74	13
75	6
76	3
77	7
78	4
79	2
80	4
81	0
82	7
83	3
84	3
85	2
86	2
87	2
88	4
89	2
90	6
91	79
92	44
93	23
94	37
95	137
96	3
97	25
98	60
99	13
100	34
101	87
102	44
103	25
104	63
105	27
106	23
107	25
108	0
109	10
110	2
111	1
112	2
113	2
114	117
115	2
116	21
117	4
118	49
119	12
120	17
121	17
122	39
123	13
124	0
125	50
126	17
127	6
128	1
129	7
130	64
131	11
132	16
133	239
134	7
135	16
136	53
137	50
138	56
139	82
140	70
141	6
142	29
143	28
144	87
145	83
146	30
147	14
148	50
149	42
150	5
151	52
152	20
153	1
154	95
155	76
156	49
157	34
158	9
159	0
160	59
161	1
162	1
163	9
164	11
165	7
166	13
167	8
168	2
169	0
170	0
171	0
172	64
173	86
174	32
175	30
176	60
177	32
178	30
179	44
180	28
181	32
182	9
183	6
184	8
185	8
186	4
187	2
188	1
189	12
190	4
191	1
192	5
193	9
194	1
195	1
196	3
197	1
198	0
199	9
200	0
201	0
202	0
203	16
204	68
205	6
206	15
207	4
208	7
209	22
210	5
211	5
212	1
213	4
214	22
215	0
216	0
217	0
218	0
219	1
220	0
221	0
222	1
223	1
224	2
225	3
226	41
227	4
228	11
229	4
230	4
231	25
232	2
233	17
234	2
