Number of genomes	Pan genome
1	1901	#
1	2082	#
1	1891	#
1	2125	#
1	1888	#
1	1872	#
1	1978	#
1	1913	#
1	1910	#
2	3315	#
2	4026	#
2	3710	#
2	3760	#
2	3805	#
2	4005	#
2	3962	#
2	3963	#
2	4093	#
2	3683	#
2	3784	#
2	3252	#
2	3946	#
2	3988	#
2	3671	#
2	3804	#
2	4051	#
2	3704	#
2	4013	#
2	2517	#
2	3781	#
3	5825	#
3	5101	#
3	5576	#
3	5743	#
3	4234	#
3	5363	#
3	5831	#
3	5936	#
3	5430	#
3	4645	#
3	4485	#
3	5871	#
3	5182	#
3	5145	#
3	5818	#
3	5874	#
3	4397	#
3	5072	#
3	5913	#
3	5252	#
3	5785	#
4	6756	#
4	7661	#
4	7740	#
4	6286	#
4	7501	#
4	7287	#
4	6349	#
4	6717	#
4	6815	#
4	6714	#
4	7273	#
4	7337	#
4	5797	#
4	7118	#
4	6409	#
4	6537	#
4	5943	#
4	7661	#
4	6168	#
4	6283	#
4	7396	#
5	8129	#
5	9265	#
5	9352	#
5	7599	#
5	7249	#
5	7837	#
5	8537	#
5	8645	#
5	8068	#
5	8496	#
5	7835	#
5	8015	#
5	8547	#
5	9046	#
5	7563	#
5	8057	#
5	8151	#
5	9029	#
5	9256	#
5	8082	#
5	7608	#
6	10655	#
6	9196	#
6	9364	#
6	9027	#
6	10715	#
6	8915	#
6	9464	#
6	10612	#
6	10145	#
6	8930	#
6	9741	#
6	10213	#
6	9193	#
6	10010	#
6	9221	#
6	9927	#
6	10418	#
6	9923	#
6	10876	#
6	10380	#
6	9437	#
7	11060	#
7	10345	#
7	11106	#
7	10133	#
7	11301	#
7	11258	#
7	10541	#
7	11627	#
7	12031	#
7	10809	#
7	11992	#
7	11988	#
7	11584	#
7	12035	#
7	9915	#
7	11249	#
7	11267	#
7	11046	#
7	10801	#
7	11563	#
7	10814	#
8	12909	#
8	12426	#
8	12018	#
8	11692	#
8	11954	#
8	11683	#
8	11415	#
8	12866	#
8	12422	#
9	13300	#
	#
