Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,
1,0.0,0.12328139321723186,0.26677994902293967,0.1379003558718861,0.282062207072859,0.333732057416268,0.30667765869744434,0.3081657775954042,0.3249299719887955,0.32672866963202585,0.26519337016574585,0.3342685370741483,0.30539174389216517,0.3489688637282653,0.2848020434227331,0.3559390048154093,0.3283940728874649,0.306873977086743,0.3181076672104405,0.3341232227488151,0.31061544816191655,0.34527559055118107,0.3126036484245439,0.3165849673202614,0.3048264182895851,0.30887869945810753,0.28255319148936175,0.2824882829143588,0.31093814010651377,0.32008196721311477,0.30696332921302016,0.31265306122448977,0.268334039847393,0.3092955398082534,0.3196553139105458,0.34425597532767926,0.32492883285888574,0.29495202336253645,0.3012658227848102,0.26618398637137985,0.2990380593893768,0.26677994902293967,0.3279400157853196,0.32432432432432434,0.15189309576837418,0.282793867120954,0.3101736972704715,0.16007114273010226,0.3656202143950995,0.2809128630705394,0.30642504118616143,0.32129817444219066,0.31492842535787324,0.28753180661577604,0.419391206313416,0.3360032038446136,0.32001630656339175,0.3195458231954582,0.30363864491844417,0.27810158201498747,0.28260869565217395,0.3115087433916226,0.1559714795008913,0.3001245330012453,0.3225674570727719,0.3317460317460318,0.3028666389696718,0.30203572912339016,0.28474288142796433,0.2997572815533981,0.32932692307692313,0.31769547325102876,0.32308936514355036,0.3185247275775356,0.31413178615830917,0.30188679245283023,0.33478089222266083,0.3343786750294002,0.3139959432048681,0.30875763747454177,0.32058584214808783,0.284197111299915,0.29752412924884597,0.26618398637137985,0.28183361629881154,0.3170134638922889,0.3092186854071931,0.317283950617284,
2,0.12328139321723186,0.0,0.26178234790059984,0.19470945359930614,0.27123760241483397,0.3126268777913114,0.3035714285714286,0.30648492358529533,0.329454253611557,0.3190359477124183,0.25943396226415094,0.31718241042345274,0.30004249893752655,0.33333333333333337,0.2732758620689655,0.3412052117263844,0.33493782591255516,0.29536039768019884,0.2955112219451371,0.335977786592622,0.2947589098532495,0.3226324237560193,0.30172052035249686,0.2953410981697171,0.28034557235421165,0.2942917547568711,0.27174849267872525,0.2716688227684346,0.2966348151225592,0.2931323283082077,0.303156146179402,0.3012396694214876,0.262617621899059,0.29471458773784354,0.30333333333333334,0.3416149068322981,0.3088356729975227,0.30242272347535504,0.3123946037099494,0.26042114310270736,0.2893401015228426,0.26029159519725553,0.32711393410083367,0.31936533767290476,0.13724604966139953,0.27123760241483397,0.2964360587002096,0.13294010889292196,0.35106796116504857,0.2768716018402342,0.2869710934227063,0.3162847790507365,0.29362765514369016,0.2723752151462995,0.4179273827534039,0.33319887051230335,0.30591153369160806,0.3179591836734694,0.2838297872340425,0.27257454850902985,0.270293609671848,0.3036154478225144,0.12954545454545452,0.2897942041159177,0.304943913585376,0.31002425222312047,0.300418410041841,0.29100084104289314,0.2702586206896552,0.2959641255605381,0.3237671786580436,0.30342237061769617,0.317421460628315,0.31260575296108295,0.2968421052631579,0.2994630318050392,0.33663758921490883,0.3269992082343627,0.31649694501018333,0.30709307093070926,0.29879817654372154,0.2704565030146425,0.2804774083546462,0.26042114310270736,0.25908304498269896,0.2943866943866944,0.2990380593893768,0.2980326496442026,
3,0.26677994902293967,0.26178234790059984,0.0,0.28453267162944584,0.27993109388458226,0.318034118602762,0.29278523489932884,0.29436325678496866,0.30486309767061703,0.304383788254756,0.012776412776412727,0.3184973458554512,0.27264846120502817,0.3374434854089602,0.27154612386314425,0.34258881175990197,0.31869918699186994,0.30648492358529533,0.3017456359102244,0.33466135458167334,0.295330248212032,0.31853048041986276,0.29729729729729726,0.3015806988352745,0.2696335078534031,0.29414261460101865,0.2804301075268817,0.27813712807244506,0.29222408026755853,0.28866413822166037,0.29093198992443325,0.2897703549060543,0.022960429897410872,0.2923926901827454,0.29823825503355705,0.33710937500000004,0.3171134020618557,0.2937210282343026,0.2735930735930736,0.018181818181818188,0.2913486005089059,0.01375921375921374,0.3257575757575758,0.3138058172879967,0.27919631645039766,0.2791900043084877,0.2876480541455161,0.28308207705192634,0.35880527540729246,0.31069958847736623,0.3025,0.31275720164609055,0.30129005409904286,0.283998283998284,0.4121904761904762,0.32164696290256833,0.30369754881595346,0.3109831345125462,0.1644586569209685,0.3080099091659785,0.2797413793103448,0.29648033126293993,0.28236279849183077,0.3060542797494781,0.30625,0.31130928252938794,0.29096283783783783,0.2973086627417998,0.28264604810996563,0.2874177631578947,0.3203252032520325,0.30330959363217425,0.3020661157024793,0.2995293110825845,0.2988602785985648,0.28511705685618727,0.3366494230003979,0.3269765593961065,0.2990499793473771,0.2992972302604382,0.30290456431535273,0.28356928356928357,0.26767241379310347,0.02303921568627454,0.12177985948477754,0.2992093216812318,0.27867459643160575,0.30572982015892936,
4,0.1379003558718861,0.19470945359930614,0.28453267162944584,0.0,0.3085808580858086,0.3206801107156979,0.3249097472924187,0.32894736842105265,0.33633163863903015,0.30744466800804826,0.2844150475403059,0.3356973995271868,0.31922760887428103,0.3508144616607072,0.3070247933884298,0.35635359116022103,0.31399046104928463,0.31557869443332,0.3055780113177041,0.3244722439405786,0.3227107704719645,0.36485451761102605,0.3274050121261115,0.3067906224737268,0.3242798353909465,0.31426236207601144,0.30902348578491967,0.30829550144449025,0.33160828025477707,0.33453237410071945,0.3265224358974359,0.3076923076923077,0.2874226804123712,0.3132924335378323,0.31047077922077926,0.3277117669605213,0.3272073511785857,0.3096013018714402,0.3054635761589404,0.28612836438923395,0.31293349653202773,0.28665840561751343,0.34423076923076923,0.33582972014189993,0.18935165306998714,0.3085808580858086,0.31957928802589,0.185504745470233,0.3515773470163436,0.3027005239822652,0.29943043124491453,0.32896305125148984,0.3058252427184466,0.3109831345125462,0.41115241635687727,0.345867606737172,0.3363780778395552,0.3312202852614897,0.28595178719867,0.30004043671653857,0.30842279108175064,0.3200636942675159,0.1823681936041487,0.3213709677419355,0.3262439807383628,0.31146245059288535,0.3199838187702265,0.299222267703643,0.3097199341021417,0.32180746561886053,0.34064212999216914,0.32080808080808076,0.3038229376257545,0.323746918652424,0.3159609120521173,0.2761163457599345,0.32643498633346346,0.32739248353351413,0.3271287128712871,0.32805071315372425,0.30533117932148623,0.3084843492586491,0.3224888165921106,0.28541839270919633,0.2991735537190082,0.3038025889967637,0.3287781350482315,0.3074104234527687,
5,0.282062207072859,0.27123760241483397,0.27993109388458226,0.3085808580858086,0.0,0.30095475300954755,0.3086627417998318,0.3101716199246547,0.3251633986928104,0.2845046570702794,0.27832830676432574,0.3133029423953585,0.2686895338610378,0.3248113998323554,0.035376183358246105,0.3356846473029046,0.32664756446991405,0.31025854879065884,0.28389290267743306,0.3175895765472313,0.28154506437768245,0.3399193548387097,0.2879243661366566,0.2902542372881356,0.26943462897526504,0.2942439862542955,0.011077542799597162,0.010590015128593033,0.2784648187633262,0.2559756627553238,0.30681818181818177,0.30627615062761504,0.27851915626345247,0.2946735395189003,0.28675213675213673,0.3409538825384312,0.31113902847571184,0.29889455782312924,0.29732065687121867,0.2778738115816768,0.2638464893153074,0.2791900043084877,0.35277777777777775,0.2733446519524618,0.2942905121746432,0.008076728924785503,0.2698961937716263,0.29101644875579924,0.35055205047318616,0.2917894736842105,0.2780153977758768,0.2888513513513513,0.29067796610169494,0.01805416248746239,0.4074217240046386,0.3262032085561497,0.2938689217758985,0.27245636441038745,0.2776572668112798,0.2940185341196293,0.009591115598182709,0.2697872340425532,0.2888513513513513,0.28601966652415567,0.3036317567567568,0.32465419039869814,0.28883183568677795,0.30681337283114685,0.015075376884422065,0.30016515276630884,0.2861938732689887,0.3035184400169564,0.28866413822166037,0.30994403788204905,0.29537671232876717,0.2741592166879523,0.3155320016306563,0.330793905372895,0.3153973509933775,0.3072439633638634,0.2887383573243014,0.01655795283492223,0.28688524590163933,0.2771292693471682,0.2736383442265795,0.28565365025466893,0.28742514970059885,0.29150661545027745,
6,0.333732057416268,0.3126268777913114,0.318034118602762,0.3206801107156979,0.30095475300954755,0.0,0.3236831523924407,0.3257302921168468,0.3416634127294026,0.30685483870967745,0.3165379926859,0.3219259848786311,0.3227926078028748,0.33373542420587055,0.30149501661129563,0.3341346153846154,0.318109610802224,0.32241310427487013,0.03705440900562851,0.2491816693944353,0.32418247880500606,0.35873749037721325,0.3111201962387572,0.09389243391066548,0.31397760265450025,0.31574642126789365,0.300705101617586,0.29925187032418954,0.3210272873194222,0.29508196721311475,0.32328106151990355,0.32199999999999995,0.318734793187348,0.3154664484451718,0.15206758559359712,0.3412033511043412,0.32061068702290074,0.3267446551028641,0.31949013157894735,0.3169042769857434,0.2486211285532457,0.31871701177425904,0.3469230769230769,0.33201424614166997,0.31801837794646426,0.30165975103734444,0.2990155865463495,0.3034343434343434,0.3236546651180797,0.32175648702594806,0.11517615176151763,0.2684536082474227,0.09695038689121527,0.30269151138716355,0.4113924050632911,0.33884948778565804,0.31913183279742763,0.3313492063492064,0.310627821091506,0.3238817891373802,0.30078936435396764,0.32485089463220673,0.30068798057466617,0.3221639079531692,0.33440000000000003,0.326138147566719,0.3105134474327629,0.3076295389636883,0.30140961857379767,0.3460046547711404,0.34143473147785186,0.3236363636363636,0.3113964686998395,0.34565393988627136,0.3256285482562855,0.2985014175779668,0.24846500204666389,0.320997273081418,0.3488645262333594,0.3228503184713376,0.04708624708624709,0.3015741507870754,0.3361616161616162,0.3162184189079055,0.32763532763532766,0.046663555762949116,0.31875253138922643,0.10675182481751821,
7,0.30667765869744434,0.3035714285714286,0.29278523489932884,0.3249097472924187,0.3086627417998318,0.3236831523924407,0.0,0.014002897151134674,0.31544977813634534,0.2977319587628866,0.2897942041159177,0.33761026463512434,0.3067510548523207,0.35766129032258065,0.31205375892482146,0.3645458183273309,0.3290529695024077,0.2991347342398022,0.30977814297452755,0.3328050713153724,0.30353430353430355,0.353749509226541,0.2969798657718121,0.3110106820049302,0.32114333753678015,0.3144523115368596,0.309823677581864,0.3112137757244855,0.28838951310861427,0.3040232268768146,0.011159631246967505,0.3303643724696357,0.2921207041072925,0.3155703580349709,0.31128565522943363,0.3449208188489764,0.30696332921302016,0.2955685618729097,0.3097643097643098,0.29010526315789475,0.29537815126050415,0.2906341873162537,0.3212867355043686,0.32430246663970885,0.3140529531568228,0.31079378412431746,0.2938467978233571,0.3192182410423453,0.336328125,0.32196508323183115,0.32366162648140584,0.32535496957403653,0.310727496917386,0.3139388865634156,0.4231491920330702,0.3164094232331438,0.31860940695296525,0.32087733549959385,0.314868804664723,0.31729200652528544,0.310634720470786,0.31214343928280364,0.31853360488798366,0.31337737407101574,0.32597137014314925,0.33107839235972936,0.28565418594867475,0.3097014925373134,0.31336405529953915,0.3017415957877684,0.3306581059390048,0.3218106995884774,0.30242100943783345,0.31848739495798317,0.32175351530190244,0.3184039087947883,0.3301587301587302,0.2865804365400162,0.3295729250604351,0.29266281945589445,0.3116031160311603,0.31352030138133113,0.3172557172557172,0.28866413822166037,0.2983565107458913,0.31006160164271046,0.31752577319587627,0.30957314546208037,
8,0.3081657775954042,0.30648492358529533,0.29436325678496866,0.32894736842105265,0.3101716199246547,0.3257302921168468,0.014002897151134674,0.0,0.3202404809619238,0.2985626283367556,0.2921019640618471,0.3389221556886227,0.30756302521008405,0.3602085840352989,0.3149540517961571,0.36768802228412256,0.33040351578106275,0.29995896594173166,0.31262770739681245,0.33543555380370516,0.3050496688741722,0.3575331772053083,0.29853862212943627,0.3131643499591169,0.32329569217900456,0.3159203980099502,0.3099121706398996,0.31129707112970706,0.2899751449875725,0.3048327137546468,0.013520038628681785,0.33440643863179076,0.29512296790329307,0.3170327393286365,0.31206257719226016,0.3442433577204467,0.30775543701272057,0.29500000000000004,0.31268313101716194,0.29170159262363793,0.29979123173277666,0.29222408026755853,0.3233201581027668,0.3263581488933601,0.3168557536466775,0.3108786610878661,0.2975447357469829,0.3219927095990279,0.3395493395493395,0.3233629749393695,0.3257421716144774,0.3253839935327405,0.31219312602291327,0.31471446436015005,0.42343691501310365,0.3178325919935301,0.3213995117982099,0.3229587712206953,0.31842650103519665,0.32008113590263687,0.31072026800670016,0.3135902636916835,0.32131280388978933,0.31552999178307317,0.3266802443991853,0.33306930693069303,0.2887029288702929,0.3104872006606111,0.31343906510851416,0.3032258064516129,0.332667731629393,0.32391482391482396,0.303921568627451,0.3192468619246862,0.32179645653069633,0.32186234817813764,0.33346487766377264,0.28881737731295254,0.3322645290581162,0.2949138638228056,0.3123723968966925,0.3157017909204498,0.3194042201075714,0.29170159262363793,0.3020527859237536,0.3122190437270127,0.31896551724137934,0.3124484748557296,
9,0.3249299719887955,0.329454253611557,0.30486309767061703,0.33633163863903015,0.3251633986928104,0.3416634127294026,0.31544977813634534,0.3202404809619238,0.0,0.34994115339348764,0.30265848670756645,0.34287956061200475,0.3261047463175123,0.36123174101855504,0.33116089613034627,0.36794670846394983,0.34941634241245134,0.33820624259186094,0.3502558048012594,0.3381155486622722,0.327433628318584,0.37789593619445494,0.33815261044176703,0.3501378495470657,0.3338788870703764,0.3407079646017699,0.3262642740619902,0.3276213790289678,0.3236,0.33052884615384615,0.3164046755340588,0.3397866455946267,0.3055895552835577,0.33977455716586147,0.34473161033797217,0.3622372372372372,0.3450592885375494,0.32121212121212117,0.33712428919577575,0.30368852459016393,0.31842212281415205,0.3062474479379339,0.3229450720685625,0.3384494293585203,0.3391098857818039,0.3278955954323002,0.34237829209896253,0.34994115339348764,0.33895059364228264,0.3395110410094637,0.34913112164297,0.34994115339348764,0.3492313756405203,0.32681336593317034,0.44128373450036473,0.3574484636328277,0.33571712355979344,0.33714962495065137,0.3296881328473066,0.34292471422940485,0.32843737250102,0.3320158102766798,0.3479968578161823,0.330793905372895,0.35268562401263825,0.35629088110811846,0.3274265002013693,0.3326645264847512,0.32762836185819066,0.32246661429693635,0.3464689816621147,0.34817170111287754,0.3528722157092614,0.35284618490109,0.3482428115015974,0.3328050713153724,0.33682576639503303,0.3428023032629558,0.33043478260869563,0.3320158102766798,0.35515484123872987,0.3270875763747454,0.3373639661426844,0.3029930299302993,0.31587561374795414,0.35116004718836025,0.31999999999999995,0.34514331210191085,
10,0.32672866963202585,0.3190359477124183,0.304383788254756,0.30744466800804826,0.2845046570702794,0.30685483870967745,0.2977319587628866,0.2985626283367556,0.34994115339348764,0.0,0.30285477865122057,0.3201930812550282,0.29696714406065716,0.342891760904685,0.2843220338983051,0.3518815052041633,0.3047696038803557,0.3186413263243024,0.2904290429042904,0.331496062992126,0.30375567478332643,0.3644461657629744,0.30290456431535273,0.288135593220339,0.3049705139005897,0.2955685618729097,0.28208386277001274,0.28347457627118644,0.31516876779178526,0.272231543624161,0.297319587628866,0.31138211382113823,0.3058192323565827,0.29669870455495195,0.28755722014148977,0.31642606320717914,0.30784955028618155,0.31680327868852454,0.302140159462862,0.3017849730178497,0.30695940347970174,0.3036822507240381,0.33254994124559345,0.29354047424366314,0.3107779578606159,0.2830508474576271,0.30889621087314667,0.3083807973962571,0.3304787855196575,0.3159385113268608,0.3023829087921117,0.32067851373182554,0.2857142857142857,0.2826914938637325,0.4190048634493079,0.32799359231077296,0.3221231766612642,0.2927429274292743,0.26774330641733957,0.31808984216916225,0.28213831141281287,0.2922636103151862,0.30631364562118124,0.3224622910721565,0.30747126436781613,0.30565583634175697,0.294557540506855,0.29230769230769227,0.28208386277001274,0.3175298804780876,0.3300119569549621,0.304581097812629,0.09986320109439129,0.3108504398826979,0.29879317519766957,0.2579564489112228,0.3308389129578574,0.31331489529830103,0.332934131736527,0.3116147308781869,0.29018961253091513,0.28299492385786806,0.31389578163771714,0.30248962655601663,0.3014613778705637,0.290016501650165,0.30165289256198347,0.28934221482098255,
11,0.26519337016574585,0.25943396226415094,0.012776412776412727,0.2844150475403059,0.27832830676432574,0.3165379926859,0.2897942041159177,0.2921019640618471,0.30265848670756645,0.30285477865122057,0.0,0.31699346405228757,0.27028199566160516,0.33798767967145793,0.26993067590987874,0.34312525499796,0.3178861788617886,0.30565881866997113,0.3009143807148794,0.33386454183266934,0.29448885149347914,0.317723052079128,0.2957329953527672,0.3014553014553014,0.268760907504363,0.29184367034834324,0.27956989247311825,0.27727468736524363,0.29067335842743625,0.28854254422914916,0.2886554621848739,0.2896494156928213,0.02004889975550117,0.2908163265306123,0.29811320754716986,0.33697774306911366,0.31559405940594054,0.29287821323219554,0.2727272727272727,0.013293943870014813,0.28904923599320886,0.010821446138711277,0.32629482071713145,0.3116031160311603,0.27907949790794984,0.27832830676432574,0.2868020304568528,0.2829635830891587,0.3580294802172227,0.3084843492586491,0.3009587328053356,0.3140156185778874,0.30116472545757067,0.28314028314028317,0.4114285714285715,0.32014681892332786,0.3028666389696718,0.30876904075751344,0.166058394160584,0.30648492358529533,0.2788793103448276,0.29565217391304344,0.281524926686217,0.3038027580442959,0.30612244897959184,0.31186715269339815,0.28939585973806503,0.29646761984861225,0.281786941580756,0.2844792095512556,0.3201950426655831,0.3010482180293501,0.3005374121537826,0.29867351305091994,0.29801604052342756,0.28428093645484953,0.33585356148030243,0.32618196265395316,0.2982238744320529,0.2970624741414978,0.30348258706467657,0.2819742489270386,0.2675570874623008,0.016224188790560423,0.11996251171508898,0.29908485856905154,0.27709307267318317,0.3056020066889632,
