Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,
1,0.0,0.13411341134113408,0.27826449728827707,0.14840680925360106,0.29448621553884713,0.34440969507427677,0.31891673403395315,0.3204973926995588,0.34239130434782605,0.34843749999999996,0.2767111853088481,0.3471624266144814,0.3309120258272801,0.36241610738255037,0.29933388842631137,0.3707469691044193,0.34307992202729043,0.32390438247011955,0.3300039952057531,0.34533488192024775,0.3219789132197891,0.36556693211983315,0.32590190514795303,0.3300039952057531,0.3164241164241164,0.3216612377850163,0.2952460383653044,0.2951983298538622,0.3281499202551834,0.3317230273752013,0.31919191919191914,0.331353919239905,0.2813798836242727,0.322620016273393,0.3313228789706474,0.36094452773613195,0.3378324732036523,0.3125,0.3129392310872261,0.27831174258253244,0.31288343558282206,0.27826449728827707,0.34219653179190757,0.3383162863886703,0.16441343218491056,0.2954924874791319,0.32445520581113807,0.1714659685863874,0.3779026217228464,0.2996781979082864,0.319758064516129,0.33160621761658027,0.32826869252299085,0.30008312551953453,0.4444045911047346,0.3487460815047022,0.33373158104340905,0.3343873517786561,0.31656441717791406,0.3030424339471577,0.2959098497495827,0.3285939968404423,0.1670310450371666,0.3130081300813008,0.33757961783439494,0.34281262173743665,0.31792376317923765,0.31796116504854366,0.2973760932944607,0.3176285826462505,0.3581804281345565,0.33038585209003213,0.34324853228962815,0.33101188037689466,0.3265884257385674,0.31858054226475274,0.3459752321981424,0.3464052287581699,0.330568720379147,0.3228503184713376,0.33240334794738935,0.29625,0.31441404654961214,0.2786131996658312,0.294557540506855,0.3289368505195843,0.32090761750405183,0.3305152979066023,
2,0.13411341134113408,0.0,0.27019027484143765,0.20179563916203502,0.2800679983000425,0.3217426059152678,0.31093814010651377,0.31738954195379,0.34415330465389127,0.3371677905593019,0.267879813796022,0.3278753993610224,0.3258472846059616,0.3446054750402576,0.2835947435353964,0.35326953748006384,0.3468026677128285,0.3106520858647226,0.3051124744376278,0.34388432981633454,0.30355665839536805,0.34212567882079126,0.3117525773195876,0.30649775234981613,0.2886993603411514,0.3045643153526971,0.28086550700042423,0.28079864061172477,0.31153533712428916,0.3017775940471269,0.3105284719377305,0.31695529601288763,0.2719224283305227,0.3055555555555556,0.3125512715340443,0.35532802427000376,0.32011331444759206,0.3161764705882353,0.3201827242524917,0.2694915254237288,0.29979209979209975,0.26872619551417687,0.3381379041682898,0.3314741035856573,0.1445086705202312,0.28037383177570097,0.306869600987248,0.14010743061772601,0.3606870229007634,0.2921760391198044,0.29719703215169,0.3232323232323232,0.3053965658217498,0.28147520135650694,0.4411018484958318,0.344034879112168,0.3165584415584416,0.3301358912869704,0.29431438127090304,0.2949290060851927,0.2800679983000425,0.3189102564102564,0.13715822501120578,0.29859387923904057,0.31775700934579443,0.3175109692859992,0.31129363449691994,0.3037037037037037,0.27940552016985143,0.31053677932405566,0.3505034856700232,0.31367731367731366,0.33518445061483537,0.3223930203572912,0.30689797604295743,0.31343283582089554,0.34453124999999996,0.33463490823896913,0.33027888446215137,0.31708299758259473,0.3083197389885808,0.27898089171974527,0.29357798165137616,0.2698009318085557,0.26924712888132707,0.3040098199672667,0.30667765869744434,0.3089263677498971,
3,0.27826449728827707,0.27019027484143765,0.0,0.2931104769669792,0.2881427964300892,0.32599118942731276,0.299917149958575,0.30516817063166535,0.319377990430622,0.3220747889022919,0.012682926829268304,0.3294589178356714,0.29887453105460604,0.3482647296206618,0.2821824381926684,0.3542834267413931,0.3320079522862823,0.31970861999190614,0.3101188037689472,0.3422396856581532,0.30228690228690225,0.337890625,0.3056133056133056,0.31081081081081086,0.276962899050906,0.30541666666666667,0.28892660161221895,0.28668651637601017,0.30479311757476446,0.29625,0.2980928689883914,0.30549898167006106,0.026124818577648812,0.30429345560650267,0.30575093090608196,0.3487571701720842,0.32780250910562525,0.30454545454545456,0.2824232081911263,0.019970774476376074,0.3013355592654424,0.015594541910331383,0.33646690168429294,0.32503013258336677,0.2905349794238683,0.28771780705482364,0.2992943129929432,0.2887877534133223,0.367315769377625,0.3271852445870088,0.31059983566146265,0.31799674267100975,0.3110929185427753,0.29242488362251373,0.4343692870201097,0.3310593900481541,0.3140057166190282,0.32365981459089077,0.17154434939216567,0.32907348242811496,0.2888700084961767,0.31164106709781725,0.28978916907813146,0.3141210374639769,0.31933115823817293,0.3183820584701642,0.30165975103734444,0.3094355170992995,0.2911016949152543,0.30324909747292417,0.34633385335413414,0.3145559210526315,0.31871227364185106,0.3099243061396131,0.31055900621118016,0.29914180629342046,0.3441915227629513,0.3349019607843138,0.3109311740890688,0.30906872712484745,0.31124744376278124,0.2914019483269801,0.2814345991561181,0.025254978144730433,0.1293302540415704,0.30762920426579166,0.2869710934227063,0.314662273476112,
4,0.14840680925360106,0.20179563916203502,0.2931104769669792,0.0,0.31790499390986604,0.3287937743190662,0.3337282780410743,0.34101562500000004,0.3504761904761905,0.325654041390082,0.2929910350448248,0.3463320463320463,0.3447731755424063,0.36200856364344103,0.3184584178498986,0.36833976833976834,0.3268633540372671,0.3299412915851272,0.31411530815109345,0.33307692307692305,0.330151153540175,0.3826794966691339,0.3392786365437971,0.31679237792774906,0.33373884833738854,0.3245192307692307,0.3186055938386705,0.31790499390986604,0.34706568208317135,0.34292471422940485,0.3353057199211046,0.32287171439780304,0.29748376623376627,0.32411858974358976,0.3186900958466453,0.3421839940164547,0.3384194053208138,0.3241954707985697,0.3132382892057026,0.29526916802610115,0.3233173076923077,0.29519543973941365,0.3552036199095022,0.3472222222222222,0.19797382861967072,0.31818181818181823,0.3312202852614897,0.19490445859872607,0.36217829168220816,0.3168433451118964,0.3098760495801679,0.3362068965517241,0.31639539499801506,0.320518008903278,0.4352313167259787,0.3574173712528824,0.3467082197117257,0.3434108527131783,0.29551020408163264,0.320703125,0.31858766233766234,0.3338509316770186,0.19217687074829937,0.33201267828843106,0.33882352941176475,0.3207473725184897,0.3314829500396511,0.312124849939976,0.31928687196110206,0.3352490421455939,0.36524024024024027,0.33108910891089105,0.32173573103987485,0.33373639661426846,0.32668528121260476,0.2912504994007191,0.33499807913945445,0.33549618320610686,0.3403019744483159,0.33864696734059097,0.3138657131505761,0.3175182481751825,0.3334659769200159,0.2948613376835236,0.3089727974015428,0.31237564663748507,0.3370253164556962,0.31720000000000004,
5,0.29448621553884713,0.2800679983000425,0.2881427964300892,0.31790499390986604,0.0,0.3097670617082141,0.3153526970954357,0.3204601479046837,0.3402307998408277,0.30291820797369506,0.28656462585034015,0.3249390739236393,0.29446556822982684,0.33511513157894735,0.04031465093412001,0.34674796747967485,0.3396,0.32463295269168024,0.29318276871601845,0.3246388443017657,0.287833827893175,0.3563622170179547,0.2991561181434599,0.2995833333333333,0.27736589620584384,0.30539174389216517,0.011465603190428664,0.010983524712930626,0.2934556065027094,0.2646932646932647,0.31353820598006643,0.31931400571661905,0.2883799830364716,0.30639730639730645,0.29718369062631356,0.35362095531587057,0.3232157506152584,0.31296758104738154,0.305531914893617,0.28674904132935664,0.2735849056603774,0.2874149659863946,0.3620420888542478,0.2869601328903655,0.30515463917525776,0.00849575212393805,0.2833545108005082,0.29925187032418954,0.3603254552499031,0.3088897992625973,0.2864363942712721,0.29566305254378644,0.3005828476269775,0.018371400198609722,0.43153219837157664,0.3367016976556184,0.3035714285714286,0.28684429641965026,0.28918228279386715,0.31707317073170727,0.010983524712930626,0.28648424543946927,0.29742096505823623,0.29503367003367,0.31668042939719243,0.3326645264847512,0.3008812421317667,0.31925465838509315,0.015422885572139333,0.31413612565445026,0.3141824025713138,0.3146300914380715,0.30573770491803276,0.320659062103929,0.3070469798657718,0.2912863070539419,0.32261952591402165,0.3384737050217477,0.3267126064045399,0.31807031888798043,0.2979166666666667,0.016898608349900646,0.3007169970476592,0.28632296548785685,0.28436830835117777,0.2949039264828739,0.29612468407750636,0.30058774139378674,
6,0.34440969507427677,0.3217426059152678,0.32599118942731276,0.3287937743190662,0.3097670617082141,0.0,0.33055885850178357,0.3352964271692187,0.35439665017129807,0.32511737089201875,0.3245192307692307,0.33164260632071796,0.3423031262366443,0.34410721324398896,0.31239804241435565,0.34678683385579934,0.32958074534161486,0.3320281910728269,0.038461538461538436,0.25805152979066026,0.33160828025477707,0.3756515264333582,0.3207547169811321,0.0992366412213741,0.32297628781684384,0.3253108704372242,0.309795918367347,0.30838445807770964,0.3322859387274155,0.3035569927243331,0.33016250495441934,0.3302034428794992,0.3281437125748503,0.32558139534883723,0.15900131406044682,0.35158286778398506,0.3326779394416044,0.33885601577909275,0.32428050263477903,0.3254414125200642,0.25626043405676124,0.3273309323729492,0.3559833899584749,0.34224806201550384,0.3279717536288741,0.3107390771743569,0.30511890366787586,0.31319554848966613,0.33244579688094333,0.33398209420007785,0.12026726057906456,0.2733197556008147,0.1021963245181533,0.31173594132029336,0.43326195574589577,0.3486842105263158,0.3292586750788643,0.34226884226884224,0.3162358642972536,0.3415765069551777,0.3104575163398693,0.3339813374805599,0.3107839235972941,0.33015494636471987,0.3454616588419406,0.3351372245844607,0.3196,0.32097288676236047,0.31048551611587105,0.3605442176870748,0.3635679337598796,0.3332012678288431,0.32904483430799225,0.35380933386517754,0.33545310015898255,0.31091772151898733,0.25734997986306885,0.32924021488871835,0.35952472211575315,0.33098591549295775,0.04836480884385075,0.31007751937984496,0.3474308300395257,0.3250401284109149,0.3348017621145375,0.04884792626728107,0.32655502392344493,0.11405478221823084,
7,0.31891673403395315,0.31093814010651377,0.299917149958575,0.3337282780410743,0.3153526970954357,0.33055885850178357,0.0,0.0199714693295292,0.32795275590551176,0.313953488372093,0.2969722107009539,0.3471074380165289,0.33008526187576126,0.3676296003165809,0.3200992555831266,0.37593100744805963,0.33909626719056973,0.3135832325675131,0.3170040485829959,0.33880422039859315,0.31006160164271046,0.37120060790273557,0.30569306930693074,0.3190456934896886,0.3280730897009967,0.3235173824130879,0.31677018633540377,0.3181441590720795,0.30073349633251834,0.3110655737704918,0.011057692307692268,0.34242783708975877,0.30012401818933443,0.3251633986928104,0.31894093686354374,0.3572507552870091,0.3175757575757576,0.30810147299509005,0.3168809622563252,0.2978811798919817,0.3049586776859504,0.29850746268656714,0.3298204527712725,0.3349187475227904,0.3235883059671606,0.31772990886495445,0.3036154478225144,0.32677639502207945,0.3443504996156802,0.3376828786081455,0.3310511478050745,0.330793905372895,0.3193209377526274,0.32080924855491333,0.44484498918529203,0.32427029188324674,0.3282442748091603,0.33160828025477707,0.32391482391482396,0.33884948778565804,0.31744716121011185,0.32644135188866796,0.32637494981934967,0.31962540716612375,0.3368041649979976,0.33752455795677805,0.29474989665150886,0.3218344155844156,0.3202479338842975,0.3147489126136813,0.3569230769230769,0.33090909090909093,0.3186900958466453,0.3260330578512397,0.3318458417849899,0.3317422434367542,0.3362035225048924,0.29357798165137616,0.339652448657188,0.30089213300892137,0.31878787878787884,0.31983471074380165,0.32790224032586557,0.29675810473815456,0.3076285240464345,0.3172804532577904,0.3247967479674797,0.317421460628315,
8,0.3204973926995588,0.31738954195379,0.30516817063166535,0.34101562500000004,0.3204601479046837,0.3352964271692187,0.0199714693295292,0.0,0.33528037383177567,0.3182359952324195,0.30295566502463056,0.35165692007797267,0.3282196205086798,0.3726489028213166,0.32651391162029464,0.38207913110938707,0.3437135072012456,0.3178913738019169,0.3233173076923077,0.34468085106382984,0.31516876779178526,0.3778195488721805,0.31086601307189543,0.32465972778222574,0.33374434854089596,0.328473066018631,0.32047599507591296,0.32183908045977017,0.3058918482647296,0.31546894031668693,0.01949595815501659,0.34962847086429405,0.3067484662576687,0.33009708737864074,0.3232445520581114,0.35968527538403894,0.32118542250700843,0.31115618661257605,0.3226600985221675,0.30316742081447967,0.31290849673202614,0.3037766830870279,0.3351372245844607,0.3402668759811617,0.3297661514070551,0.3214285714285714,0.3108492482730597,0.33293603496225666,0.35070368961582354,0.3423423423423423,0.3365231259968102,0.3342607313195548,0.3235883059671606,0.32515337423312884,0.4476224526278155,0.3284469096671949,0.3343936381709741,0.33701221915648405,0.33090319967598214,0.34477379095163807,0.3211498973305955,0.3312327688066168,0.33253873659117994,0.32527206771463124,0.3408730158730159,0.34280155642023347,0.3007364975450082,0.3260956976276639,0.32391482391482396,0.3196239717978848,0.36190476190476195,0.33640000000000003,0.3229125445191927,0.3303315595579206,0.33534378769601925,0.3384494293585203,0.34275755228505034,0.29936808846761453,0.3442879499217527,0.3067041348855881,0.3230584467574059,0.3255623721881391,0.3334677419354839,0.303453947368421,0.31488314883148827,0.32291666666666663,0.32971014492753625,0.3237787646346387,
9,0.34239130434782605,0.34415330465389127,0.319377990430622,0.3504761904761905,0.3402307998408277,0.35439665017129807,0.32795275590551176,0.33528037383177567,0.0,0.37377543330821406,0.31723862729449326,0.3595890410958904,0.35385814497272017,0.3770114942528736,0.34798099762470314,0.3843524496771743,0.36610169491525424,0.3588077951853267,0.3628691983122363,0.35396226415094345,0.34144427001569855,0.3989807062249727,0.3529871144084342,0.36412418551169035,0.34982050259274033,0.3561108941819602,0.34154090548054006,0.34286849423917365,0.3400542846064366,0.34622899570144583,0.3288749016522423,0.3595120091498284,0.3215421303656598,0.3557204217102694,0.35736434108527126,0.3766375545851528,0.36144116519739367,0.3401094605160282,0.3495645288994458,0.3188174190970835,0.33478260869565213,0.3213859020310633,0.3402646502835539,0.3560808234845597,0.35615914307574603,0.34312946783161236,0.35849787069299266,0.36304514154552414,0.35541496092296243,0.36118496012153434,0.36283185840707965,0.36182445381372175,0.36374089689536215,0.34206349206349207,0.467797783933518,0.3704545454545455,0.35057915057915057,0.35487571701720844,0.34488188976377954,0.3696307460437076,0.34352660841938043,0.35114503816793896,0.3614088820826953,0.34388432981633454,0.36940726577437855,0.36950807360120164,0.34077555816686256,0.3504273504273504,0.34285714285714286,0.341676147136898,0.37606520933679144,0.36342592592592593,0.37678437265214126,0.36848294786358293,0.3650793650793651,0.3512064343163539,0.35271903323262843,0.35741017964071853,0.34610962054426986,0.34449576597382603,0.3675964845242644,0.3418023025009924,0.353125,0.3184178985217738,0.33147632311977715,0.36374089689536215,0.3338582677165355,0.35916311507167764,
10,0.34843749999999996,0.3371677905593019,0.3220747889022919,0.325654041390082,0.30291820797369506,0.32511737089201875,0.313953488372093,0.3182359952324195,0.37377543330821406,0.0,0.3205953338696702,0.340847260007773,0.33120510774142065,0.3585127201565558,0.3034907597535934,0.36996904024767807,0.3264511102454227,0.33476898981989034,0.3096,0.3479923518164436,0.3210272873194222,0.39143279172821266,0.32221775813579756,0.30621242484969935,0.3224088488324457,0.315959595959596,0.30086313193588166,0.30222039473684215,0.3382987063896511,0.2904936760505916,0.31355252606255013,0.3342455043002346,0.32357658380112264,0.31759483454398707,0.3080645161290323,0.33996994740796393,0.32885906040268453,0.3389964440932438,0.32030932030932036,0.3188054882970137,0.3262439807383628,0.3213998390989542,0.35053110773899854,0.3149171270718232,0.3307179285994508,0.3018092105263158,0.3294866693195384,0.32727990525069084,0.347678369195923,0.3341130604288499,0.3201754385964912,0.3364779874213837,0.3044524669073405,0.30143737166324436,0.44849557522123895,0.34755624515128003,0.33726415094339623,0.314873417721519,0.2879473467708762,0.33333333333333337,0.3015220074043603,0.31773495871018487,0.32556301856973524,0.3382178217821782,0.3305654408857256,0.3235867446393762,0.3156626506024096,0.3157051282051282,0.30086313193588166,0.3290895061728395,0.3643556895252449,0.32469086557638616,0.10579902611775127,0.3306320907617504,0.32020891924467654,0.282433521353747,0.3473603672532517,0.32871972318339104,0.35019305019305025,0.33045864366914934,0.3093525179856115,0.30115036976170917,0.335725677830941,0.32043530834340994,0.3207928802588996,0.30920000000000003,0.3186195826645265,0.307909604519774,
