Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,
1,0.0,0.15612648221343872,0.15867523479980228,0.15659068384539143,0.1599210266535045,0.15867523479980228,0.25271098538425274,0.25200566304860783,0.30991337824831566,0.2455720440402106,0.3457987072945522,0.19654012493993267,0.3450346420323326,0.15916955017301038,0.25118035882908407,0.2566995768688294,0.1582591493570722,0.1591917200591424,0.3413173652694611,0.23898467432950188,0.23994252873563215,0.2538860103626943,0.15794669299111552,0.25118035882908407,0.32411820781696854,0.1671554252199413,0.23898467432950188,0.34079254079254084,0.16049382716049387,0.25,0.2487992315081652,0.16445753559155618,0.16355599214145378,0.16000000000000003,0.16345679012345682,0.33963133640553,0.30831739961759086,0.25082664147378364,0.25318246110325315,0.15794669299111552,0.25575928537846737,0.12188928390045706,0.3035113035113035,0.15818091942659418,0.16781157998037288,0.15445544554455448,0.25,0.25082664147378364,0.1541893901834408,0.15662055335968383,0.15734784760019793,0.25106182161396884,0.24869976359338064,0.25082664147378364,0.25553983969825556,0.16362740266140952,0.1294891249367729,
2,0.15612648221343872,0.0,0.05663265306122445,0.04923076923076919,0.06497461928934012,0.05365355135411343,0.2842915346310547,0.285972850678733,0.3282194328219433,0.2715537113877363,0.36148346738159065,0.07572718154463387,0.36221527467619474,0.051177072671443224,0.2844202898550725,0.2872628726287263,0.059123343527013206,0.007824726134585291,0.3541759714158106,0.26281755196304846,0.2661439114391144,0.28694080433800273,0.012499999999999956,0.2844202898550725,0.3387171204430087,0.022692109334708666,0.26281755196304846,0.359009009009009,0.06059063136456211,0.28253968253968254,0.27793167128347185,0.017116182572614158,0.0160871821484172,0.056122448979591844,0.06561546286876907,0.35254691689008044,0.32578558225508314,0.28331822302810517,0.2824116047144152,0.010427528675703845,0.2879061371841155,0.17647058823529416,0.31890130353817503,0.05810397553516822,0.07657430730478587,0.004188481675392652,0.2840960579972813,0.28331822302810517,0.057653061224489766,0.008872651356993777,0.05714285714285716,0.28351449275362317,0.2844202898550725,0.28253968253968254,0.28545536927956505,0.057113717491075966,0.17998075072184794,
3,0.15867523479980228,0.05663265306122445,0.0,0.04982023626091425,0.06459816887080361,0.0062926061877294215,0.28201634877384196,0.28370403994552884,0.3244631185807656,0.27159353348729787,0.36314847942754924,0.11237062592410052,0.3616830796777082,0.0547594677584442,0.28214447978191726,0.2850022655188038,0.0068169900367068825,0.05906313645621186,0.3521505376344086,0.26444752658344894,0.26697459584295613,0.2846781504986401,0.052658486707566454,0.28214447978191726,0.3342605470560964,0.07204030226700253,0.2660508083140878,0.3592057761732852,0.011506276150627603,0.28025477707006374,0.2763888888888889,0.06588950836289909,0.06490872210953347,0.012023000522739191,0.0672097759674134,0.35051546391752575,0.32204176334106727,0.2810368349249659,0.2801273306048204,0.05166240409207157,0.28564961521050247,0.17984570877531336,0.31510051425899954,0.008900523560209428,0.07816439737771053,0.057682491066870845,0.28181818181818186,0.2810368349249659,0.05924412665985701,0.05416453755748596,0.01098901098901095,0.2812358019082235,0.28136363636363637,0.28025477707006374,0.2824010914051842,0.0596938775510204,0.18509615384615385,
4,0.15659068384539143,0.04923076923076919,0.04982023626091425,0.0,0.04526748971193417,0.04982023626091425,0.28194633924511137,0.2836363636363637,0.3252336448598131,0.26830398517145504,0.35951526032315984,0.10924369747899154,0.35951526032315984,0.013605442176870763,0.2820746132848043,0.28493647912885667,0.050333846944016436,0.049692622950819665,0.3521758636159713,0.25951717734447544,0.26286509040333794,0.28383287920072664,0.043209876543209846,0.2820746132848043,0.3311627906976744,0.06382978723404253,0.26032482598607887,0.3555253623188406,0.051821446895844,0.2809653916211293,0.2731072921504877,0.05759429153924567,0.05660377358490565,0.04930662557781207,0.03879979306777026,0.3505385996409336,0.31968357375523504,0.2809653916211293,0.28083750568957666,0.043209876543209846,0.28558476881232997,0.181379643029426,0.31507490636704116,0.05030800821355241,0.0512032770097286,0.04827940421160759,0.2817478379608557,0.2809653916211293,0.03163900414937759,0.044730077120822664,0.04933196300102771,0.28116469517743403,0.2820746132848043,0.2801822323462415,0.283894449499545,0.017745302713987443,0.18400770712909442,
5,0.1599210266535045,0.06497461928934012,0.06459816887080361,0.04526748971193417,0.0,0.06361323155216281,0.290744920993228,0.29087624209575424,0.3300790330079033,0.2757826887661142,0.3632707774798928,0.12291870714985309,0.3625391148860081,0.046224961479198745,0.29087624209575424,0.29215509467989176,0.06609049313675652,0.06737588652482274,0.3537567084078712,0.2678653757491932,0.27038231229848,0.2902934537246049,0.06497461928934012,0.29087624209575424,0.33518518518518514,0.07247106190236541,0.2662667281956622,0.3585926928281461,0.06852791878172593,0.28900949796472186,0.27739251040221913,0.07413010590015123,0.07315842583249244,0.06605691056910568,0.026493506493506458,0.3521252796420582,0.3229842446709916,0.2897830018083183,0.28965205603253497,0.0630081300813008,0.2943294329432943,0.18190567853705486,0.31763059701492535,0.06605691056910568,0.031991744066047434,0.06504065040650409,0.2905558065973791,0.2897830018083183,0.021331945889698223,0.06253177427554657,0.06412213740458017,0.2899728997289973,0.29010393131495704,0.28900949796472186,0.29268292682926833,0.048205128205128234,0.18365384615384617,
6,0.15867523479980228,0.05365355135411343,0.0062926061877294215,0.04982023626091425,0.06361323155216281,0.0,0.2835753176043557,0.28526077097505664,0.32289719626168223,0.27159353348729787,0.3616830796777082,0.11050814010853482,0.3602150537634409,0.053763440860215006,0.28370403994552884,0.28577898550724634,0.012029288702928853,0.05807437595517062,0.35141192290452716,0.26444752658344894,0.26697459584295613,0.28623188405797106,0.052658486707566454,0.28370403994552884,0.3342605470560964,0.07106854838709675,0.2660508083140878,0.3577235772357723,0.00838135149292818,0.28181818181818186,0.2763888888888889,0.06490872210953347,0.0639269406392694,0.00785751702462023,0.06622516556291391,0.34977578475336324,0.32126276694521816,0.28259881871876424,0.2816901408450704,0.05166240409207157,0.2872003618272275,0.17984570877531336,0.31510051425899954,0.013061650992685525,0.07719475277497478,0.05669050051072522,0.2833787465940054,0.28259881871876424,0.058252427184465994,0.053169734151329195,0.0068169900367068825,0.28279618701770315,0.2829246139872843,0.28181818181818186,0.2839618355293049,0.05870342011230223,0.18422318422318418,
7,0.25271098538425274,0.2842915346310547,0.28201634877384196,0.28194633924511137,0.290744920993228,0.2835753176043557,0.0,0.01057641459545211,0.30000000000000004,0.16871618298081648,0.34198542805100185,0.25183486238532105,0.34198542805100185,0.2824704813805631,0.0031847133757961776,0.008461131676361755,0.2824704813805631,0.2852622061482821,0.32540045766590386,0.16732090284592738,0.16740304369170345,0.008989952406134316,0.2842915346310547,0.0031847133757961776,0.3077651515151515,0.28699955015744494,0.16911764705882348,0.3362465501379944,0.2835753176043557,0.013206550449022747,0.1869799314733236,0.28577878103837473,0.28577878103837473,0.2831215970961888,0.28940217391304346,0.32601737540009146,0.2960682141165325,0.004774535809018543,0.013199577613516422,0.2842915346310547,0.008456659619450302,0.25302325581395346,0.2961026615969582,0.2839002267573696,0.2895805142083897,0.2829931972789116,0.006889242183359845,0.004774535809018543,0.28526077097505664,0.28318985047575895,0.283250113481616,0.005299417064122958,0.01267828843106178,0.005832449628844105,0.012691697514542577,0.28545536927956505,0.25302325581395346,
8,0.25200566304860783,0.285972850678733,0.28370403994552884,0.2836363636363637,0.29087624209575424,0.28526077097505664,0.01057641459545211,0.0,0.3001429252024773,0.1741903827281649,0.3436504324078289,0.2543538038496792,0.3436504324078289,0.2841579664094417,0.009528851244044456,0.013720316622691242,0.2841579664094417,0.28694080433800273,0.3255494505494505,0.17278511992168377,0.1719745222929936,0.01738672286617493,0.285972850678733,0.009528851244044456,0.3103122043519394,0.2878992352676564,0.17367906066536198,0.33793103448275863,0.28526077097505664,0.020537124802527673,0.1879588839941263,0.28745487364620936,0.28745487364620936,0.2848072562358277,0.29108193752829337,0.32769652650822667,0.2954006638217165,0.011111111111111072,0.020526315789473726,0.285972850678733,0.018937401367701168,0.25638643752902923,0.29705323193916355,0.28558476881232997,0.2912533814247069,0.2846781504986401,0.013213530655391104,0.011111111111111072,0.2869446962828649,0.28564961521050247,0.28493647912885667,0.015822784810126556,0.020010531858873137,0.012162876784770016,0.02211690363349128,0.2871376811594203,0.25638643752902923,
9,0.30991337824831566,0.3282194328219433,0.3244631185807656,0.3252336448598131,0.3300790330079033,0.32289719626168223,0.30000000000000004,0.3001429252024773,0.0,0.29763627592860586,0.1962323390894819,0.33010156971375804,0.19905956112852663,0.32414759458197107,0.29933269780743565,0.301474084640989,0.32414759458197107,0.32682473268247325,0.17150395778364114,0.2901979719942057,0.29198841698841704,0.30033317467872445,0.3313225058004641,0.29933269780743565,0.14387699066447002,0.330715935334873,0.2901979719942057,0.18697033898305082,0.3244631185807656,0.2998093422306959,0.30106485963213936,0.3272980501392758,0.3272980501392758,0.32242990654205606,0.3319366852886406,0.17430226434965768,0.14651416122004357,0.2981870229007634,0.30209324452902,0.33054781801299904,0.30374940673943995,0.32060348892032065,0.13065049614112456,0.3239962651727357,0.3311688311688312,0.32774674115456237,0.2989985693848355,0.2981870229007634,0.32461466604390476,0.33023687877380403,0.3233644859813084,0.30080913850547364,0.3001429252024773,0.2981870229007634,0.3012392755004767,0.3263403263403264,0.3190184049079755,
10,0.2455720440402106,0.2715537113877363,0.27159353348729787,0.26830398517145504,0.2757826887661142,0.27159353348729787,0.16871618298081648,0.1741903827281649,0.29763627592860586,0.0,0.32713754646840154,0.24406148113646953,0.32791453785415703,0.2672533580361278,0.16789758739537175,0.1704322200392927,0.2728531855955678,0.27335480901978826,0.31877323420074355,0.04550264550264549,0.04137931034482756,0.17002457002457005,0.2723502304147466,0.16789758739537175,0.29816955684007707,0.27597254004576655,0.04135737009544005,0.32427366447985007,0.27159353348729787,0.16658452439625426,0.06803797468354433,0.27468994028479554,0.27468994028479554,0.2695330559408229,0.2727693018955155,0.3178438661710037,0.2870905587668593,0.16838995568685378,0.16650246305418714,0.2715537113877363,0.1703485517918507,0.23850165955429115,0.28792270531400965,0.27192982456140347,0.2777777777777778,0.27020785219399535,0.16658452439625426,0.16838995568685378,0.270920018492834,0.27121771217712176,0.27125693160813313,0.16871618298081648,0.16609167077378018,0.16838995568685378,0.1734643734643735,0.27352398523985244,0.2359924026590693,
