Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,
1,0.0,0.08628069384996617,0.08151549942594716,0.06715228773048032,0.0953846153846154,0.11555051078320089,0.12137320044296784,0.06378600823045266,0.09070845288015894,0.07075892857142863,0.10531012940651496,0.08350033400133605,0.06031528444139822,0.11164165529786263,0.03638443935926772,0.1513771416178703,0.12367021276595747,0.04431247144814987,0.1141776096149566,0.09167424931756141,0.15800089645898696,0.11235186873290792,0.13166006164685162,0.09416237978080966,0.05206912232833105,0.11217449365679943,0.1128298453139217,0.1473456121343445,0.113580795732385,0.08292465448060637,0.1083541998634191,0.09980258828690503,0.04224058769513317,0.0678774120317821,0.08611361587015331,0.09719322662955232,0.07937240424550074,0.08660714285714288,0.09042076991942705,0.06530705774518786,0.11639008865651279,0.11593220338983046,0.07481412639405205,0.09387663214768127,0.031588655752824546,0.1091071030950791,0.1208791208791209,0.11153161175422976,0.08209959623149399,0.09626038781163437,0.043660009289363644,0.07600090477267585,0.13321291487920528,0.04273703876693136,0.11052751769810454,0.12566725978647686,
2,0.08628069384996617,0.0,0.06705202312138725,0.06952965235173825,0.13084716533735719,0.12420957542908762,0.13143989431968295,0.08410581053583543,0.12518951700238246,0.13097039118219145,0.11093819475322364,0.11718408395277657,0.06271379703534774,0.12203389830508471,0.1017024099049304,0.16817010309278346,0.1271280123811629,0.09960070984915703,0.118508655126498,0.09487063095778481,0.17122526128530136,0.11807447774750224,0.14119964973730292,0.1120460584588131,0.11147829918484242,0.12192963044921445,0.12279511533242882,0.17200854700854706,0.12372956252761824,0.10379021595416482,0.11707427536231885,0.08948644478730439,0.110077519379845,0.07024699750736463,0.019351830263464653,0.10043971302939136,0.0768875548372201,0.07215104517869186,0.041073887104176254,0.07255304585900069,0.1036139066788655,0.12497190379860645,0.1242081447963801,0.10342511752854266,0.09159964253798036,0.12054855120548547,0.13425715583825537,0.12087668806730134,0.08698568872987478,0.09949332105020725,0.10499100719424459,0.05684931506849311,0.14340215439856374,0.09884379959192924,0.11583978152025487,0.13492590134925897,
3,0.08151549942594716,0.06705202312138725,0.0,0.06349942062572422,0.13039666885820733,0.08489681050656661,0.1314081038728453,0.08149171270718236,0.12505504183179217,0.1272287034998899,0.10884815569133288,0.11607738492328223,0.05968416163492796,0.08395872420262662,0.09903218546027459,0.16673951048951052,0.12912643161913318,0.09945872801082545,0.11953089760938207,0.052383199622463406,0.13732718894009222,0.07966061748762665,0.14174454828660432,0.10913190529875982,0.1081444918106349,0.1217371737173717,0.08472189626848159,0.16945834239721558,0.12398921832884102,0.09988776655443321,0.07963354474982387,0.08746355685131191,0.10627256317689526,0.06648199445983383,0.0686546463245492,0.06011060351045927,0.033381364073006736,0.06446432668043134,0.08068571428571425,0.06610800744878953,0.06756756756756754,0.09167054443927403,0.08572099577266323,0.09988597491448115,0.08741179148645573,0.12117805755395683,0.09554140127388533,0.12151215121512149,0.0840163934426229,0.05607476635514019,0.06241234221598879,0.05641978175063844,0.10463761360988111,0.055647253006366415,0.076341290475065,0.13579136690647486,
4,0.06715228773048032,0.06952965235173825,0.06349942062572422,0.0,0.10391599212426161,0.10022883295194507,0.11781672953183941,0.08067074552458642,0.09887936717205015,0.1018884497145367,0.09274646305861212,0.09008209451963611,0.05920000000000003,0.09582760201742324,0.07492148945715571,0.14754454584963062,0.11383381599465359,0.08219484882418815,0.10467456944755094,0.0681556527745798,0.15736381977135172,0.09694463588329882,0.1277299801455989,0.08752244165170553,0.08107502799552069,0.10816235504014271,0.0996335318369217,0.1475303292894281,0.10999777332442662,0.08654060066740821,0.10467502850627142,0.07466666666666666,0.08380139294540556,0.05351017608049391,0.06803185437997727,0.09031657355679701,0.06215083798882681,0.061284486657620985,0.07598647125140923,0.05123471036233551,0.09581801470588236,0.11186594202898548,0.11358980195765989,0.08632768361581922,0.060867590279354955,0.10593220338983056,0.10546965151165477,0.10624999999999996,0.06931587265748473,0.06928838951310856,0.0874006810442679,0.04795777879761354,0.12749094202898548,0.07972508591065297,0.0937571988021193,0.12168486739469575,
5,0.0953846153846154,0.13084716533735719,0.13039666885820733,0.10391599212426161,0.0,0.13733245440562514,0.1464354527938343,0.1145038167938931,0.033199643493761144,0.1046636578551472,0.11728931364031281,0.028949730700179588,0.1082733027723205,0.13645352669742916,0.08590163934426231,0.16996213714766517,0.1490683229813664,0.11721611721611724,0.13959991395999138,0.11758241758241761,0.17777295420013028,0.13678414096916303,0.1558441558441559,0.10852544584601997,0.09893455098934556,0.13766401376640136,0.13843111404087016,0.16565062013874288,0.13859045981951013,0.10289667099005617,0.1254694057874972,0.11695781849169151,0.09248301555993865,0.08614232209737827,0.1286979054199957,0.1486964206805126,0.13309905556775747,0.10567345171069731,0.1313304721030043,0.1214036617262424,0.13530189510797708,0.13106476399560918,0.14470510852883145,0.10999343975508424,0.08168207837956842,0.1351118760757315,0.15938529088913278,0.13744891374489132,0.09808195292066257,0.1422584913983238,0.11610076670317637,0.09438103599648817,0.14335971855760776,0.11727172717271728,0.13342169206980337,0.15108532129808727,
6,0.11555051078320089,0.12420957542908762,0.08489681050656661,0.10022883295194507,0.13733245440562514,0.0,0.14058295964125556,0.133453561767358,0.13200883002207509,0.1308865797037364,0.1295336787564767,0.12391352796969024,0.11640571817562972,0.022898903775883106,0.10435961147503958,0.16853438804658316,0.13832658569500678,0.13269402319357715,0.12960036125536234,0.05318138651471982,0.10075685903500475,0.02873843156356548,0.15088032092712278,0.12426834759117511,0.11433715957686252,0.13136547994592163,0.02893265256503763,0.17125984251968507,0.1336032388663968,0.12170611880303706,0.04877462758289286,0.11059085841694538,0.09307111822547454,0.09390746678882267,0.12152070604209098,0.040586797066014646,0.06401713469776293,0.09866182807892943,0.12769299820466784,0.0933240933240933,0.04609073359073357,0.05907575035731305,0.07626514611546686,0.12119836586472987,0.09536846908510155,0.13289858331459414,0.053640776699029113,0.13198198198198197,0.10408163265306125,0.05268245529241178,0.10165975103734437,0.0867264780308259,0.08145333649964381,0.09222170470423852,0.023227383863080653,0.14417661635503487,
7,0.12137320044296784,0.13143989431968295,0.1314081038728453,0.11781672953183941,0.1464354527938343,0.14058295964125556,0.0,0.12726870296591408,0.13969005596211792,0.13297297297297295,0.10667261771925907,0.13349251139570217,0.10880713489409144,0.14135304659498205,0.11084178052005289,0.14344887726182687,0.016416510318949307,0.1380060949063997,0.03002094484524087,0.11366194013054243,0.08690587138863004,0.1371004052228726,0.02285447761194026,0.10738105824811028,0.11683168316831682,0.02101821578701546,0.1400359066427289,0.14827660958161715,0.020774976657329636,0.11826544021024965,0.13144271888363723,0.12662337662337664,0.11671087533156499,0.08620301598019353,0.13459423795909387,0.14802259887005653,0.12829169480081026,0.11032656663724627,0.13886462882096073,0.12138084632516699,0.13684447445419756,0.14374860708714066,0.15798842901646637,0.09739091318038684,0.10129118432769368,0.025599255294391443,0.16800714924039317,0.02309307207837652,0.10430537061695522,0.15393233251176341,0.13846494138464938,0.0984560304318639,0.13796212804328223,0.13102678571428572,0.13366448408218556,0.034780578898225945,
8,0.06378600823045266,0.08410581053583543,0.08149171270718236,0.08067074552458642,0.1145038167938931,0.133453561767358,0.12726870296591408,0.0,0.11035690825487188,0.1121086052112984,0.10492170022371361,0.10212201591511938,0.05667737494263425,0.12960036125536234,0.08243727598566308,0.16429188255613125,0.1299822852081488,0.08325852782764809,0.12177777777777776,0.10464326160815407,0.16517457475380481,0.12568058076225042,0.13833296679129092,0.10479375696767002,0.0907059874888293,0.11935985774616586,0.12952079566003616,0.16777658431793774,0.121588639893499,0.08161896243291589,0.10882956878850103,0.10399297937691965,0.09088868940754036,0.06473672213357651,0.08739837398373984,0.10777058279370955,0.08730707210320199,0.08488241881298997,0.09725016767270289,0.08198588020951947,0.11859776917823805,0.11897760687627235,0.10652920962199308,0.09474396571170762,0.06980961015412512,0.11671854157403294,0.14185201997276442,0.11830108961529906,0.08121484814398205,0.10766045548654246,0.08500455788514127,0.07377979568671966,0.13416289592760178,0.07639208467556369,0.1221843003412969,0.1336589698046181,
9,0.09070845288015894,0.12518951700238246,0.12505504183179217,0.09887936717205015,0.033199643493761144,0.13200883002207509,0.13969005596211792,0.11035690825487188,0.0,0.10217719336063802,0.11069868995633192,0.02032061413411601,0.10118525021949076,0.13071318171781854,0.08121158911325721,0.16034738402880744,0.14273412271259422,0.11108705067128632,0.13399610979036092,0.11299933789450456,0.17190226876090753,0.13020372010628878,0.1507698887938409,0.10478061558611662,0.09390696658659092,0.13205100497082345,0.13228798586572443,0.16107240869748785,0.13339089143103822,0.10203639514731366,0.11839182585517549,0.10358908231248654,0.08822882288228828,0.07886575099689852,0.12342733188720179,0.14380825565912114,0.12734495696314274,0.10028279312595167,0.1261047639577495,0.11646234676007006,0.12871067789100576,0.12613009922822493,0.13942731277533038,0.10498572369866022,0.07566371681415929,0.1294855166450497,0.15335392762577227,0.1314310419368785,0.09262097657105317,0.1365248226950354,0.11360140628433313,0.09012780960775668,0.13764913831197523,0.11184792219274975,0.1288819875776398,0.14634146341463417,
10,0.07075892857142863,0.13097039118219145,0.1272287034998899,0.1018884497145367,0.1046636578551472,0.1308865797037364,0.13297297297297295,0.1121086052112984,0.10217719336063802,0.0,0.11491495856955958,0.09482383645063075,0.10792469352014011,0.12751826433473545,0.05131637661758148,0.16515119475576234,0.13441558441558443,0.09007232084155159,0.12925612665365427,0.10892185078591987,0.1688538932633421,0.12741398446170926,0.12277270751847025,0.1015539505362224,0.03912750168653023,0.12486427795874055,0.12909654561558903,0.16043119847812304,0.125,0.10088956389672377,0.12765486725663722,0.11784799316823225,0.06529975484733674,0.08783932906643122,0.13043478260869568,0.14228546020453536,0.12289636846767049,0.1073752711496746,0.12903920723825935,0.10993843447669305,0.13543968183826782,0.13406593406593403,0.12090848363393458,0.10591078883761806,0.05723228258439528,0.12513554543482974,0.1551191526919682,0.12871072589382448,0.10019646365422397,0.1411816773622483,0.08805171645118148,0.09482948294829485,0.1435185185185185,0.0929608938547486,0.12608405603735828,0.13761667028434987,
