Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,
1,0.0,0.6275923115832069,0.5175194660734149,0.42556047791649887,0.6523005241700641,0.46085075702956024,0.6274289985052317,0.6360034666336511,0.627765836388924,0.6260670149063575,0.0024700070571630484,0.6662846665138666,0.30863218026023487,0.42484889187374075,0.6280418610515698,0.6370177397345242,0.637216670728735,0.2703598484848485,0.002293982706899622,0.5198611111111111,0.3144664031620553,0.4539069359086918,0.6346106607713093,0.6193564479920179,0.6289632611977856,0.39730878186968843,0.40463953326850954,0.35553201150295144,0.6206546561786348,0.6413776778316961,0.6262332405767772,0.3563447114648707,0.6266007353873463,0.6313671236322476,0.0038793863516134452,0.4036136205698402,0.6307012002526848,0.6279914797644406,0.4819092680211522,0.37509125419769307,0.3963146704464918,0.6347500603718909,0.6467101363366923,0.6268221574344024,0.6332590942835932,0.6202224210660872,0.636896046852123,0.5025599568849366,0.6469456469456469,0.48105900577383465,0.30042049524996106,0.6521840419336051,0.6518294103938476,0.2724980299448384,0.6436189334931097,0.6406346082892633,0.6358728254349131,0.5251141552511416,0.37554712576597604,0.27186761229314416,0.3753100831752517,0.6299759888790597,0.6418604651162791,0.5222176365387261,0.6344254396530956,0.6465144230769231,0.6325739214735822,0.2064935064935065,0.6326581027667983,0.504759351119453,0.6264705882352941,0.6408424682842715,0.642055522740697,0.6663229059241434,0.6302181864043386,0.5256293204643276,0.6320079031859718,0.6366073604679503,0.6365081305783102,0.6284270372710044,0.3401162790697675,0.6437896754102288,0.5066594183201958,
2,0.6275923115832069,0.0,0.6063713426305715,0.6483793517406963,0.37609713282621415,0.5800751356616112,0.2541783882177726,0.2705361534677816,0.14868960599037262,0.29897757255936674,0.627765836388924,0.3659107534747622,0.5937068727573833,0.6483371353103614,0.31028886725089255,0.31280076997112605,0.26998223801065724,0.6085687756996949,0.627718765806778,0.6055297016151109,0.5974955277280858,0.5980283254651486,0.35017043693833283,0.3057375739172127,0.31207510521204274,0.6391468005018821,0.6389918458117123,0.6138666666666667,0.2286735910097054,0.3121263222443661,0.19677251431546072,0.6022866476112699,0.2249057896539911,0.17603783499737258,0.6273244781783681,0.6390364422483015,0.34466794380587484,0.2604149377593361,0.5980931918893514,0.6262886597938144,0.639101518383737,0.29188337273443654,0.3660247798178833,0.07503714710252596,0.2652123995407577,0.30431926424700284,0.2897091722595079,0.625387396694215,0.32717964629227425,0.6056223814028923,0.6082089552238805,0.37666325486182195,0.3765720971044165,0.609041495426223,0.2826843937955049,0.29674927582877375,0.3070352539214164,0.6196178343949045,0.6265292981326465,0.6088800530152418,0.6263523956723338,0.3470916334661355,0.3620530209617756,0.6108181203515889,0.30452418096723866,0.326302729528536,0.2984581497797357,0.6154953540112551,0.22755392074903857,0.6267352185089974,0.13676764012334486,0.30401284109149274,0.31380945098638935,0.3667202807427986,0.15907883082373786,0.6193934760448522,0.2758004225581018,0.33865468071915683,0.23625557206537895,0.09622434017595305,0.607645875251509,0.28313824739006643,0.6000798509449028,
3,0.5175194660734149,0.6063713426305715,0.0,0.5322901471953322,0.6342013019529293,0.43359924917878934,0.6136241970021413,0.6186983195518805,0.6061807739641734,0.604163794292017,0.5175194660734149,0.6384720327421556,0.47203545232273836,0.532033426183844,0.6086305472365914,0.612521832594384,0.6199344262295081,0.4896612406511218,0.5174523710193297,0.2731041630678873,0.464455703976662,0.39057676685621445,0.6209943294210735,0.6166112956810631,0.6087251970644196,0.504981057948646,0.5132536739458866,0.49461572503319073,0.6047274217789316,0.622836048879837,0.6054682159945317,0.46559074299634595,0.6042810098792536,0.6100081588251292,0.5171790235081375,0.5127077895315291,0.6129735622785499,0.612272420768712,0.4576373212942062,0.4951847060514589,0.5042819036922646,0.6228172293364378,0.6260858456821665,0.6052920208390458,0.6163069544364508,0.6035551880942538,0.6215578284815106,0.42203773584905657,0.6244155844155844,0.39422771963209646,0.4785576495028936,0.6347597597597597,0.6345431789737171,0.49003224860744654,0.6276554654306682,0.6196041971045292,0.6203787195671777,0.4874964478545041,0.49554725653547826,0.49010989010989015,0.49533113058468614,0.6101023890784982,0.6223102310231023,0.2309177048605019,0.6191153647180548,0.6228890620940504,0.6148631029986962,0.48173048816135633,0.5953312643367967,0.42542016806722693,0.6035461975342845,0.6207125764424355,0.6234277728369966,0.6380101724351818,0.6064207650273223,0.48720864127345087,0.6155481727574751,0.6171023249704453,0.6169259161613498,0.6072940855074443,0.47629729325557046,0.6274938859570086,0.46400951814396196,
4,0.42556047791649887,0.6483793517406963,0.5322901471953322,0.0,0.6659240280717389,0.4923118791672336,0.6485687248639698,0.6564337802869913,0.6488659546381855,0.6464255473569613,0.42556047791649887,0.6725449134795547,0.39846576928643795,0.005752794214332724,0.6500418610214089,0.6558518168947617,0.6552564400092828,0.3963595315366163,0.4256947241240435,0.5424242424242425,0.34127697841726623,0.4971921654567868,0.6489623637003166,0.6489286555215446,0.6478047613350879,0.3308174309313586,0.4605126877265665,0.23642622437803162,0.6470729366602688,0.6632549769429761,0.6469316680677315,0.41682057110384996,0.6483040654318017,0.650729141764284,0.4254062038404727,0.46078177582190005,0.6503420957868202,0.6468064823641564,0.5251564129301356,0.2809239940387481,0.3297705572181844,0.6511976047904191,0.6656507506490574,0.6470446611291683,0.654289071680376,0.6453797774552492,0.6608836456164701,0.5306122448979591,0.6690261445370476,0.5154529778485211,0.3767388498494192,0.6658126322824998,0.6656267409470752,0.39720812182741116,0.6665529398385079,0.6586679152522533,0.6564746149458072,0.5538404544331934,0.2812034554661901,0.396870153672635,0.2817153067301965,0.645592485549133,0.6580329016450823,0.5440773148752776,0.6556382369776761,0.6690622861054072,0.6535360516010136,0.3973695256751084,0.6506760728982951,0.5334940370464349,0.6457295589843275,0.6588911030359864,0.6637098585223444,0.673019720171863,0.6493646607528171,0.5544994445130231,0.6557415427835656,0.6582571461636384,0.659475759684528,0.6491543720762865,0.38614855176369367,0.6667045583721724,0.5381062355658199,
5,0.6523005241700641,0.37609713282621415,0.6342013019529293,0.6659240280717389,0.0,0.6171182577867815,0.38743380563904395,0.4113665209420392,0.38059810357403356,0.3074562749309604,0.6524574889354764,0.4444444444444444,0.6302900916739922,0.666035423860978,0.30891961707947124,0.3248844490830476,0.3651315789473685,0.6391013964784457,0.6525739576054042,0.6409521435692922,0.6307267478348186,0.6278391067123461,0.4166898857620507,0.4083813809590775,0.29925225087746066,0.6592068645640075,0.6626011626581557,0.641774627230506,0.3830158499345645,0.4359829287810083,0.38929969551979127,0.6272647757091091,0.3739360140886411,0.3909209194737603,0.6522195036700454,0.6624871765644591,0.39240139211136893,0.39982852243498146,0.6251386321626617,0.6496142433234422,0.6590118302018093,0.3917884481558803,0.2634008338296605,0.3787856620336504,0.4068274791931161,0.3069610548911377,0.42265193370165743,0.6509142721443837,0.4372876749558364,0.6357566765578635,0.6302160039273441,0.00691399662731873,0.0064102564102563875,0.6395193591455274,0.4078458362009635,0.4187771092766196,0.4276627419136554,0.6444913762759592,0.6498220640569394,0.6395292404756128,0.6498220640569394,0.39754335260115603,0.4087529807827185,0.6413648164173569,0.42595108695652173,0.433510276303253,0.42157131125102654,0.6400192631832411,0.40141242937853105,0.6522047523347914,0.377528421674295,0.4175315568022441,0.4365597124217814,0.4449241234955521,0.3848502471648735,0.6444496597042948,0.41261387526278903,0.3358556461001164,0.4069312465064282,0.3794512551079977,0.6330376940133038,0.40751445086705207,0.6309248202753747,
6,0.46085075702956024,0.5800751356616112,0.43359924917878934,0.4923118791672336,0.6171182577867815,0.0,0.5878267973856209,0.5938432329807432,0.5830324909747293,0.576004495644844,0.4610726643598616,0.6295049258012221,0.4266855256954267,0.491421568627451,0.5820978245808508,0.5919923736892279,0.5979504924141603,0.4197701149425287,0.4609949531362654,0.45754353521343816,0.4073484968983617,0.3812632609760078,0.6009621809434719,0.5902881103746788,0.5812569213732004,0.4774479017984584,0.47516532995638106,0.43513554908868124,0.5792106725958865,0.6099845995893224,0.5779727095516569,0.40069741638928513,0.585162545151431,0.5852916781863422,0.4606952257320064,0.4750246236105249,0.5921525283227411,0.590311986863711,0.21826706025351628,0.4552689756816507,0.47715591090805254,0.598606363397318,0.60963326446281,0.579695997768791,0.5910569105691057,0.575600168468342,0.5992280047916945,0.42616541353383464,0.6087641039097349,0.3961398512893529,0.4229528345367952,0.6173417721518988,0.6171182577867815,0.4209156331342827,0.6058270185523909,0.5982756297992725,0.611139896373057,0.3444151002019574,0.45567010309278355,0.4212700841622036,0.45567010309278355,0.5864651227291637,0.6007767510379001,0.4549211694474208,0.610916179337232,0.6095899384252588,0.6078534031413613,0.4375,0.5923824959481361,0.4306841948013146,0.580450070323488,0.5993797195253505,0.6111395646606914,0.6295511221945137,0.5825121443442054,0.3455985095482068,0.592442645074224,0.5963510454121721,0.5915795119334942,0.5822222222222222,0.41722265321955,0.6058508554264073,0.30491803278688523,
7,0.6274289985052317,0.2541783882177726,0.6136241970021413,0.6485687248639698,0.38743380563904395,0.5878267973856209,0.0,0.24648117839607198,0.26565839224067067,0.33396916229534257,0.6275999501805953,0.40126939351198876,0.5910204081632653,0.6485271501242162,0.32705993990194526,0.3280125195618153,0.2702702702702703,0.6092404072043853,0.627553562531141,0.6096414663622935,0.5936184657162253,0.5973759737597376,0.3672051940208365,0.31475974330881207,0.3250592885375494,0.6398221343873518,0.6375045692701353,0.6137288358052237,0.21680445419267758,0.22575011906651854,0.26690741956664477,0.6027048741296197,0.2327962403491104,0.276474421635712,0.6271651090342679,0.637216670728735,0.367426003409267,0.19328016290514172,0.5983877362230738,0.6264907383912712,0.6397776405188388,0.2700833202326678,0.37139088377546536,0.2566225165562914,0.2382748442112168,0.3206339042740516,0.20495458298926506,0.6199897881031402,0.359946075494308,0.6056131949986698,0.6054153522607781,0.3875214653692044,0.38743380563904395,0.6097051917558048,0.27497651111807075,0.337200309358082,0.24528301886792447,0.6290342679127725,0.6267275263091163,0.6097274742469683,0.6265533857468932,0.37024435508815345,0.38161643424801317,0.6204572485793578,0.24215389517285324,0.3617880101659441,0.23570051413881743,0.6149780871358598,0.28905132687112667,0.621171686364214,0.2623605793241218,0.3361240310077519,0.22602631161832298,0.40112834978843437,0.267760459392945,0.6291588785046729,0.18907563025210083,0.35474607013301085,0.2806656101426307,0.25743064729194187,0.60447267434167,0.2748904195366312,0.6096291476903057,
8,0.6360034666336511,0.2705361534677816,0.6186983195518805,0.6564337802869913,0.4113665209420392,0.5938432329807432,0.24648117839607198,0.0,0.28096479791395046,0.34219269102990035,0.6361723198811586,0.4142997061704211,0.5998647734956051,0.6563933654864134,0.33632216454302344,0.3451587916343919,0.28151658767772514,0.6185165975103735,0.6361272749783335,0.6197333333333334,0.6089993284083277,0.6060317891590816,0.3853046594982079,0.32893511331884506,0.3408521303258145,0.6439216652297082,0.6469805155512526,0.6212299255777516,0.20350221013260794,0.28356374807987716,0.2810617163328448,0.6107856191744341,0.2504570383912249,0.28712550607287446,0.6357443646271984,0.6466957153231663,0.37328185328185326,0.24078664683523388,0.6028985507246376,0.6343679031037093,0.6438778024143879,0.29532073132940817,0.39008839298652365,0.2692750287686997,0.02009216589861751,0.3276466836734694,0.25289389067524115,0.6281253966239371,0.3738859180035651,0.6112362528156883,0.6142390594382756,0.4110014104372356,0.4106941309255079,0.6189735614307932,0.29820766378244745,0.3565749235474006,0.2866212449674822,0.6343885785226567,0.6347705496722138,0.6189920974219458,0.6345984112974404,0.3852873563218391,0.398248478551284,0.6267105263157895,0.28509249183895535,0.3759264749481174,0.2794232878859113,0.6246319293304314,0.29883059418457647,0.629784009094354,0.2778877887788779,0.35907631136259366,0.28400552062567086,0.41549000419404447,0.28441410693970426,0.6341735999006581,0.2385546108567691,0.3737298266586969,0.29663944723618085,0.2694767918648515,0.6137260057849067,0.297326533766033,0.6127775613556681,
9,0.627765836388924,0.14868960599037262,0.6061807739641734,0.6488659546381855,0.38059810357403356,0.5830324909747293,0.26565839224067067,0.28096479791395046,0.0,0.31012450851900397,0.6279393173198483,0.3699649737302977,0.5969984854743219,0.6488238118098896,0.315755418958266,0.32141717203957865,0.27887550200803213,0.6096752816434725,0.6278922746238462,0.6049568670409421,0.599615278922781,0.5966643502432245,0.3529775715390565,0.313553929366847,0.3172502823947071,0.6384634697464223,0.6366336633663366,0.6131270010672358,0.24332995609591357,0.32420091324200917,0.1942658557775847,0.6022866476112699,0.23005977796754906,0.1332018644675511,0.627498102706805,0.6361723198811586,0.34993634627625714,0.26731691188626217,0.5994097129058225,0.6238058352698167,0.6384180790960452,0.29698302954116906,0.3667561921814384,0.11666363801562785,0.27595762021189896,0.31511096605744127,0.2886152862168212,0.6237879767291532,0.32977075588599747,0.604868154158215,0.6087651525243106,0.38068844807467916,0.38059810357403356,0.6099629040805512,0.28918322295805743,0.301941280282368,0.313321986693486,0.6208476517754868,0.6240485098696942,0.6099854323930605,0.6238709677419355,0.34445331205107743,0.36658469105441127,0.6093136591309056,0.3111111111111111,0.3304455445544554,0.3045931964257721,0.6171241830065359,0.21921720141105328,0.624967824967825,0.11626627544470935,0.3045571245186136,0.32380662815445427,0.3707701283547258,0.11773229487411696,0.6206238064926799,0.28527557782447066,0.34481161210623845,0.2403228463185637,0.12813119480987567,0.60895202358617,0.28936170212765955,0.6019404572036151,
10,0.6260670149063575,0.29897757255936674,0.604163794292017,0.6464255473569613,0.3074562749309604,0.576004495644844,0.33396916229534257,0.34219269102990035,0.31012450851900397,0.0,0.6262420382165605,0.41088045812455265,0.5968390406211008,0.6463827728042584,0.21887377303254696,0.2503348961821835,0.34112513635655295,0.6070044111749766,0.6261944196712956,0.6083069729060652,0.5946133555463001,0.5949278408294802,0.38857578065498855,0.3704162153798546,0.2185726569217541,0.6327074346612536,0.6394481730052199,0.6100942126514132,0.30673439292151405,0.3779095626389919,0.32037097299056294,0.600247015232606,0.30495636423513917,0.3221411192214112,0.6257965842467499,0.6391547545059043,0.33602584814216474,0.3378033205619413,0.5933812559338125,0.6232939035486806,0.6326608298439285,0.3621292775665399,0.29273269502432897,0.303394858272907,0.33655216083583983,0.199438202247191,0.35131782945736434,0.6252437280644743,0.3774042102074815,0.6047651463580668,0.6017520215633423,0.30885959534028207,0.30875364096274716,0.6072955638695885,0.35228488460950635,0.3585700905401187,0.3784431137724551,0.6141073497232591,0.6233597505521632,0.6073193535461466,0.6231808731808732,0.333117618508332,0.35800933125972,0.6094303624965931,0.375845991878478,0.3819224385091293,0.3710777626193724,0.6132735189338963,0.34141732283464565,0.6264233954451346,0.30119880119880116,0.35624804259317255,0.3791420118343195,0.4109647867162898,0.31406173444390006,0.6142360664178144,0.34354864057834356,0.20918109971414156,0.345956054230949,0.30630334865397246,0.6034132466477042,0.35192542787286063,0.5956188684316623,
