Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,
1,0.0,0.629606338825305,0.5416721701228371,0.4267916945746818,0.6524219841639497,0.4808386559289086,0.6394213381555154,0.6407624633431085,0.6318159079539769,0.6528681253696038,0.0029977076353376875,0.6666285060103034,0.33154341822644984,0.42538915727321525,0.6329932819109232,0.6518738845925045,0.6550805236936623,0.2719685039370079,0.0029977076353376875,0.5435701082651174,0.33629266799326496,0.48324563832733314,0.6629277135735328,0.642162035408606,0.6333457665050355,0.3990112994350282,0.4061244284328669,0.3670283930429612,0.6252663241007645,0.6428150418484027,0.6315461346633416,0.39635371805914443,0.639093137254902,0.6378799110452187,0.004230565838180822,0.4041932796445432,0.6533444022770398,0.6328221617610685,0.5107110001314232,0.37600233270156,0.39810627473148674,0.6457430612483898,0.661978221415608,0.6276716833185785,0.6337123084527929,0.6292737709009234,0.6453765490943756,0.5072076882007475,0.6556415669716162,0.5044378698224852,0.3343212803793717,0.6524269584448842,0.6520726595249184,0.27501177948798494,0.6440028728752694,0.6487136330848762,0.6382598331346842,0.525918207866632,0.3757292882147024,0.2763157894736842,0.3755834305717619,0.639719453672942,0.6537687847592001,0.5448827152404665,0.634821321140657,0.657545412203074,0.6346987951807229,0.23624999999999996,0.6392965433596118,0.5109228121276315,0.6299252502217154,0.6495613507991829,0.6425622272030199,0.6666666666666667,0.633270794246404,0.5288249773286695,0.6373813579946459,0.6528117359413204,0.6435251798561151,0.6294102822580645,0.3705487448920023,0.6439602538010296,0.5248691099476439,
2,0.629606338825305,0.0,0.6277476079648306,0.6507690473351615,0.38008720930232553,0.5973315543695797,0.2903479766965832,0.28781815271330236,0.16768345825344255,0.3665623603039786,0.629825223186219,0.37051561365286856,0.6076236172197788,0.6503521547093232,0.32646592709984157,0.35277232210303666,0.32106922961405615,0.6114037397945746,0.629825223186219,0.6267322885636575,0.6108302288451304,0.6206263923470057,0.41579607187630585,0.3620208547510647,0.3268926195755464,0.6418876852197734,0.6416043174291672,0.6219814645607623,0.24638163367160204,0.31994543801151865,0.21781007096992222,0.6263904871499808,0.2644668400520156,0.20176480570167998,0.6293407146451937,0.641164190101928,0.3982703019642334,0.27791281801976986,0.6216660346353179,0.6287287159134554,0.6418876852197734,0.32364895378594005,0.4035950007021486,0.0850633841631453,0.27130774235523747,0.32985287138111063,0.3156274056966898,0.6306810948440484,0.35239659549051816,0.6246945337620579,0.6265243902439024,0.38091780424048793,0.3808278867102397,0.612279779121746,0.28831658291457285,0.32163924247128217,0.31721499617444526,0.6222165991902834,0.6285860655737705,0.612983606557377,0.6284579918032787,0.37258805513016846,0.39221732745961824,0.6309310079507566,0.30990712074303406,0.35711114399881605,0.3081458494957331,0.6291340570562989,0.25133689839572193,0.6331017056222363,0.1542562644393105,0.3301405839641588,0.3193264563106796,0.37131659166787634,0.17472183588317103,0.623850900390379,0.29426670890085527,0.37943571844095403,0.260904297811152,0.10637912287060525,0.6255760368663594,0.2882048060310979,0.6165624601250479,
3,0.5416721701228371,0.6277476079648306,0.0,0.5554575245777666,0.6508126195028681,0.48543413386386247,0.6442828979793002,0.6418190929591581,0.6296772534396297,0.6514084507042254,0.5417326994189118,0.6549887560658065,0.5159030404932043,0.5547141234380917,0.6328224776500638,0.6467417932386086,0.6561053755784977,0.5173370319001387,0.5417326994189118,0.3565749235474006,0.5085939701324317,0.45794797687861266,0.6675150393336418,0.6570783311541661,0.6323116219667944,0.5311004784688995,0.5383011985409067,0.5291368884002199,0.628769408443475,0.6415870327809363,0.6302843966179862,0.5242613174301979,0.63668430335097,0.6357632715265431,0.5413583509513742,0.5371264517812867,0.6550048590864918,0.6359376978599468,0.5159167226326393,0.5217864923747277,0.5305145592341445,0.6514046622833234,0.6590962031213603,0.6255689946677071,0.6351197263397947,0.632332268370607,0.6480058543724845,0.4585690045248869,0.6510196693616508,0.45568538045027074,0.5278785435980116,0.6514626865671642,0.6512600023886301,0.5182107741310068,0.6452839445602845,0.6461139256147288,0.6403904820012203,0.5144049542272482,0.5215910638877537,0.5194033973208121,0.5214548426644872,0.639211723092471,0.65249605247176,0.3191985088536813,0.6372259177137226,0.6520436293899077,0.6350833848054355,0.5246011529695669,0.6221494267355424,0.46334968465311843,0.6268092319728777,0.6478212566349834,0.6411622276029056,0.6545519119213923,0.6288805874017777,0.5166778298727395,0.6393667414609823,0.6518571599187866,0.6422944362383063,0.6275424277756185,0.5254742547425475,0.6449079754601227,0.511851550860084,
4,0.4267916945746818,0.6507690473351615,0.5554575245777666,0.0,0.6665554814320658,0.5110091743119266,0.6598740698340011,0.6612547837179636,0.6530709034858904,0.6710926071790255,0.4268684703991428,0.673372911169745,0.4178456366437876,0.00917280917280916,0.6550341900495167,0.6697985057731493,0.6719664348018107,0.3987350667603654,0.4270791482523102,0.5646778641263475,0.3624891209747607,0.5234324289237959,0.6755175029803837,0.6693646745758953,0.6523382144544166,0.33404195011337867,0.46273852501289325,0.25210727969348656,0.6517106665088197,0.6650632061751873,0.6522767593140153,0.4516430670585092,0.660039530287176,0.6571629707849349,0.42663808120058955,0.46224344907706205,0.6712931618144888,0.6517448008459641,0.550746084597361,0.28348678348678347,0.3330969937606353,0.661753210496929,0.6799221958072186,0.6483990886197386,0.6552613077103351,0.6539596364923876,0.6689250225835592,0.5355880868248359,0.6772793053545586,0.5368914807302232,0.4057971014492754,0.6665555185061687,0.6663702056698166,0.4002525252525253,0.6674228675136116,0.6665141811527905,0.6591577994113651,0.5553230769230769,0.2829123328380386,0.4013434089000839,0.28352888756869155,0.6550632911392404,0.669411233927363,0.5654176521847379,0.6565425896323361,0.6793766578249336,0.655992680695334,0.4180516146466694,0.6572450392247347,0.5397997496871089,0.6494349603270018,0.6673145078312565,0.6646887595163458,0.6738461538461539,0.6526953217763002,0.558099669401249,0.6610579693442433,0.6732684222173047,0.6662498579061044,0.6506211180124224,0.4138828039430449,0.6673851389676688,0.5550061804697157,
5,0.6524219841639497,0.38008720930232553,0.6508126195028681,0.6665554814320658,0.0,0.6296840558412932,0.41006202618883525,0.42019724961800253,0.3884487973498487,0.36645614035087715,0.6526193247962747,0.4451705659390929,0.6400977995110024,0.666332776850306,0.32007773957243235,0.3579126488939308,0.4015907252628741,0.6397575757575757,0.6527761610988243,0.6569829741635909,0.6401663405088063,0.6453446191051995,0.4675060409512909,0.44811753902663,0.3093698300496315,0.6600347021399653,0.6633303002729755,0.6469950620257738,0.39168458781362003,0.4386034780300013,0.3993154592127781,0.6464383074552567,0.39813769751693007,0.4033423027899731,0.6523410202655486,0.6627946703108984,0.43485298084704616,0.40878378378378377,0.6437521958074717,0.6500711237553343,0.6598796853308653,0.4128711541045278,0.30304311073541845,0.38050773271082583,0.40774647887323945,0.3267798629728924,0.43794540809466187,0.6538325679971742,0.4529722589167767,0.6502849002849003,0.6445257196790939,0.008084891359272373,0.0075821398483572056,0.6405228758169934,0.40865979381443296,0.43367416496250855,0.4319677635997313,0.6450743821014409,0.6499466382070438,0.641270224583434,0.6499881432297843,0.415697266993693,0.43125084334097963,0.6567676289635589,0.42672998643147897,0.45351890756302526,0.42542488103331066,0.6501696501696501,0.4138312586445366,0.6560673369184007,0.38425587848692855,0.4336560752761489,0.4375332270069112,0.4456493336817351,0.39078473722102236,0.6466472303206997,0.4224090407938258,0.3710033076074972,0.42006012571740914,0.3814372999709048,0.6468286899822169,0.4079218814468436,0.6432273262661955,
6,0.4808386559289086,0.5973315543695797,0.48543413386386247,0.5110091743119266,0.6296840558412932,0.0,0.6156678517013712,0.6133488252001033,0.6024622716441621,0.6222305670296657,0.4811215991116047,0.6417460508862897,0.46697837521917007,0.5095850840336135,0.6025826854658058,0.6232394366197183,0.6317649926864943,0.4435626102292769,0.4811215991116047,0.5061728395061729,0.44881656804733727,0.4408554572271386,0.6458728652751423,0.6292079813930713,0.6011339662447257,0.49787409134549443,0.4952638700947226,0.4665895284929129,0.5993649113522096,0.6243974786800148,0.5991270995900013,0.4603967461110319,0.6140124095139607,0.6074326092645904,0.4806944444444444,0.49437593169806204,0.6319201995012469,0.6100547017452462,0.3016907088568327,0.47648725212464593,0.49766803840877916,0.624384842519685,0.6396901072705602,0.5956533404883284,0.6057478772044416,0.6011347143422615,0.6223977928266867,0.4536864710093057,0.6317154501667284,0.4484901025863315,0.4710604140261935,0.6300330436911027,0.6298200514138818,0.4452918744499853,0.6194500504540867,0.6213333333333333,0.6266169154228856,0.3715562174236783,0.47626470171460966,0.4469951747331481,0.47633890620572406,0.61222366710013,0.627979533258455,0.5026536312849161,0.6242941397916928,0.6350722507959834,0.6232868100088017,0.47716799329702553,0.6139677666922487,0.4596625549411598,0.5994897959183674,0.6231130280350121,0.6244590082849018,0.6417892452375211,0.6008492569002123,0.3762947617638355,0.6125721616420783,0.6284173102856443,0.6136478944698123,0.598183275447502,0.4654141759180188,0.619227857683573,0.3621182488340605,
7,0.6394213381555154,0.2903479766965832,0.6442828979793002,0.6598740698340011,0.41006202618883525,0.6156678517013712,0.0,0.2897253933970997,0.30582750582750584,0.41496788606534485,0.6396287814872845,0.42354698533405755,0.6161409781637084,0.6594842406876791,0.3644510828976848,0.38648378339762823,0.3424068767908309,0.622969399319985,0.6396287814872845,0.6404897353450408,0.618142383261036,0.6303638644918443,0.44651347068145797,0.38897418004187023,0.3614061331338818,0.6520701586922801,0.649587750294464,0.6323088455772115,0.2618858324057879,0.26083661715671413,0.30984391902333486,0.6366642174871417,0.2963362068965517,0.3215704246868316,0.6391702846116739,0.6488558622316585,0.435798203178991,0.24093884719782854,0.6318594791035737,0.6390829961995832,0.6520701586922801,0.3254394885950893,0.42575980720310613,0.2898940376403606,0.27114388827867564,0.36685066388184395,0.2612031921424187,0.6355735096094993,0.4024611942385681,0.6347622567134763,0.6339024390243903,0.4103871056619369,0.4103058693855056,0.623789764868603,0.30480480480480476,0.38051178256469564,0.28172627131432015,0.6414548958207877,0.6389502084866323,0.6246080521760944,0.6388275692911454,0.41367890568754495,0.4284130284130284,0.6494996338784477,0.2738513204090979,0.40888950429243975,0.2722961603181888,0.638509016095849,0.33293573878037874,0.6377005347593583,0.3016548463356974,0.3809454966025734,0.25857880352262375,0.4234111895708854,0.30547774665421723,0.643251018940302,0.2383583267561168,0.4123072687224669,0.32615795724465557,0.2909176915799432,0.6327107397394938,0.30419107706173953,0.6355685131195336,
8,0.6407624633431085,0.28781815271330236,0.6418190929591581,0.6612547837179636,0.42019724961800253,0.6133488252001033,0.2897253933970997,0.0,0.30278128950695327,0.408703071672355,0.6409723918885903,0.4234953863104256,0.6165111456713324,0.6608614884476953,0.3577409042472218,0.38774623406720743,0.3370262390670554,0.6243136253352062,0.6409723918885903,0.6425617245268831,0.6247744263985564,0.6307613954672778,0.45010020040080156,0.38750354207990934,0.3608748481166464,0.6493207180980107,0.6521583591700453,0.6320395738203957,0.22994740302432615,0.2985411340051135,0.3058176100628931,0.6368041749502982,0.29476153244722436,0.3146504748559863,0.6405084952939739,0.6514210652018151,0.42820910243764976,0.266251397540329,0.6287262872628726,0.6395970650416615,0.6493207180980107,0.3327464788732394,0.4302152429944497,0.28375765388333873,0.04043321299638991,0.35794762484774667,0.28737923631344886,0.6362056121182021,0.4018731375053214,0.6326530612244898,0.6348460492147892,0.4200805443688377,0.41978052507292685,0.6251434400102002,0.310355299119344,0.3840749414519906,0.30386823813841035,0.6396671968677352,0.6396317949993781,0.6259697316545847,0.6395074014180868,0.41393921683226187,0.43085778464130287,0.6483203173422586,0.29754085840843136,0.40862480685489533,0.2962962962962963,0.6405100539480137,0.32588878760255247,0.6388615081320848,0.29849310676498875,0.387817703768624,0.2966254896053028,0.424659419292693,0.303763440860215,0.641169305724726,0.26557325343005833,0.4162952646239554,0.3248417244498041,0.28426803792383093,0.6339852996138033,0.30896656534954403,0.6313056379821959,
9,0.6318159079539769,0.16768345825344255,0.6296772534396297,0.6530709034858904,0.3884487973498487,0.6024622716441621,0.30582750582750584,0.30278128950695327,0.0,0.38027961736571003,0.632033008252063,0.37849121796717533,0.6130354309888948,0.6526590693257359,0.33636648886099785,0.3648991784914115,0.33348181143281364,0.6147305075876505,0.632033008252063,0.6283174439577428,0.6151102892616563,0.6215440792905582,0.4217583632844899,0.3730020342923569,0.3365218754900423,0.6431668938173709,0.6412073811560552,0.6234255291520582,0.26589121887287026,0.3362236507699208,0.22119583473295268,0.6284806102987921,0.2744245935940769,0.16724078539441956,0.6315526085324659,0.6402692778457773,0.40676735405169906,0.28962974835710853,0.6249686008540567,0.6283637291161841,0.6431668938173709,0.3328362660304205,0.4079241071428571,0.13289332857652514,0.2869983948635634,0.34462835727670205,0.31920428462127004,0.6311787072243347,0.35905791734557846,0.6261036468330134,0.6291198383634298,0.388800921260976,0.3887129283040599,0.6154147615937295,0.29956494717215665,0.33112990007686394,0.32788126609117063,0.6255185417976116,0.6282214850727226,0.61628664495114,0.628093901505486,0.3743144424131627,0.4003201396973225,0.6316058207812101,0.32102925409710525,0.36511662021417046,0.3187960687960688,0.6327272727272728,0.24874737352513332,0.6334130079255252,0.14115130992692926,0.3351741064580457,0.3336329588014981,0.3792805755395684,0.14122002820874469,0.6271271271271271,0.30819774718397996,0.38896889400921664,0.2699066012347633,0.14447391688770994,0.6288948238585781,0.2991917935965185,0.6204536814092003,
10,0.6528681253696038,0.3665623603039786,0.6514084507042254,0.6710926071790255,0.36645614035087715,0.6222305670296657,0.41496788606534485,0.408703071672355,0.38027961736571003,0.0,0.6530684639943243,0.45841010792313763,0.6379932777293664,0.6707220907964402,0.3040810064436944,0.3530346820809248,0.43217835079237177,0.6369922212618842,0.6530684639943243,0.6547460298217966,0.635683094198378,0.6443596998400787,0.4888577613650834,0.46305093692267085,0.30242554498004304,0.6596520103456384,0.6653207198892478,0.6447142506745156,0.37815990593768367,0.43166734389814443,0.391462703962704,0.6500480538202786,0.39266187050359713,0.3953993055555556,0.6526265972550875,0.6646256931608133,0.43783340172343044,0.4051340886275635,0.6430952380952382,0.6511375947995666,0.6596520103456384,0.43598708983324364,0.3874388254486134,0.3681614349775785,0.39532534987736256,0.29748883068864584,0.422896551724138,0.6554320544998207,0.4457327760550087,0.6495654273297924,0.6461501616572866,0.3679562657695542,0.36786765736716664,0.6376078914919852,0.407769703745109,0.42906766708350697,0.4342553481400736,0.642499403768185,0.650849090690112,0.6383763837638377,0.6507286522943514,0.4110587226746678,0.4356801093643199,0.6548651252408477,0.42853208482511707,0.4537938391785571,0.4276451924403366,0.6520242193992639,0.4112346895677883,0.6573700450985046,0.3719886278617387,0.42839265850945496,0.43099240780911063,0.4584813791288327,0.3817164728396879,0.644272997032641,0.4106109778467617,0.3217479088549178,0.4156223893065998,0.37085008188179247,0.6473563772130555,0.40701901565995524,0.638645370481566,
