Number of genomes	Pan genome
1	5309	#
1	5511	#
1	5321	#
1	5669	#
1	5688	#
1	5393	#
1	6062	#
1	5392	#
1	5370	#
1	5313	#
1	5660	#
1	5336	#
1	5678	#
1	5752	#
1	5647	#
1	5976	#
1	5473	#
1	6153	#
1	5652	#
1	5574	#
1	5185	#
1	5700	#
1	5290	#
1	5520	#
1	5152	#
1	5212	#
1	5583	#
1	5872	#
1	5959	#
1	5848	#
1	5735	#
1	5695	#
1	5471	#
1	5580	#
1	5265	#
1	5627	#
1	5274	#
1	5324	#
1	5909	#
1	5442	#
1	5831	#
1	5210	#
1	5467	#
1	6054	#
1	5906	#
1	5828	#
1	5560	#
1	5292	#
1	5519	#
1	5649	#
1	5911	#
2	7533	#
2	6937	#
2	10210	#
2	9378	#
2	8293	#
2	9882	#
2	8232	#
2	9370	#
2	8182	#
2	8887	#
2	10057	#
2	9905	#
2	9246	#
2	9942	#
2	9578	#
2	9251	#
2	7990	#
2	9711	#
2	7635	#
2	9831	#
2	9494	#
2	9642	#
2	9308	#
2	10045	#
2	9765	#
2	9304	#
2	9310	#
2	9495	#
2	7530	#
2	9134	#
2	7991	#
2	9482	#
2	6975	#
2	9425	#
2	9788	#
2	9286	#
2	9878	#
2	9509	#
2	9381	#
2	9711	#
2	9983	#
2	9810	#
2	9752	#
2	9248	#
2	9965	#
2	8958	#
2	9661	#
2	7453	#
2	9440	#
2	9728	#
2	9471	#
3	11304	#
3	11517	#
3	9599	#
3	11901	#
3	12032	#
3	11446	#
3	11857	#
3	11690	#
3	12343	#
3	7791	#
3	11773	#
3	11777	#
3	10821	#
3	12244	#
3	10778	#
3	9489	#
3	12293	#
3	8093	#
3	8903	#
3	12239	#
3	10754	#
3	8134	#
3	10587	#
3	12217	#
3	10760	#
3	11811	#
3	9322	#
3	11302	#
3	12593	#
3	12271	#
3	11993	#
3	12275	#
3	10927	#
3	9501	#
3	11734	#
3	12019	#
3	11978	#
3	11938	#
3	10688	#
3	12215	#
3	11866	#
3	10974	#
3	12028	#
3	11178	#
3	10592	#
3	11832	#
3	9505	#
3	11077	#
3	10563	#
3	10788	#
3	10878	#
4	13658	#
4	14678	#
4	13946	#
4	14765	#
4	15189	#
4	15181	#
4	14190	#
4	13744	#
4	11788	#
4	14637	#
4	13944	#
4	14021	#
4	13804	#
4	14612	#
4	13811	#
4	12083	#
4	15236	#
4	15153	#
4	13786	#
4	14703	#
4	14280	#
4	13920	#
4	15093	#
4	15344	#
4	11855	#
4	13407	#
4	15162	#
4	13474	#
4	14064	#
4	14362	#
4	15080	#
4	11913	#
4	14040	#
4	15315	#
4	13470	#
4	13672	#
4	13217	#
4	14512	#
4	14870	#
4	13704	#
4	13122	#
4	12594	#
4	14539	#
4	14699	#
4	11789	#
4	14816	#
4	14196	#
4	13157	#
4	13746	#
4	13355	#
4	12769	#
5	16015	#
5	17758	#
5	17038	#
5	16593	#
5	17398	#
5	15858	#
5	17084	#
5	15774	#
5	16147	#
5	15920	#
5	16533	#
5	16338	#
5	15779	#
5	16087	#
5	16268	#
5	16538	#
5	15215	#
5	17300	#
5	16092	#
5	15752	#
5	15638	#
5	16062	#
5	14938	#
5	15827	#
5	16229	#
5	15510	#
5	15932	#
5	16918	#
5	16393	#
5	17177	#
5	16063	#
5	16042	#
5	15157	#
5	16177	#
5	16078	#
5	15944	#
5	16937	#
5	16091	#
5	16946	#
5	15738	#
5	15872	#
5	15598	#
5	16211	#
5	17256	#
5	16536	#
5	15391	#
5	16991	#
5	16802	#
5	16214	#
5	15898	#
5	15915	#
6	17670	#
6	17573	#
6	19149	#
6	17114	#
6	18104	#
6	18384	#
6	17858	#
6	18596	#
6	17948	#
6	16911	#
6	17530	#
6	18108	#
6	16775	#
6	17506	#
6	17139	#
6	16732	#
6	17544	#
6	17790	#
6	18350	#
6	17547	#
6	17679	#
6	18448	#
6	17918	#
6	16630	#
6	16626	#
6	18785	#
6	18732	#
6	17396	#
6	16799	#
6	17451	#
6	18103	#
6	17495	#
6	17904	#
6	19021	#
6	16147	#
6	18613	#
6	17569	#
6	17178	#
6	17689	#
6	17227	#
6	19331	#
6	17356	#
6	17702	#
6	19415	#
6	17839	#
6	17407	#
6	17594	#
6	17211	#
6	19309	#
6	17784	#
6	17662	#
7	19869	#
7	17896	#
7	18500	#
7	19946	#
7	17648	#
7	18749	#
7	19408	#
7	18794	#
7	19339	#
7	18565	#
7	19104	#
7	20435	#
7	18844	#
7	20104	#
7	17941	#
7	18845	#
7	18546	#
7	17665	#
7	18811	#
7	19242	#
7	19442	#
7	19569	#
7	19939	#
7	18910	#
7	18972	#
7	19608	#
7	18970	#
7	19171	#
7	18058	#
7	18515	#
7	18573	#
7	20025	#
7	18945	#
7	20186	#
7	18731	#
7	19007	#
7	18889	#
7	18983	#
7	19188	#
7	18513	#
7	18671	#
7	18821	#
7	18661	#
7	18440	#
7	20367	#
7	18631	#
7	18686	#
7	19232	#
7	18520	#
7	18398	#
7	18759	#
8	21112	#
8	18810	#
8	19785	#
8	19765	#
8	21071	#
8	21563	#
8	20801	#
8	20115	#
8	20824	#
8	19798	#
8	19465	#
8	21125	#
8	20357	#
8	19848	#
8	21758	#
8	20977	#
8	18940	#
8	19634	#
8	18767	#
8	19361	#
8	19862	#
8	20250	#
8	20474	#
8	19596	#
8	20862	#
8	19619	#
8	18923	#
8	20401	#
8	19874	#
8	20662	#
8	20089	#
8	18844	#
8	20904	#
8	19755	#
8	20453	#
8	19678	#
8	19947	#
8	21069	#
8	20392	#
8	20981	#
8	20839	#
8	20698	#
8	19500	#
8	20623	#
8	20758	#
8	18061	#
8	19541	#
8	19602	#
8	19366	#
8	21023	#
8	18846	#
9	23310	#
9	22033	#
9	21464	#
9	22317	#
9	20934	#
9	23189	#
9	22396	#
9	21335	#
9	21821	#
9	20506	#
9	22149	#
9	22798	#
9	21180	#
9	21859	#
9	21547	#
9	22135	#
9	22918	#
9	23312	#
9	22038	#
9	22503	#
9	22072	#
9	21235	#
9	22176	#
9	20660	#
9	21738	#
9	23281	#
9	23072	#
9	21823	#
9	22771	#
9	20910	#
9	22268	#
9	22235	#
9	22470	#
9	22193	#
9	23103	#
9	21069	#
9	21911	#
9	21857	#
9	22759	#
9	22604	#
9	21930	#
9	21871	#
9	22429	#
9	22108	#
9	21703	#
9	20894	#
9	23037	#
9	23066	#
9	23221	#
9	21989	#
9	22891	#
10	23522	#
10	23409	#
10	22826	#
10	23595	#
10	21959	#
10	23208	#
10	23093	#
10	22888	#
10	24186	#
10	23833	#
10	23019	#
10	24270	#
10	24384	#
10	23383	#
10	23275	#
10	22842	#
10	22084	#
10	24179	#
10	22829	#
10	24324	#
10	24016	#
10	23402	#
10	23210	#
10	23291	#
10	23532	#
10	22042	#
10	22850	#
10	24366	#
10	23559	#
10	22781	#
10	23083	#
10	23155	#
10	22896	#
10	23693	#
10	22834	#
10	21844	#
10	22882	#
10	23047	#
10	22967	#
10	22640	#
10	23410	#
10	23016	#
10	24677	#
10	21927	#
10	23368	#
10	23410	#
10	23865	#
10	23853	#
10	21874	#
10	24338	#
10	21993	#
11	25115	#
11	23936	#
11	23399	#
11	24246	#
11	23747	#
11	23699	#
11	23910	#
11	24216	#
11	23617	#
11	23877	#
11	23632	#
11	24426	#
11	24219	#
11	24037	#
11	24379	#
11	24932	#
11	24380	#
11	24892	#
11	24556	#
11	24802	#
11	23470	#
11	23071	#
11	23173	#
11	23602	#
11	24571	#
11	24812	#
11	24567	#
11	24303	#
11	24558	#
11	26005	#
11	23753	#
11	24532	#
11	24435	#
11	23600	#
11	23564	#
11	23898	#
11	24511	#
11	24297	#
11	24734	#
11	24293	#
11	25151	#
11	23831	#
11	23939	#
11	24874	#
11	22471	#
11	24579	#
11	24891	#
11	24077	#
11	24055	#
11	24658	#
11	25019	#
12	24323	#
12	25420	#
12	24867	#
12	25994	#
12	25240	#
12	25196	#
12	25563	#
12	26998	#
12	25853	#
12	26064	#
12	24760	#
12	25151	#
