Number of genomes	Number of gene families
1	22126
2	9159
3	6364
4	3214
5	2084
6	1533
7	1159
8	976
9	745
10	656
11	554
12	463
13	458
14	378
15	329
16	280
17	248
18	222
19	228
20	255
21	224
22	228
23	344
24	181
25	157
26	174
27	187
28	159
29	112
30	122
31	127
32	139
33	123
34	154
35	431
36	93
37	82
38	78
39	84
40	64
41	86
42	67
43	62
44	96
45	110
46	76
47	160
48	619
49	44
50	35
51	32
52	24
53	27
54	24
55	30
56	18
57	20
58	17
59	24
60	19
61	22
62	17
63	14
64	13
65	16
66	12
67	16
68	15
69	15
70	21
71	13
72	14
73	24
74	12
75	18
76	24
77	24
78	18
79	22
80	34
81	26
82	97
83	1038
