Number of genomes	Pan genome
1	390	#
1	600	#
1	524	#
1	599	#
1	552	#
1	547	#
1	575	#
1	579	#
1	590	#
1	539	#
1	590	#
1	602	#
1	588	#
1	591	#
1	608	#
1	385	#
1	583	#
1	579	#
1	374	#
1	388	#
1	590	#
2	1112	#
2	1163	#
2	1182	#
2	1136	#
2	1115	#
2	1033	#
2	1153	#
2	1187	#
2	1171	#
2	1101	#
2	981	#
2	1132	#
2	1171	#
2	1173	#
2	1059	#
2	1152	#
2	1191	#
2	1153	#
2	1183	#
2	1130	#
2	1177	#
3	1636	#
3	1746	#
3	1683	#
3	1654	#
3	1679	#
3	1747	#
3	1474	#
3	1501	#
3	1178	#
3	1690	#
3	1141	#
3	1679	#
3	1744	#
3	1754	#
3	1651	#
3	1700	#
3	1697	#
3	1724	#
3	1498	#
3	1652	#
3	1524	#
4	2269	#
4	2253	#
4	2255	#
4	2326	#
4	2050	#
4	2062	#
4	1716	#
4	2280	#
4	2080	#
4	2326	#
4	2261	#
4	2233	#
4	2231	#
4	2086	#
4	2243	#
4	1887	#
4	2234	#
4	2281	#
4	2269	#
4	2329	#
4	1749	#
5	2284	#
5	2603	#
5	2216	#
5	2799	#
5	2265	#
5	2663	#
5	2281	#
5	2616	#
5	2658	#
5	2466	#
5	2531	#
5	2623	#
5	2535	#
5	2813	#
5	2793	#
5	2862	#
5	2805	#
5	2811	#
5	2285	#
5	2666	#
5	2805	#
6	2659	#
6	2853	#
6	2814	#
6	2769	#
6	2651	#
6	2283	#
6	1723	#
6	2770	#
6	2814	#
6	2461	#
6	2822	#
6	2673	#
6	2618	#
6	2807	#
6	2834	#
6	2855	#
6	2301	#
6	2829	#
6	2818	#
6	2664	#
6	2724	#
7	2732	#
7	2651	#
7	2099	#
7	2472	#
7	2633	#
7	2658	#
7	2237	#
7	2662	#
7	2243	#
7	3188	#
7	2665	#
7	2852	#
7	2612	#
7	2290	#
7	2663	#
7	2248	#
7	2783	#
7	2855	#
7	2655	#
7	2293	#
7	2093	#
8	3195	#
8	3195	#
8	2616	#
8	2672	#
8	3047	#
8	3217	#
8	3214	#
8	3190	#
8	3030	#
8	3046	#
8	3175	#
8	2844	#
8	2653	#
8	3105	#
8	2638	#
8	3202	#
8	2791	#
8	2652	#
8	3229	#
8	2659	#
8	3201	#
