#This file cannot be read by other PanTools functions. Split the file on the semicolon and use the homology group node identifiers in the right column
#8 genomes 88.89%
1,2,3,5,6,7,8,9;2031466
3,8,9;2033367,2035016,2035017,2035021,2035074,2035077,2035093,2035094,2035095,2035103,2035122,2035123,2035132,2035138,2035148,2035167,2035203,2035204,2035217,2035219,2035224,2035271,2035274,2035276,2035281,2035284,2035285,2035286,2035288,2035289,2035290,2035299,2035305,2035307,2035308,2035315,2035316,2035325,2035337,2035347,2035348,2035349,2035350,2035363,2035364,2035367,2035374,2035376,2035378,2035382,2035383,2035392,2035396,2035397,2035398,2035414,2035416,2035418,2035419,2035432,2035434,2035438,2035444,2035445,2035446,2035452,2035453,2035456,2035486,2035491,2035506,2035507,2035509,2035514,2035515,2035518,2035535,2035541,2035545,2035547,2035556,2035564,2035567,2035568,2035569,2035576,2035578,2035587,2035588,2035593,2035594,2035596,2035597,2035624,2035625,2035629,2035631,2035634,2035636,2035645,2035658,2035662,2035672,2035677,2035686,2035690,2035707,2035708,2035710,2035713,2035717,2035720,2035739,2035740,2035744,2035749,2035782,2035793,2035817,2035824,2035855,2035862,2035941,2035943,2035944,2035947,2035948,2035951,2035978,2035979,2035980,2035981,2035983,2035984,2035994,2036008,2036011,2036014,2036017,2036019,2036032,2036060,2036069,2036070,2036071,2036084,2036088,2036089,2036090,2036091,2036105,2036122,2036134,2036136,2036142,2036145,2036153,2036159,2036160,2036161,2036172,2036183,2036184,2036189,2036192,2036201,2036204,2036206,2036207,2036213,2036216
7,8,9;2041457
1,4,5;2031113,2031274,2031532,2032040,2032049,2032422,2032501,2032720,2032739,2032832,2032875,2032940,2032950
2,7,8;2033842,2033843,2033845
6,7,8;2034906
3,7,8;2035191
2,3,8;2033112,2033114,2033127,2033128,2033130,2033148,2033149,2033154,2033155,2033197,2033211,2033233,2033235,2033274,2033275,2033360,2033384,2033390,2033393,2033398,2033399,2033417,2033460,2033464,2033466,2033504,2033533,2033644,2033755,2033765,2033817,2033854,2033904,2033907,2033909,2033913,2033935,2033988,2033990,2033991,2033996,2034001,2034042,2034043,2034044,2034049,2034050,2034051,2034052,2034057,2034093,2034097,2034120,2034165,2034173,2034180,2034191,2034209,2034242,2034254,2034379,2034382,2034394,2034398,2034400,2034401,2034402,2034403,2034427,2034574,2034576,2034639,2034645,2034857,2034885,2034911,2034947,2034949,2034958,2034964,2034973,2034979,2034991,2034995,2034996,2034997,2034998
3,6,9;2035504
2,6,7;2033649,2034716
3,7,9;2035781
6,7,9;2039789
2,3,9;2033276,2033415,2033443,2033472,2033482,2033483,2033484,2033511,2033663,2033828,2034177,2034455,2034466,2034756,2034761,2034796,2034859,2034905
#2 genomes 22.22%
8,9;2033952,2034838,2041746,2041810,2041827,2041831,2041836,2041886,2041895,2041914,2041916,2041969,2042005,2042008,2042010,2042018,2042041,2042064,2042085,2042097,2042113,2042123,2042184,2042293,2042295,2042297,2042376,2042402,2042414,2042422
2,6;2034325,2034328
2,8;2033141,2033421,2033527,2033530,2033652,2033674,2033835,2033840,2033841,2033851,2034060,2034199,2034265,2034571,2034659,2034671,2034688,2034755,2034794,2034854,2034918,2034983,2034993
4,5;2036581
7,9;2041447
3,9;2033531,2033653,2034061,2034919,2034984,2035100,2035108,2035143,2035175,2035208,2035218,2035225,2035252,2035253,2035254,2035255,2035256,2035257,2035262,2035265,2035266,2035267,2035268,2035287,2035333,2035365,2035369,2035380,2035381,2035447,2035516,2035534,2035572,2035650,2035664,2035692,2035714,2035716,2035734,2035747,2035774,2035778,2035779,2035841,2035853,2035938,2035939,2035945,2035952,2035986,2035989,2035996,2036005,2036013,2036066,2036087,2036135,2036143,2036171
3,7;2035604
6,7;2033136,2033182,2033238,2033262,2033297,2033306,2033308,2033310,2033325,2033552,2033625,2033769,2033970,2033992,2034194,2034258,2034548,2034567,2034569,2034624,2034626,2034851,2034902,2038478,2038487,2038531,2038538,2038543,2038550,2038556,2038560,2038561,2038590,2038591,2038626,2038628,2038632,2038633,2038636,2038644,2038656,2038669,2038673,2038681,2038684,2038691,2038696,2038710,2038712,2038722,2038734,2038735,2038756,2038765,2038770,2038775,2038779,2038874,2038886,2038887,2038911,2038912,2038920,2038921,2038923,2038928,2038936,2038937,2038938,2038944,2038950,2038953,2038964,2038969,2038970,2038971,2038978,2038992,2039000,2039007,2039019,2039020,2039024,2039041,2039059,2039064,2039070,2039084,2039088,2039097,2039098,2039110,2039118,2039120,2039122,2039124,2039139,2039179,2039186,2039188,2039193,2039209,2039237,2039239,2039246,2039285,2039325,2039339,2039353,2039366,2039379,2039383,2039399,2039408,2039434,2039435,2039453,2039454,2039464,2039477,2039507,2039514,2039517,2039520,2039534,2039538,2039647,2039651,2039652,2039653,2039656,2039657,2039658,2039661,2039678,2039680,2039683,2039688,2039689,2039758,2039769,2039770,2039781,2039802,2039812,2039823,2039826,2039844,2039916,2039920,2039921,2039925,2039932,2039933,2039936,2039979,2039997,2039999,2040003,2040004,2040006,2040007,2040010,2040011,2040012,2040013,2040016,2040058,2040067,2040069,2040073,2040081,2040091,2040094,2040096,2040105,2040112,2040126,2040132,2040134,2040141,2040150
6,9;2038836,2039557,2039580,2039581,2039604,2039605,2039879,2039896,2040111
2,3;2033272,2033532,2033951,2034226,2034232,2034240,2034303,2034759,2034809,2034837,2034860,2034922
2,7;2033366,2033368
2,9;2033329,2033474,2033573,2033605,2033802,2033993,2034245,2034386,2034577,2034712,2034739,2034775,2034793,2034874,2035005
7,8;2040761,2040764,2041177,2041178,2041427,2041466
1,5;1968382,1968383,1968384,2030952,2030953,2030954,2030956,2030957,2030958,2030961,2030962,2030963,2030964,2030965,2030966,2030968,2030969,2030970,2030971,2030972,2030973,2030974,2030975,2030976,2030977,2030979,2030980,2030982,2030983,2030984,2030985,2030988,2030989,2030990,2031002,2031003,2031007,2031008,2031009,2031010,2031011,2031012,2031013,2031014,2031015,2031016,2031017,2031018,2031019,2031020,2031023,2031024,2031027,2031028,2031033,2031039,2031044,2031055,2031057,2031060,2031061,2031062,2031063,2031064,2031065,2031066,2031068,2031070,2031071,2031072,2031073,2031075,2031076,2031077,2031078,2031079,2031080,2031081,2031082,2031083,2031084,2031085,2031086,2031087,2031088,2031089,2031090,2031091,2031092,2031093,2031094,2031095,2031096,2031097,2031098,2031099,2031100,2031101,2031102,2031103,2031104,2031105,2031106,2031107,2031108,2031109,2031110,2031111,2031112,2031114,2031115,2031116,2031117,2031118,2031119,2031120,2031121,2031123,2031124,2031125,2031126,2031128,2031129,2031130,2031131,2031132,2031133,2031134,2031135,2031137,2031138,2031140,2031141,2031142,2031145,2031146,2031147,2031148,2031149,2031150,2031151,2031152,2031153,2031154,2031155,2031156,2031157,2031158,2031166,2031167,2031168,2031169,2031170,2031171,2031172,2031173,2031174,2031175,2031176,2031177,2031179,2031180,2031181,2031182,2031183,2031184,2031185,2031186,2031187,2031188,2031189,2031190,2031191,2031192,2031193,2031194,2031195,2031196,2031199,2031201,2031202,2031203,2031204,2031205,2031206,2031207,2031208,2031209,2031210,2031211,2031212,2031213,2031214,2031215,2031216,2031217,2031218,2031219,2031220,2031221,2031222,2031223,2031224,2031225,2031226,2031227,2031228,2031229,2031230,2031231,2031232,2031233,2031234,2031235,2031236,2031237,2031238,2031239,2031240,2031241,2031242,2031243,2031244,2031245,2031246,2031247,2031249,2031250,2031251,2031252,2031253,2031254,2031255,2031256,2031257,2031258,2031259,2031260,2031261,2031262,2031263,2031265,2031266,2031267,2031268,2031269,2031270,2031271,2031272,2031273,2031276,2031277,2031278,2031279,2031280,2031281,2031282,2031283,2031284,2031285,2031286,2031288,2031289,2031290,2031291,2031292,2031293,2031294,2031295,2031296,2031297,2031298,2031299,2031300,2031301,2031302,2031303,2031304,2031305,2031306,2031307,2031308,2031309,2031310,2031311,2031312,2031313,2031314,2031315,2031316,2031317,2031319,2031320,2031321,2031322,2031323,2031324,2031325,2031326,2031327,2031328,2031329,2031330,2031331,2031332,2031333,2031334,2031335,2031336,2031337,2031338,2031339,2031340,2031341,2031342,2031343,2031344,2031345,2031346,2031347,2031348,2031349,2031350,2031351,2031352,2031355,2031357,2031358,2031359,2031361,2031362,2031363,2031366,2031367,2031372,2031373,2031374,2031375,2031376,2031377,2031378,2031379,2031380,2031381,2031382,2031383,2031384,2031385,2031386,2031387,2031388,2031389,2031393,2031394,2031395,2031396,2031397,2031398,2031399,2031400,2031401,2031402,2031403,2031404,2031405,2031406,2031407,2031408,2031409,2031410,2031411,2031412,2031413,2031415,2031416,2031419,2031420,2031421,2031422,2031424,2031425,2031426,2031427,2031428,2031429,2031430,2031431,2031432,2031433,2031434,2031435,2031436,2031437,2031438,2031439,2031440,2031441,2031443,2031444,2031445,2031446,2031447,2031448,2031449,2031450,2031451,2031452,2031453,2031454,2031455,2031456,2031457,2031458,2031459,2031460,2031461,2031462,2031464,2031465,2031467,2031468,2031469,2031470,2031471,2031472,2031473,2031474,2031475,2031476,2031477,2031478,2031479,2031480,2031481,2031482,2031484,2031485,2031486,2031487,2031488,2031490,2031491,2031492,2031493,2031496,2031497,2031498,2031499,2031500,2031501,2031502,2031504,2031507,2031510,2031511,2031513,2031514,2031515,2031516,2031517,2031518,2031519,2031520,2031521,2031522,2031523,2031524,2031525,2031526,2031527,2031528,2031529,2031531,2031533,2031534,2031535,2031536,2031537,2031541,2031542,2031543,2031544,2031545,2031546,2031547,2031548,2031549,2031550,2031551,2031552,2031554,2031555,2031556,2031557,2031558,2031559,2031560,2031561,2031562,2031563,2031565,2031566,2031567,2031568,2031569,2031570,2031571,2031572,2031573,2031574,2031575,2031576,2031577,2031578,2031579,2031580,2031581,2031582,2031583,2031584,2031585,2031586,2031588,2031589,2031590,2031591,2031592,2031593,2031594,2031595,2031596,2031597,2031598,2031599,2031600,2031601,2031603,2031604,2031605,2031606,2031607,2031608,2031610,2031611,2031612,2031613,2031614,2031616,2031617,2031619,2031621,2031622,2031623,2031624,2031626,2031627,2031628,2031629,2031630,2031631,2031632,2031633,2031634,2031635,2031639,2031640,2031641,2031642,2031644,2031645,2031646,2031647,2031648,2031649,2031650,2031651,2031652,2031653,2031654,2031655,2031656,2031657,2031658,2031659,2031660,2031661,2031662,2031663,2031664,2031665,2031666,2031667,2031668,2031669,2031670,2031671,2031672,2031673,2031674,2031675,2031676,2031677,2031679,2031680,2031681,2031682,2031683,2031684,2031685,2031688,2031690,2031692,2031695,2031696,2031698,2031699,2031701,2031702,2031703,2031704,2031705,2031706,2031707,2031708,2031709,2031710,2031711,2031712,2031713,2031714,2031715,2031716,2031717,2031718,2031719,2031720,2031721,2031722,2031723,2031724,2031725,2031726,2031727,2031728,2031729,2031730,2031732,2031733,2031736,2031737,2031738,2031739,2031740,2031741,2031742,2031743,2031744,2031745,2031746,2031747,2031748,2031749,2031750,2031753,2031754,2031755,2031757,2031758,2031759,2031760,2031761,2031762,2031763,2031764,2031765,2031766,2031767,2031768,2031769,2031770,2031771,2031772,2031773,2031774,2031775,2031776,2031777,2031778,2031779,2031781,2031782,2031783,2031786,2031788,2031824,2031826,2031827,2031828,2031829,2031830,2031831,2031832,2031834,2031835,2031836,2031837,2031838,2031839,2031840,2031841,2031842,2031843,2031845,2031846,2031847,2031848,2031849,2031850,2031852,2031853,2031854,2031855,2031857,2031858,2031859,2031860,2031861,2031862,2031863,2031864,2031865,2031867,2031868,2031869,2031870,2031871,2031872,2031873,2031874,2031875,2031878,2031879,2031880,2031881,2031882,2031883,2031884,2031885,2031886,2031887,2031888,2031890,2031892,2031893,2031894,2031896,2031897,2031898,2031899,2031900,2031901,2031902,2031903,2031904,2031905,2031906,2031907,2031908,2031909,2031910,2031911,2031912,2031913,2031914,2031915,2031916,2031917,2031918,2031919,2031920,2031921,2031923,2031924,2031925,2031926,2031927,2031928,2031929,2031930,2031932,2031933,2031934,2031935,2031936,2031937,2031938,2031939,2031940,2031941,2031942,2031943,2031944,2031946,2031947,2031948,2031949,2031950,2031954,2031957,2031958,2031961,2031962,2031963,2031964,2031965,2031966,2031967,2031968,2031969,2031970,2031972,2031973,2031975,2031976,2031977,2031978,2031979,2031981,2031982,2031983,2031984,2031985,2031986,2031989,2031991,2031992,2031993,2031994,2031995,2031996,2031997,2031998,2031999,2032000,2032001,2032002,2032004,2032005,2032008,2032010,2032011,2032014,2032015,2032016,2032017,2032018,2032019,2032020,2032021,2032022,2032023,2032025,2032026,2032027,2032028,2032029,2032030,2032032,2032034,2032036,2032037,2032038,2032042,2032043,2032044,2032045,2032047,2032051,2032052,2032053,2032054,2032055,2032056,2032057,2032058,2032060,2032061,2032062,2032063,2032066,2032067,2032068,2032070,2032071,2032073,2032074,2032076,2032078,2032079,2032080,2032081,2032082,2032083,2032084,2032085,2032086,2032088,2032089,2032090,2032091,2032092,2032095,2032096,2032097,2032099,2032100,2032101,2032102,2032103,2032104,2032105,2032106,2032107,2032108,2032109,2032110,2032111,2032112,2032113,2032114,2032115,2032116,2032117,2032118,2032119,2032120,2032121,2032122,2032123,2032124,2032125,2032126,2032127,2032128,2032129,2032132,2032133,2032134,2032135,2032136,2032137,2032138,2032139,2032140,2032141,2032142,2032143,2032145,2032146,2032147,2032148,2032150,2032151,2032152,2032153,2032154,2032155,2032156,2032157,2032158,2032159,2032160,2032161,2032162,2032163,2032164,2032165,2032166,2032167,2032168,2032169,2032170,2032171,2032173,2032174,2032175,2032176,2032177,2032178,2032179,2032180,2032181,2032182,2032183,2032184,2032186,2032187,2032188,2032189,2032191,2032192,2032193,2032194,2032195,2032196,2032197,2032198,2032199,2032200,2032201,2032202,2032205,2032206,2032207,2032208,2032211,2032213,2032215,2032216,2032217,2032220,2032221,2032222,2032223,2032224,2032225,2032226,2032227,2032228,2032229,2032232,2032233,2032235,2032237,2032238,2032242,2032243,2032245,2032246,2032250,2032251,2032252,2032253,2032254,2032255,2032256,2032258,2032259,2032260,2032261,2032262,2032263,2032264,2032265,2032267,2032270,2032273,2032274,2032275,2032277,2032278,2032279,2032282,2032283,2032284,2032285,2032286,2032287,2032288,2032289,2032292,2032293,2032294,2032295,2032296,2032297,2032299,2032301,2032302,2032303,2032304,2032305,2032306,2032307,2032308,2032309,2032310,2032311,2032312,2032314,2032315,2032317,2032318,2032321,2032322,2032323,2032324,2032325,2032326,2032327,2032332,2032333,2032335,2032337,2032339,2032340,2032342,2032343,2032345,2032346,2032347,2032348,2032349,2032350,2032351,2032352,2032356,2032357,2032358,2032359,2032360,2032361,2032364,2032365,2032367,2032368,2032369,2032370,2032371,2032372,2032374,2032376,2032378,2032379,2032380,2032381,2032382,2032383,2032384,2032385,2032386,2032387,2032389,2032390,2032391,2032392,2032393,2032394,2032395,2032396,2032398,2032400,2032401,2032402,2032403,2032404,2032405,2032406,2032407,2032408,2032409,2032410,2032411,2032412,2032413,2032414,2032415,2032416,2032417,2032418,2032419,2032421,2032423,2032426,2032427,2032428,2032429,2032430,2032432,2032433,2032434,2032435,2032436,2032437,2032439,2032440,2032442,2032443,2032445,2032446,2032447,2032448,2032450,2032451,2032452,2032453,2032454,2032455,2032456,2032458,2032459,2032461,2032464,2032465,2032470,2032480,2032481,2032482,2032483,2032484,2032485,2032486,2032487,2032488,2032489,2032490,2032491,2032492,2032493,2032494,2032495,2032496,2032497,2032498,2032499,2032500,2032502,2032503,2032505,2032506,2032507,2032512,2032514,2032516,2032520,2032523,2032524,2032525,2032527,2032528,2032531,2032532,2032533,2032534,2032535,2032536,2032537,2032538,2032539,2032540,2032541,2032542,2032543,2032544,2032545,2032546,2032547,2032548,2032549,2032551,2032552,2032553,2032554,2032555,2032556,2032557,2032558,2032559,2032560,2032561,2032570,2032571,2032572,2032573,2032576,2032577,2032578,2032579,2032580,2032581,2032584,2032585,2032586,2032587,2032588,2032589,2032590,2032591,2032592,2032593,2032594,2032595,2032596,2032597,2032598,2032599,2032600,2032601,2032602,2032603,2032604,2032605,2032606,2032607,2032608,2032609,2032610,2032611,2032612,2032613,2032614,2032615,2032616,2032617,2032618,2032619,2032620,2032621,2032623,2032624,2032627,2032628,2032630,2032633,2032634,2032635,2032636,2032637,2032638,2032639,2032640,2032641,2032643,2032644,2032645,2032646,2032647,2032648,2032649,2032650,2032651,2032652,2032653,2032654,2032655,2032656,2032657,2032658,2032659,2032660,2032661,2032662,2032663,2032664,2032665,2032666,2032667,2032669,2032672,2032673,2032674,2032675,2032676,2032677,2032678,2032679,2032680,2032681,2032683,2032684,2032685,2032686,2032688,2032689,2032692,2032693,2032696,2032697,2032699,2032700,2032701,2032711,2032713,2032714,2032715,2032717,2032718,2032719,2032722,2032724,2032725,2032726,2032727,2032728,2032729,2032730,2032731,2032733,2032734,2032735,2032736,2032737,2032740,2032741,2032742,2032743,2032744,2032745,2032746,2032747,2032748,2032749,2032750,2032751,2032752,2032753,2032754,2032755,2032756,2032757,2032758,2032759,2032760,2032761,2032762,2032763,2032764,2032765,2032766,2032767,2032768,2032769,2032770,2032771,2032772,2032773,2032774,2032775,2032776,2032777,2032778,2032779,2032781,2032782,2032783,2032784,2032785,2032786,2032787,2032788,2032789,2032790,2032791,2032793,2032794,2032795,2032796,2032797,2032798,2032799,2032800,2032801,2032803,2032804,2032806,2032807,2032808,2032809,2032810,2032812,2032814,2032815,2032816,2032818,2032819,2032821,2032822,2032823,2032824,2032825,2032826,2032827,2032828,2032831,2032833,2032834,2032835,2032836,2032837,2032838,2032839,2032840,2032841,2032842,2032843,2032845,2032846,2032855,2032856,2032857,2032858,2032859,2032860,2032861,2032862,2032864,2032865,2032866,2032867,2032868,2032869,2032870,2032871,2032872,2032873,2032876,2032877,2032878,2032879,2032880,2032881,2032882,2032883,2032884,2032885,2032886,2032887,2032888,2032889,2032890,2032892,2032893,2032894,2032895,2032896,2032897,2032898,2032899,2032900,2032901,2032902,2032903,2032904,2032905,2032906,2032907,2032908,2032909,2032910,2032911,2032912,2032913,2032914,2032915,2032917,2032918,2032919,2032920,2032921,2032922,2032923,2032924,2032925,2032926,2032927,2032928,2032929,2032930,2032931,2032932,2032933,2032934,2032936,2032937,2032938,2032941,2032942,2032943,2032944,2032945,2032946,2032947,2032948,2032951,2032952,2032953,2032954,2032955,2032956,2032957,2032958,2032959,2032960,2032961,2032962,2032963,2032964,2032965,2032969,2032971,2032993,2032996,2032997,2032998,2032999,2033000,2033001,2033002,2033003,2033004,2033005,2033006,2033007,2033008,2033009,2033010,2033011,2033012,2033013,2033014,2033015,2033016,2033017,2033018,2033019,2033020,2033021,2033022,2033023,2033024,2033025,2033026,2033027,2033028,2033029,2033030,2033031,2033032,2033033,2033034,2033035,2033036,2033037,2033040,2033041,2033042,2033043,2033044,2033045,2033046,2033047,2033048,2033049,2033050,2033051,2033052,2033053,2033054,2033055,2033056,2033057,2033058,2033059,2033060,2033061,2033062,2033063,2033064,2033066,2033068,2033070,2033072,2033074,2033077,2033078,2033079,2033080,2033081
3,8;2033574,2033803,2033994,2034578,2035014,2035029,2035049,2035059,2035060,2035063,2035064,2035068,2035075,2035081,2035084,2035086,2035091,2035092,2035102,2035104,2035105,2035112,2035113,2035114,2035115,2035120,2035124,2035130,2035133,2035136,2035137,2035144,2035145,2035146,2035153,2035159,2035161,2035177,2035178,2035182,2035185,2035189,2035190,2035193,2035194,2035195,2035197,2035214,2035215,2035221,2035237,2035238,2035239,2035242,2035270,2035278,2035280,2035282,2035283,2035293,2035295,2035298,2035300,2035306,2035311,2035312,2035313,2035314,2035323,2035326,2035329,2035330,2035336,2035338,2035353,2035356,2035373,2035375,2035377,2035387,2035393,2035394,2035395,2035404,2035409,2035410,2035411,2035423,2035424,2035426,2035427,2035436,2035440,2035441,2035442,2035443,2035448,2035450,2035451,2035457,2035459,2035460,2035464,2035468,2035471,2035490,2035493,2035495,2035496,2035501,2035508,2035510,2035512,2035513,2035519,2035532,2035537,2035551,2035554,2035555,2035558,2035559,2035560,2035565,2035566,2035573,2035579,2035580,2035583,2035584,2035585,2035589,2035590,2035591,2035599,2035600,2035601,2035606,2035607,2035609,2035613,2035616,2035621,2035622,2035640,2035642,2035643,2035646,2035648,2035649,2035651,2035652,2035659,2035667,2035674,2035678,2035679,2035681,2035684,2035688,2035691,2035694,2035695,2035696,2035697,2035700,2035702,2035704,2035705,2035722,2035729,2035741,2035794,2035797,2035800,2035801,2035802,2035803,2035804,2035806,2035807,2035808,2035809,2035810,2035811,2035812,2035813,2035816,2035845,2035857,2035858,2035861,2035950,2035963,2035965,2035967,2035969,2035999,2036000,2036002,2036004,2036006,2036007,2036009,2036010,2036025,2036031,2036036,2036052,2036073,2036076,2036079,2036092,2036094,2036100,2036102,2036103,2036108,2036115,2036146,2036148,2036152,2036162,2036167,2036182,2036186,2036191,2036193,2036194,2036195,2036199,2036205,2036214
3,6;2035261,2035759,2036035
