Homology group id,Class,Genome 1,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9
2031110,accessory,1,0,0,0,1,0,0,0,0
2031111,accessory,1,0,0,0,1,0,0,0,0
2031112,accessory,1,0,0,0,1,0,0,0,0
2031113,accessory,1,0,0,1,1,0,0,0,0
2031114,accessory,1,0,0,0,1,0,0,0,0
2031115,accessory,1,0,0,0,1,0,0,0,0
2031116,accessory,1,0,0,0,1,0,0,0,0
2031117,accessory,1,0,0,0,1,0,0,0,0
2031118,accessory,1,0,0,0,1,0,0,0,0
2031119,accessory,1,0,0,0,1,0,0,0,0
2031120,accessory,1,0,0,0,1,0,0,0,0
2031121,accessory,1,0,0,0,1,0,0,0,0
2031123,accessory,1,0,0,0,1,0,0,0,0
2031124,accessory,1,0,0,0,1,0,0,0,0
2031125,accessory,1,0,0,0,1,0,0,0,0
2031126,accessory,1,0,0,0,1,0,0,0,0
2031128,accessory,1,0,0,0,1,0,0,0,0
2031129,accessory,1,0,0,0,1,0,0,0,0
2031130,accessory,1,0,0,0,1,0,0,0,0
2031131,accessory,1,0,0,0,1,0,0,0,0
2031132,accessory,1,0,0,0,1,0,0,0,0
2031133,accessory,1,0,0,0,1,0,0,0,0
2031134,accessory,1,0,0,0,1,0,0,0,0
2031135,accessory,1,0,0,0,1,0,0,0,0
2031137,accessory,1,0,0,0,1,0,0,0,0
2031138,accessory,1,0,0,0,1,0,0,0,0
2031140,accessory,1,0,0,0,1,0,0,0,0
2031141,accessory,1,0,0,0,1,0,0,0,0
2031142,accessory,1,0,0,0,1,0,0,0,0
2031145,accessory,1,0,0,0,1,0,0,0,0
2031146,accessory,1,0,0,0,1,0,0,0,0
2031147,accessory,1,0,0,0,1,0,0,0,0
2031148,accessory,1,0,0,0,1,0,0,0,0
2031149,accessory,1,0,0,0,1,0,0,0,0
2031150,accessory,1,0,0,0,1,0,0,0,0
2031151,accessory,1,0,0,0,1,0,0,0,0
2031152,accessory,1,0,0,0,1,0,0,0,0
2031153,accessory,1,0,0,0,1,0,0,0,0
2031154,accessory,1,0,0,0,1,0,0,0,0
2031155,accessory,1,0,0,0,1,0,0,0,0
2031156,accessory,1,0,0,0,1,0,0,0,0
2031157,accessory,1,0,0,0,1,0,0,0,0
2031158,accessory,1,0,0,0,1,0,0,0,0
2031166,accessory,1,0,0,0,1,0,0,0,0
2031167,accessory,1,0,0,0,1,0,0,0,0
2031168,accessory,1,0,0,0,1,0,0,0,0
2031169,accessory,1,0,0,0,1,0,0,0,0
2031170,accessory,1,0,0,0,1,0,0,0,0
2031171,accessory,1,0,0,0,1,0,0,0,0
2031172,accessory,1,0,0,0,1,0,0,0,0
2031173,accessory,1,0,0,0,1,0,0,0,0
2031174,accessory,1,0,0,0,1,0,0,0,0
2031175,accessory,1,0,0,0,1,0,0,0,0
2031176,accessory,1,0,0,0,1,0,0,0,0
2031177,accessory,1,0,0,0,1,0,0,0,0
2031179,accessory,1,0,0,0,1,0,0,0,0
2031180,accessory,1,0,0,0,1,0,0,0,0
2031181,accessory,1,0,0,0,1,0,0,0,0
2031182,accessory,1,0,0,0,1,0,0,0,0
2031183,accessory,1,0,0,0,1,0,0,0,0
2031184,accessory,1,0,0,0,1,0,0,0,0
2031185,accessory,1,0,0,0,1,0,0,0,0
2031186,accessory,1,0,0,0,1,0,0,0,0
2031187,accessory,1,0,0,0,1,0,0,0,0
2031188,accessory,1,0,0,0,1,0,0,0,0
2031189,accessory,1,0,0,0,1,0,0,0,0
2031190,accessory,1,0,0,0,1,0,0,0,0
2031191,accessory,1,0,0,0,1,0,0,0,0
2031192,accessory,1,0,0,0,1,0,0,0,0
2031193,accessory,1,0,0,0,1,0,0,0,0
2031194,accessory,1,0,0,0,1,0,0,0,0
2031195,accessory,1,0,0,0,1,0,0,0,0
2031196,accessory,1,0,0,0,1,0,0,0,0
2031199,accessory,1,0,0,0,1,0,0,0,0
2031201,accessory,1,0,0,0,1,0,0,0,0
2031202,accessory,1,0,0,0,1,0,0,0,0
2031203,accessory,1,0,0,0,1,0,0,0,0
2031204,accessory,1,0,0,0,1,0,0,0,0
2031205,accessory,1,0,0,0,1,0,0,0,0
2031206,accessory,1,0,0,0,1,0,0,0,0
2031207,accessory,1,0,0,0,1,0,0,0,0
2031208,accessory,1,0,0,0,1,0,0,0,0
2031209,accessory,1,0,0,0,1,0,0,0,0
2031210,accessory,1,0,0,0,1,0,0,0,0
2031211,accessory,1,0,0,0,1,0,0,0,0
2031212,accessory,1,0,0,0,1,0,0,0,0
2031213,accessory,1,0,0,0,1,0,0,0,0
2031214,accessory,1,0,0,0,1,0,0,0,0
2031215,accessory,1,0,0,0,1,0,0,0,0
2031216,accessory,1,0,0,0,1,0,0,0,0
2031217,accessory,1,0,0,0,1,0,0,0,0
2031218,accessory,1,0,0,0,1,0,0,0,0
2031219,accessory,1,0,0,0,1,0,0,0,0
2031220,accessory,1,0,0,0,1,0,0,0,0
2031221,accessory,1,0,0,0,1,0,0,0,0
2031222,accessory,1,0,0,0,1,0,0,0,0
2031223,accessory,1,0,0,0,1,0,0,0,0
2031224,accessory,1,0,0,0,1,0,0,0,0
2031225,accessory,1,0,0,0,1,0,0,0,0
2031226,accessory,1,0,0,0,1,0,0,0,0
2031227,accessory,1,0,0,0,1,0,0,0,0
2031228,accessory,1,0,0,0,1,0,0,0,0
2031229,accessory,1,0,0,0,1,0,0,0,0
2031230,accessory,1,0,0,0,1,0,0,0,0
2031231,accessory,1,0,0,0,1,0,0,0,0
2031232,accessory,1,0,0,0,1,0,0,0,0
2031233,accessory,1,0,0,0,1,0,0,0,0
2031234,accessory,1,0,0,0,1,0,0,0,0
2031235,accessory,1,0,0,0,1,0,0,0,0
2031236,accessory,1,0,0,0,1,0,0,0,0
2031237,accessory,1,0,0,0,1,0,0,0,0
2031238,accessory,1,0,0,0,1,0,0,0,0
2031239,accessory,1,0,0,0,1,0,0,0,0
2031240,accessory,1,0,0,0,1,0,0,0,0
2031241,accessory,1,0,0,0,1,0,0,0,0
2031242,accessory,1,0,0,0,1,0,0,0,0
2031243,accessory,1,0,0,0,1,0,0,0,0
2031244,accessory,1,0,0,0,1,0,0,0,0
2031245,accessory,1,0,0,0,1,0,0,0,0
2031246,accessory,1,0,0,0,1,0,0,0,0
2031247,accessory,1,0,0,0,1,0,0,0,0
2031249,accessory,1,0,0,0,1,0,0,0,0
