Genome Number	Number of new gene families
2	255
3	54
4	28
5	78
6	120
7	160
8	103
9	82
10	73
11	13
12	19
13	64
14	30
15	9
16	17
17	22
18	20
19	23
20	41
21	19
22	12
23	44
24	18
25	7
26	2
27	10
28	10
29	2
30	41
31	6
32	13
33	49
34	35
35	16
36	3
37	9
38	52
39	4
40	29
41	3
42	14
43	10
44	20
45	3
46	10
47	7
48	19
49	10
50	17
51	1
52	2
53	14
54	16
55	26
56	20
