Number of genomes	Number of gene families
1	886
2	263
3	192
4	54
5	15
6	22
7	18
8	10
9	56
10	63
11	7
12	24
13	7
14	11
15	7
16	13
17	3
18	3
19	1
20	9
21	3
22	0
23	4
24	16
25	1
26	12
27	5
28	8
29	4
30	4
31	2
32	6
33	4
34	16
35	3
36	16
37	69
38	11
39	49
40	32
41	68
42	42
43	12
44	27
45	4
46	23
47	13
48	2
49	12
50	13
51	22
52	49
53	74
54	138
55	296
56	3010
