Genome Number	Number of new gene families
2	362
3	3
4	59
5	1
6	405
7	88
8	32
9	3
10	3
11	5
12	0
13	42
14	131
15	217
16	3
17	1
18	188
19	6
20	17
21	3
22	13
23	1
24	84
25	28
26	12
27	8
28	2
29	3
30	260
31	4
32	146
33	0
34	53
35	224
36	3
37	19
38	3
39	4
40	0
41	0
42	0
43	62
44	2
45	9
46	1
47	4
48	41
49	103
50	12
51	1
52	2
53	13
54	0
55	2
56	36
57	0
