1	1649
2	2227
3	2615
4	2839
5	2931
6	3033
7	3200
8	3307
9	3355
10	3356
11	3514
12	3552
13	3569
14	3571
15	3698
16	3698
17	3794
18	4011
19	4039
20	4081
21	4212
22	4216
23	4217
24	4217
25	4218
26	4218
27	4358
28	4401
29	4460
30	4469
31	4601
32	4729
33	4730
34	4741
35	4742
36	5009
37	5246
38	5299
39	5325
40	5341
41	5386
42	5413
43	5462
44	5473
45	5518
46	5533
47	5540
48	5547
49	5558
50	5563
51	5572
52	5574
53	5602
54	5608
55	5616
56	5634
57	5642
58	5646
59	5650
60	5660
61	5679
62	5749
63	5752
64	5758
65	5764
66	5768
67	5774
68	5775
69	5780
70	5797
71	5798
72	5807
73	5825
74	5845
75	5852
76	5856
77	5864
78	5871
79	5875
80	5879
81	5880
82	5889
83	5894
84	5899
85	5902
86	5908
87	5910
88	5914
89	5917
90	5925
91	6022
92	6083
93	6116
94	6180
95	6376
96	6383
97	6425
98	6522
99	6542
100	6592
101	6711
102	6773
103	6811
104	6894
105	6932
106	6963
107	7003
108	7005
109	7022
110	7024
111	7025
112	7029
113	7032
114	7164
115	7166
116	7199
117	7206
118	7263
119	7275
120	7297
121	7324
122	7381
123	7404
124	7407
125	7483
126	7504
127	7514
128	7516
129	7526
130	7618
131	7636
132	7667
133	8021
134	8032
135	8058
136	8143
137	8216
138	8322
139	8455
140	8566
141	8574
142	8619
143	8665
144	8760
145	8894
146	8933
147	8959
148	9040
149	9113
150	9129
151	9192
152	9225
153	9226
154	9367
155	9481
156	9557
157	9622
158	9634
159	9634
160	9715
161	9716
162	9717
163	9729
164	9744
165	9758
166	9780
167	9795
168	9801
169	9801
170	9801
171	9802
172	9879
173	9980
174	10029
175	10071
176	10151
177	10193
178	10233
179	10297
180	10339
181	10379
182	10391
183	10398
184	10406
185	10418
186	10422
187	10427
188	10428
189	10445
190	10451
191	10452
192	10461
193	10471
194	10474
195	10478
196	10488
197	10492
198	10493
199	10507
200	10509
201	10511
202	10511
203	10544
204	10637
205	10651
206	10673
207	10683
208	10693
209	10726
210	10735
211	10742
212	10743
213	10755
214	10790
215	10790
216	10790
217	10790
218	10790
219	10792
220	10792
221	10792
222	10792
223	10793
224	10796
225	10800
226	10877
227	10882
228	10896
229	10903
230	10908
231	10955
232	10963
233	10993
234	10997
