Number of genomes	Number of gene families
1	3841
2	1155
3	725
4	483
5	347
6	216
7	214
8	202
9	134
10	127
11	108
12	99
13	69
14	58
15	75
16	41
17	71
18	66
19	85
20	49
21	61
22	33
23	52
24	34
25	38
26	32
27	31
28	23
29	27
30	32
31	30
32	22
33	23
34	22
35	19
36	14
37	20
38	22
39	7
40	14
41	16
42	28
43	13
44	9
45	21
46	5
47	19
48	19
49	10
50	10
51	10
52	12
53	12
54	105
55	40
56	24
57	16
58	8
59	16
60	15
61	23
62	12
63	14
64	18
65	10
66	10
67	8
68	11
69	11
70	9
71	7
72	11
73	20
74	4
75	9
76	9
77	21
78	8
79	10
80	8
81	6
82	10
83	13
84	5
85	9
86	5
87	8
88	9
89	5
90	2
91	7
92	13
93	8
94	6
95	11
96	10
97	11
98	9
99	6
100	9
101	8
102	7
103	7
104	6
105	7
106	7
107	5
108	3
109	7
110	8
111	3
112	5
113	6
114	7
115	6
116	7
117	6
118	6
119	2
120	4
121	7
122	4
123	6
124	5
125	5
126	9
127	5
128	1
129	4
130	8
131	5
132	5
133	2
134	4
135	2
136	8
137	6
138	4
139	6
140	6
141	2
142	4
143	2
144	3
145	4
146	6
147	2
148	3
149	2
150	4
151	1
152	2
153	5
154	1
155	3
156	5
157	2
158	3
159	2
160	4
161	3
162	6
163	8
164	1
165	1
166	1
167	5
168	3
169	7
170	3
171	5
172	4
173	10
174	2
175	7
176	5
177	7
178	5
179	7
180	10
181	0
182	3
183	5
184	4
185	3
186	0
187	1
188	2
189	2
190	3
191	2
192	4
193	2
194	3
195	0
196	3
197	3
198	1
199	2
200	2
201	4
202	6
203	7
204	1
205	3
206	5
207	4
208	3
209	2
210	3
211	2
212	4
213	7
214	5
215	8
216	5
217	3
218	11
219	2
220	3
221	4
222	4
223	5
224	10
225	12
226	9
227	18
228	10
229	18
230	18
231	44
232	41
233	99
234	668
