Genome Number	Number of new gene families
2	62
3	1409
4	1042
5	1739
6	3481
7	2100
8	1749
9	854
10	139
11	2910
12	697
13	15
14	1186
15	390
16	10
17	4
18	408
19	487
20	313
21	393
22	661
23	248
24	44
25	572
26	337
27	431
28	168
29	105
30	125
31	189
32	79
33	277
34	208
35	167
36	160
37	2573
38	33
39	1201
40	772
41	36
42	127
43	16
44	5
45	5
46	4
47	2201
48	2
49	971
50	1794
