Number of genomes	Number of gene families
1	15811
2	5462
3	5326
4	2196
5	938
6	1647
7	452
8	274
9	230
10	174
11	202
12	142
13	168
14	184
15	129
16	133
17	146
18	100
19	89
20	93
21	75
22	64
23	57
24	68
25	73
26	62
27	57
28	73
29	72
30	137
31	114
32	80
33	51
34	69
35	95
36	178
37	550
38	49
39	43
40	87
41	449
42	0
43	0
44	1
45	0
46	0
47	1
48	0
49	0
50	0
